年,区分00,区分01,国籍・地域,罪種00,罪種01,検挙人員,人数,検挙人員数_1万人あたり
2021,外国人,来日外国人以外,ドイツ,凶悪犯,不同意性交等,0,1799,0.0
2021,外国人,来日外国人以外,ドイツ,凶悪犯,強盗,0,1799,0.0
2021,外国人,来日外国人以外,ドイツ,凶悪犯,放火,0,1799,0.0
2021,外国人,来日外国人以外,ドイツ,凶悪犯,殺人,0,1799,0.0
2021,外国人,来日外国人以外,ドイツ,凶悪犯,計,0,1799,0.0
2021,外国人,来日外国人以外,ドイツ,知能犯,計,1,1799,5.558643690939411
2021,外国人,来日外国人以外,ドイツ,窃盗犯,計,0,1799,0.0
2021,外国人,来日外国人以外,ドイツ,粗暴犯,計,2,1799,11.117287381878821
2021,外国人,来日外国人以外,ドイツ,計,計,3,1799,16.67593107281823
2021,外国人,来日外国人以外,ドイツ,風俗犯,計,0,1799,0.0
2021,外国人,来日外国人以外,バングラデシュ,その他の刑法犯,計,0,3296,0.0
2021,外国人,来日外国人以外,バングラデシュ,凶悪犯,不同意性交等,2,3296,6.067961165048543
2021,外国人,来日外国人以外,バングラデシュ,凶悪犯,強盗,0,3296,0.0
2021,外国人,来日外国人以外,バングラデシュ,凶悪犯,放火,0,3296,0.0
2021,外国人,来日外国人以外,バングラデシュ,凶悪犯,殺人,0,3296,0.0
2021,外国人,来日外国人以外,バングラデシュ,凶悪犯,計,2,3296,6.067961165048543
2021,外国人,来日外国人以外,バングラデシュ,知能犯,計,1,3296,3.0339805825242716
2021,外国人,来日外国人以外,バングラデシュ,窃盗犯,計,1,3296,3.0339805825242716
2021,外国人,来日外国人以外,バングラデシュ,粗暴犯,計,12,3296,36.407766990291265
2021,外国人,来日外国人以外,バングラデシュ,計,計,16,3296,48.543689320388346
2021,外国人,来日外国人以外,バングラデシュ,風俗犯,計,0,3296,0.0
2021,外国人,来日外国人以外,パキスタン,その他の刑法犯,計,4,4912,8.143322475570033
2021,外国人,来日外国人以外,パキスタン,凶悪犯,不同意性交等,1,4912,2.035830618892508
2021,外国人,来日外国人以外,パキスタン,凶悪犯,強盗,0,4912,0.0
2021,外国人,来日外国人以外,パキスタン,凶悪犯,放火,0,4912,0.0
2021,外国人,来日外国人以外,パキスタン,凶悪犯,殺人,0,4912,0.0
2021,外国人,来日外国人以外,パキスタン,凶悪犯,計,1,4912,2.035830618892508
2021,外国人,来日外国人以外,パキスタン,知能犯,計,4,4912,8.143322475570033
2021,外国人,来日外国人以外,パキスタン,窃盗犯,計,4,4912,8.143322475570033
2021,外国人,来日外国人以外,パキスタン,粗暴犯,計,17,4912,34.609120521172635
2021,外国人,来日外国人以外,パキスタン,計,計,33,4912,67.18241042345278
2021,外国人,来日外国人以外,パキスタン,風俗犯,計,3,4912,6.107491856677524
2021,外国人,来日外国人以外,フィリピン,その他の刑法犯,計,34,131875,2.5781990521327014
2021,外国人,来日外国人以外,フィリピン,凶悪犯,不同意性交等,6,131875,0.4549763033175356
2021,外国人,来日外国人以外,フィリピン,凶悪犯,強盗,1,131875,0.07582938388625592
2021,外国人,来日外国人以外,フィリピン,凶悪犯,放火,0,131875,0.0
2021,外国人,来日外国人以外,フィリピン,凶悪犯,殺人,0,131875,0.0
2021,外国人,来日外国人以外,フィリピン,凶悪犯,計,7,131875,0.5308056872037915
2021,外国人,来日外国人以外,フィリピン,知能犯,計,32,131875,2.4265402843601893
2021,外国人,来日外国人以外,フィリピン,窃盗犯,計,137,131875,10.38862559241706
2021,外国人,来日外国人以外,フィリピン,粗暴犯,計,111,131875,8.417061611374407
2021,外国人,来日外国人以外,フィリピン,計,計,329,131875,24.947867298578196
2021,外国人,来日外国人以外,フィリピン,風俗犯,計,8,131875,0.6066350710900473
2021,外国人,来日外国人以外,フランス,その他の刑法犯,計,0,3104,0.0
2021,外国人,来日外国人以外,フランス,凶悪犯,不同意性交等,0,3104,0.0
2021,外国人,来日外国人以外,フランス,凶悪犯,強盗,0,3104,0.0
2021,外国人,来日外国人以外,フランス,凶悪犯,放火,0,3104,0.0
2021,外国人,来日外国人以外,フランス,凶悪犯,殺人,0,3104,0.0
2021,外国人,来日外国人以外,フランス,凶悪犯,計,0,3104,0.0
2021,外国人,来日外国人以外,フランス,知能犯,計,1,3104,3.2216494845360826
2021,外国人,来日外国人以外,フランス,窃盗犯,計,1,3104,3.2216494845360826
2021,外国人,来日外国人以外,フランス,粗暴犯,計,3,3104,9.664948453608249
2021,外国人,来日外国人以外,フランス,計,計,6,3104,19.329896907216497
2021,外国人,来日外国人以外,フランス,風俗犯,計,1,3104,3.2216494845360826
2021,外国人,来日外国人以外,ブラジル,その他の刑法犯,計,55,101470,5.4203212772247955
2021,外国人,来日外国人以外,ブラジル,凶悪犯,不同意性交等,3,101470,0.29565388784862523
2021,外国人,来日外国人以外,ブラジル,凶悪犯,強盗,4,101470,0.394205183798167
2021,外国人,来日外国人以外,ブラジル,凶悪犯,放火,1,101470,0.09855129594954175
2021,外国人,来日外国人以外,ブラジル,凶悪犯,殺人,1,101470,0.09855129594954175
2021,外国人,来日外国人以外,ブラジル,凶悪犯,計,9,101470,0.8869616635458757
