年,区分00,区分01,在留資格,検挙人員,表示区分
2014,外国人,来日外国人,短期滞在,420.0,短期滞在
2015,外国人,来日外国人,短期滞在,474.0,短期滞在
2016,外国人,来日外国人,短期滞在,526.0,短期滞在
2017,外国人,来日外国人,短期滞在,628.0,短期滞在
2018,外国人,来日外国人,短期滞在,721.0,短期滞在
2019,外国人,来日外国人,短期滞在,688.0,短期滞在
2020,外国人,来日外国人,短期滞在,410.0,短期滞在
2021,外国人,来日外国人,短期滞在,223.0,短期滞在
2022,外国人,来日外国人,短期滞在,260.0,短期滞在
2023,外国人,来日外国人,短期滞在,533.0,短期滞在
2024,外国人,来日外国人,短期滞在,679.0,短期滞在
2013,外国人,来日外国人,その他,1488.0,その他
2014,外国人,来日外国人,その他,1411.0,その他
2015,外国人,来日外国人,その他,1426.0,その他
2016,外国人,来日外国人,その他,1411.0,その他
2017,外国人,来日外国人,その他,1522.0,その他
2018,外国人,来日外国人,その他,1530.0,その他
2019,外国人,来日外国人,その他,1454.0,その他
2020,外国人,来日外国人,その他,1657.0,その他
2021,外国人,来日外国人,その他,1879.0,その他
2022,外国人,来日外国人,その他,1845.0,その他
2023,外国人,来日外国人,その他,1914.0,その他
2024,外国人,来日外国人,その他,2131.0,その他
