年,表示区分,年代,人数,総人数,構成比,構成比_pct
2019,日本人,20代,11823095.554837145,123731000.0,0.09555483714539723,9.555483714539722
2020,日本人,20代,11865903.841166936,123399000.0,0.09615883306320906,9.615883306320907
2021,日本人,20代,11839096.425284456,122780000.0,0.09642528445418193,9.642528445418193
2022,日本人,20代,11777193.01969204,122031000.0,0.0965098460202083,9.65098460202083
2023,日本人,20代,11704000.0,121193000.0,0.09657323442773097,9.657323442773096
2024,日本人,20代,11599710.720787372,120296000.0,0.0964264042095113,9.64264042095113
2013,日本人,30代,16341869.997215703,125704000.0,0.13000278429656736,13.000278429656737
2014,日本人,30代,15791000.0,125431000.0,0.12589391777152378,12.589391777152379
2015,日本人,30代,15423753.848118031,125319000.0,0.12307594098355422,12.307594098355422
2016,日本人,30代,14963640.93006887,125020000.0,0.11968997704422388,11.968997704422387
2017,日本人,30代,14565116.849984355,124648000.0,0.11684998435582084,11.684998435582084
2018,日本人,30代,14174114.106764777,124218000.0,0.11410676477454779,11.410676477454778
2019,日本人,30代,13804111.565505536,123731000.0,0.11156550553624828,11.156550553624827
2020,日本人,30代,13590889.862236628,123399000.0,0.11013776337115072,11.013776337115072
2021,日本人,30代,13290108.243266355,122780000.0,0.1082432663566245,10.82432663566245
2022,日本人,30代,13008213.195224084,122031000.0,0.10659761204303893,10.659761204303893
2023,日本人,30代,12713000.0,121193000.0,0.10489879778535063,10.489879778535064
2024,日本人,30代,12465689.124597875,120296000.0,0.10362513404101446,10.362513404101446
2013,日本人,40代,17794858.438407384,125704000.0,0.14156159261763654,14.156159261763653
2014,日本人,40代,18121000.0,125431000.0,0.14446986789549632,14.446986789549632
2015,日本人,40代,18303707.88614837,125319000.0,0.14605692581450835,14.605692581450835
2016,日本人,40代,18678551.78647129,125020000.0,0.14940450957023907,14.940450957023907
2017,日本人,40代,18580149.06094812,124648000.0,0.14906094811748377,14.906094811748376
2018,日本人,40代,18432148.38548669,124218000.0,0.1483854866886175,14.838548668861751
2019,日本人,40代,18180146.93283763,123731000.0,0.1469328376303241,14.693283763032412
2020,日本人,40代,17938854.627228525,123399000.0,0.14537277147487843,14.537277147487842
2021,日本人,40代,17500142.532517776,122780000.0,0.14253251777584114,14.253251777584113
2022,日本人,40代,16988278.42562014,122031000.0,0.1392128100697375,13.921281006973752
2023,日本人,40代,16444000.0,121193000.0,0.13568440421476488,13.568440421476488
2024,日本人,40代,15910603.213659298,120296000.0,0.1322621135670288,13.22621135670288
2013,日本人,50代,15295878.318284873,125704000.0,0.12168171512668549,12.168171512668549
2014,日本人,50代,15270000.0,125431000.0,0.12174023965367413,12.174023965367413
2015,日本人,50代,15428753.768322948,125319000.0,0.12311583852666354,12.311583852666354
2016,日本人,50代,15244634.187309535,125020000.0,0.12193756348831815,12.193756348831815
2017,日本人,50代,15533124.615915343,124648000.0,0.12461591534493408,12.461591534493408
2018,日本人,50代,15783127.059903234,124218000.0,0.12705990323385688,12.705990323385688
2019,日本人,50代,16035129.596702496,123731000.0,0.1295967024973733,12.959670249737329
2020,日本人,50代,16378867.26904376,123399000.0,0.13273095623987033,13.273095623987032
