年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員,推定検挙人員,対推定値倍率,日本人_対推定値倍率,対日本人倍率_年齢調整後
2014,外国人,来日外国人,定住者,その他の刑法犯,計,205.0,76.57096398108244,2.677255049977523,0.9845809617785489,2.7191822246301864
2014,外国人,来日外国人,定住者,凶悪犯,計,28.0,8.11806512182711,3.449097732009585,0.971691131918229,3.5495823916810614
2014,外国人,来日外国人,定住者,知能犯,計,73.0,20.966696638054604,3.481712034098153,0.9696856097211438,3.5905575984564755
2014,外国人,来日外国人,定住者,窃盗犯,計,537.0,178.78410076320438,3.0036227925616537,0.9785787338827563,3.0693726407113178
2014,外国人,来日外国人,定住者,粗暴犯,計,327.0,82.08549114475635,3.9836516227129732,0.9780454760518859,4.073074023913422
2014,外国人,来日外国人,定住者,風俗犯,計,28.0,9.482511284880664,2.952804289792351,0.9891087977149516,2.985317991927629
2014,外国人,来日外国人,技能実習,その他の刑法犯,計,63.0,109.94686509510196,0.5730040592381256,0.9845809617785489,0.581977594004103
2014,外国人,来日外国人,技能実習,凶悪犯,計,10.0,13.401515800089015,0.7461842487947206,0.971691131918229,0.7679232878473099
2014,外国人,来日外国人,技能実習,知能犯,計,25.0,34.825101469849095,0.7178729980627485,0.9696856097211438,0.7403152020263454
2014,外国人,来日外国人,技能実習,窃盗犯,計,367.0,219.7307250775156,1.6702261364246236,0.9785787338827563,1.7067876897320085
2014,外国人,来日外国人,技能実習,粗暴犯,計,37.0,117.10825403413968,0.3159469868726219,0.9780454760518859,0.3230391577986919
2014,外国人,来日外国人,技能実習,風俗犯,計,5.0,15.429353522160376,0.32405764718649815,0.9891087977149516,0.3276258869955855
2014,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,113.0,57.78162455280727,1.9556390266723642,0.9845809617785489,1.9862653276777709
2014,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,22.0,7.795407168747935,2.8221745861074177,0.971691131918229,2.9043947128920724
2014,外国人,来日外国人,日本人の配偶者等,知能犯,計,163.0,23.9872697320806,6.795271067553121,0.9696856097211438,7.007705383508025
2014,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,380.0,144.49057944012836,2.629929241563172,0.9785787338827563,2.6874988700482674
2014,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,280.0,91.05102415461468,3.075198797594293,0.9780454760518859,3.1442288450717726
2014,外国人,来日外国人,日本人の配偶者等,風俗犯,計,19.0,11.029941330851337,1.7225839585253262,0.9891087977149516,1.7415515487324102
2014,外国人,来日外国人,留学,その他の刑法犯,計,279.0,153.34586804183337,1.8194164835526425,0.9845809617785489,1.8479094703050576
