年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員,人数,検挙人員数_1万人あたり,日本人_検挙人員数_1万人あたり,対日本人倍率
2017,外国人,永住者等,計,計,計,4394.0,1011247.0,43.45130319298846,18.524313792806147,2.3456363177060098
2018,外国人,来日外国人,計,計,計,5844.0,1843384.7854751202,31.702550905527563,17.8057826086707,1.780463774172425
2018,外国人,永住者等,計,計,計,4159.0,1025755.0,40.54574435415864,17.8057826086707,2.277111051238742
2019,外国人,来日外国人,計,計,計,5563.0,2047685.2780342584,27.167260807482982,16.669173471121912,1.6297905144816098
2019,外国人,永住者等,計,計,計,3973.0,1041990.0,38.1289647693356,16.669173471121912,2.287393843215512
2020,外国人,来日外国人,計,計,計,5634.0,1756575.4278948458,32.07377212803223,15.782147374033924,2.0322818795116953
2020,外国人,永住者等,計,計,計,3836.0,1051803.0,36.47070791773745,15.782147374033924,2.3108837506955506
2021,外国人,来日外国人,計,計,計,5573.0,1618046.1932756614,34.44277439766854,15.155470344747444,2.2726298566910303
2021,外国人,永住者等,計,計,計,3755.0,1059487.0,35.44168073794204,15.155470344747444,2.338540469661198
2022,外国人,来日外国人,計,計,計,5014.0,1767288.2555508164,28.371149891658565,14.7653291676953,1.9214708706752779
2022,外国人,永住者等,計,計,計,3597.0,1080070.0,33.30339700204616,14.7653291676953,2.2555133464216865
2023,外国人,来日外国人,計,計,計,5735.0,2325150.176684663,24.665073497219446,16.020734094014255,1.5395719916751462
2023,外国人,永住者等,計,計,計,3891.0,1107466.0,35.13426145813958,16.020734094014255,2.1930494103429763
2024,外国人,来日外国人,計,計,計,6368.0,2797847.7111801147,22.760352447181685,16.826381928574808,1.352658732209669
2024,外国人,永住者等,計,計,計,3986.0,1124845.0,35.4359934035356,16.826381928574808,2.105978192694989
2013,外国人,来日外国人,計,その他の刑法犯,計,1035.0,1127271.2109154272,9.18146396340153,4.200930150228165,2.185578820657815
2013,外国人,来日外国人,計,凶悪犯,計,120.0,1127271.2109154272,1.0645175609740904,0.39756607851401843,2.6775864906607088
2013,外国人,来日外国人,計,知能犯,計,539.0,1127271.2109154272,4.781458044708623,1.146957345199151,4.168819411395285
2013,外国人,来日外国人,計,窃盗犯,計,2812.0,1127271.2109154272,24.945194845492853,12.093855247857316,2.062633819758379
2013,外国人,来日外国人,計,粗暴犯,計,1033.0,1127271.2109154272,9.163722004051962,4.4286402347613185,2.0691954004581365
2013,外国人,来日外国人,計,風俗犯,計,81.0,1127271.2109154272,0.718549353657511,0.5061328953160503,1.4196851465440101
2013,外国人,永住者等,計,その他の刑法犯,計,799.0,955630.0,8.360976528572774,4.200930150228165,1.9902679239069627
2013,外国人,永住者等,計,凶悪犯,計,125.0,955630.0,1.308037629626529,0.39756607851401843,3.2901137705600476
2013,外国人,永住者等,計,知能犯,計,295.0,955630.0,3.086968805918609,1.146957345199151,2.6914416816281914
2013,外国人,永住者等,計,窃盗犯,計,2316.0,955630.0,24.235321201720332,12.093855247857316,2.003936768303402
2013,外国人,永住者等,計,粗暴犯,計,1235.0,955630.0,12.923411780710106,4.4286402347613185,2.9181444180702596
2013,外国人,永住者等,計,風俗犯,計,87.0,955630.0,0.9103941902200643,0.5061328953160503,1.798725588961327
2014,外国人,来日外国人,計,その他の刑法犯,計,986.0,1185129.0401823798,8.319769126982697,3.7957868828724486,2.1918430575024117
2014,外国人,来日外国人,計,凶悪犯,計,131.0,1185129.0401823798,1.10536486372691,0.39208411756189376,2.8192033653401403
2014,外国人,来日外国人,計,知能犯,計,454.0,1185129.0401823798,3.8308064742902075,1.1215976545533517,3.4154908034429963
2014,外国人,来日外国人,計,窃盗犯,計,3012.0,1185129.0401823798,25.414953965995824,11.423646300854205,2.2247672325162426
2014,外国人,来日外国人,計,粗暴犯,計,1082.0,1185129.0401823798,9.129807500400892,4.543398002026929,2.0094668123567088
2014,外国人,来日外国人,計,風俗犯,計,122.0,1185129.0401823798,1.0294237662189545,0.49451643260460404,2.08167757094948
2014,外国人,永住者等,計,その他の刑法犯,計,677.0,967620.0,6.996548231743866,3.7957868828724486,1.8432405315783302
2014,外国人,永住者等,計,凶悪犯,計,111.0,967620.0,1.1471445402120668,0.39208411756189376,2.92576130689859
2014,外国人,永住者等,計,知能犯,計,276.0,967620.0,2.8523593972840575,1.1215976545533517,2.5431217564554722
2014,外国人,永住者等,計,窃盗犯,計,2218.0,967620.0,22.92222153324652,11.423646300854205,2.006559108148552
2014,外国人,永住者等,計,粗暴犯,計,1312.0,967620.0,13.55904177259668,4.543398002026929,2.9843394231690987
2014,外国人,永住者等,計,風俗犯,計,87.0,967620.0,0.8991132882743226,0.49451643260460404,1.81816665532977
2015,外国人,来日外国人,計,その他の刑法犯,計,1065.0,1320017.0358879438,8.068077691767062,3.4248371753961386,2.355755114353387
2015,外国人,来日外国人,計,凶悪犯,計,167.0,1320017.0358879438,1.2651351873475112,0.3746254422443497,3.377066917207203
2015,外国人,来日外国人,計,知能犯,計,429.0,1320017.0358879438,3.249958056120253,1.1099645065966541,2.9279837659721157
2015,外国人,来日外国人,計,窃盗犯,計,3168.0,1320017.0358879438,23.99969026058033,10.705416604439092,2.2418268384463107
2015,外国人,来日外国人,計,粗暴犯,計,1238.0,1320017.0358879438,9.378666837941429,4.505171311832159,2.0817558731473236
2015,外国人,来日外国人,計,風俗犯,計,120.0,1320017.0358879438,0.9090791765371337,0.5046196576746895,1.8015136008101866
2015,外国人,永住者等,計,その他の刑法犯,計,733.0,981939.0,7.464822152903591,3.4248371753961386,2.1796137365392156
2015,外国人,永住者等,計,凶悪犯,計,85.0,981939.0,0.8656342196409349,0.3746254422443497,2.3106658598919303
2015,外国人,永住者等,計,知能犯,計,300.0,981939.0,3.0551795987327113,1.1099645065966541,2.752502067025934
2015,外国人,永住者等,計,窃盗犯,計,2148.0,981939.0,21.875085926926214,10.705416604439092,2.0433661514728465
2015,外国人,永住者等,計,粗暴犯,計,1402.0,981939.0,14.27787265807754,4.505171311832159,3.169218586778008
2015,外国人,永住者等,計,風俗犯,計,109.0,981939.0,1.1100485875395518,0.5046196576746895,2.1997727806615908
2016,外国人,来日外国人,計,その他の刑法犯,計,1117.0,1479479.0120491977,7.549955024051777,3.0651688372835717,2.4631449113722343
2016,外国人,来日外国人,計,凶悪犯,計,161.0,1479479.0120491977,1.0882209121507038,0.3591768606247953,3.029763415877409
2016,外国人,来日外国人,計,知能犯,計,437.0,1479479.0120491977,2.9537424758376245,1.1012284759775581,2.682224933582101
2016,外国人,来日外国人,計,窃盗犯,計,3030.0,1479479.0120491977,20.48018238395424,9.978712866962804,2.0523871822947584
2016,外国人,来日外国人,計,粗暴犯,計,1225.0,1479479.0120491977,8.27994172288579,4.4931930819434225,1.8427745195638243
2016,外国人,来日外国人,計,風俗犯,計,127.0,1479479.0120491977,0.8584102847399961,0.505886724118479,1.6968428776932203
2016,外国人,永住者等,計,その他の刑法犯,計,656.0,996323.0,6.584210140687308,3.0651688372835717,2.1480742139223876
2016,外国人,永住者等,計,凶悪犯,計,115.0,996323.0,1.1542441557607324,0.3591768606247953,3.213581614786937
2016,外国人,永住者等,計,知能犯,計,264.0,996323.0,2.6497431053985503,1.1012284759775581,2.406170166500988
2016,外国人,永住者等,計,窃盗犯,計,2080.0,996323.0,20.876763860715855,9.978712866962804,2.092129930888578
2016,外国人,永住者等,計,粗暴犯,計,1371.0,996323.0,13.760597717808382,4.4931930819434225,3.062543155135583
2016,外国人,永住者等,計,風俗犯,計,95.0,996323.0,0.9535060417153876,0.505886724118479,1.884821238147526
2017,外国人,来日外国人,計,その他の刑法犯,計,1136.0,1664223.6850248936,6.8260054836499195,2.789661633532124,2.4468937026628526
2017,外国人,来日外国人,計,凶悪犯,計,147.0,1664223.6850248936,0.8832947236765301,0.34525290965591654,2.5583990720218197
2017,外国人,来日外国人,計,知能犯,計,598.0,1664223.6850248936,3.5932669711467007,1.0505293915068348,3.4204344973087055
2017,外国人,来日外国人,計,窃盗犯,計,2868.0,1664223.6850248936,17.233260323158422,9.454492670876744,1.8227588642850288
2017,外国人,来日外国人,計,粗暴犯,計,1233.0,1664223.6850248936,7.408859825123549,4.4089974591361205,1.680395576044448
2017,外国人,来日外国人,計,風俗犯,計,131.0,1664223.6850248936,0.7871538013716016,0.47537972809840895,1.6558421717315046
2017,外国人,永住者等,計,その他の刑法犯,計,613.0,1011247.0,6.061822680314503,2.789661633532124,2.172959834071109
2017,外国人,永住者等,計,凶悪犯,計,105.0,1011247.0,1.0383219925497924,0.34525290965591654,3.007424306965573
2017,外国人,永住者等,計,知能犯,計,228.0,1011247.0,2.2546420409652637,1.0505293915068348,2.146196059999141
2017,外国人,永住者等,計,窃盗犯,計,2004.0,1011247.0,19.817116886378894,9.454492670876744,2.0960529111649513
2017,外国人,永住者等,計,粗暴犯,計,1348.0,1011247.0,13.33007662816305,4.4089974591361205,3.0233804287051886
2017,外国人,永住者等,計,風俗犯,計,96.0,1011247.0,0.9493229646169531,0.47537972809840895,1.996978222892232
2018,外国人,来日外国人,計,その他の刑法犯,計,1073.0,1843384.7854751202,5.820814018075132,2.561291737443421,2.272608751662642
2018,外国人,来日外国人,計,凶悪犯,計,171.0,1843384.7854751202,0.9276413765991124,0.3566987961181756,2.600629401316458
2018,外国人,来日外国人,計,知能犯,計,463.0,1843384.7854751202,2.5116839612011055,1.0504765920821748,2.3909946971999028
2018,外国人,来日外国人,計,窃盗犯,計,2694.0,1843384.7854751202,14.614420283964964,8.879501963871782,1.645860358320429
2018,外国人,来日外国人,計,粗暴犯,計,1290.0,1843384.7854751202,6.997996349782778,4.466591953225151,1.5667418074153383
2018,外国人,来日外国人,計,風俗犯,計,153.0,1843384.7854751202,0.8299949159044689,0.49122156592999583,1.6896548797345592
2018,外国人,永住者等,計,その他の刑法犯,計,542.0,1025755.0,5.283912825187301,2.561291737443421,2.062987494919845
2018,外国人,永住者等,計,凶悪犯,計,94.0,1025755.0,0.9163981652538861,0.3566987961181756,2.5691092182724384
2018,外国人,永住者等,計,知能犯,計,247.0,1025755.0,2.4079824129543606,1.0504765920821748,2.2922761260024282
2018,外国人,永住者等,計,窃盗犯,計,1889.0,1025755.0,18.415703554942457,8.879501963871782,2.0739568085992683
2018,外国人,永住者等,計,粗暴犯,計,1305.0,1025755.0,12.722336230386398,4.466591953225151,2.8483318744171604
2018,外国人,永住者等,計,風俗犯,計,82.0,1025755.0,0.7994111654342411,0.49122156592999583,1.6273942776123258
2019,外国人,来日外国人,計,その他の刑法犯,計,931.0,2047685.2780342584,4.5465971259692,2.3341797959114015,1.9478350099393007
2019,外国人,来日外国人,計,凶悪犯,計,157.0,2047685.2780342584,0.7667193864416372,0.3596090624466641,2.132091391760613
2019,外国人,来日外国人,計,知能犯,計,457.0,2047685.2780342584,2.2317882777313898,0.9374611121329957,2.380672914157927
2019,外国人,来日外国人,計,窃盗犯,計,2528.0,2047685.2780342584,12.34564719060165,8.18092399788428,1.5090773601850396
2019,外国人,来日外国人,計,粗暴犯,計,1342.0,2047685.2780342584,6.55374150703616,4.3858096141861385,1.4943059739387066
2019,外国人,来日外国人,計,風俗犯,計,148.0,2047685.2780342584,0.7227673197029447,0.4711898885604339,1.53391941815883
2019,外国人,永住者等,計,その他の刑法犯,計,492.0,1041990.0,4.721734373650419,2.3341797959114015,2.022866611184412
2019,外国人,永住者等,計,凶悪犯,計,117.0,1041990.0,1.1228514669046727,0.3596090624466641,3.1224226087773026
2019,外国人,永住者等,計,知能犯,計,214.0,1041990.0,2.053762512116239,0.9374611121329957,2.190770886958003
2019,外国人,永住者等,計,窃盗犯,計,1779.0,1041990.0,17.07310050960182,8.18092399788428,2.086940364440154
2019,外国人,永住者等,計,粗暴犯,計,1289.0,1041990.0,12.37056017812071,4.3858096141861385,2.8205875918798355
2019,外国人,永住者等,計,風俗犯,計,82.0,1041990.0,0.7869557289417365,0.4711898885604339,1.6701456207942438
2020,外国人,来日外国人,計,その他の刑法犯,計,1082.0,1756575.4278948458,6.159712716104167,2.2241452627688587,2.769474107296339
2020,外国人,来日外国人,計,凶悪犯,計,192.0,1756575.4278948458,1.0930358978669132,0.36406379731725785,3.0023196646339536
2020,外国人,来日外国人,計,知能犯,計,428.0,1756575.4278948458,2.436559188994994,0.9033196173415429,2.6973389509305177
2020,外国人,来日外国人,計,窃盗犯,計,2503.0,1756575.4278948458,14.249316939379602,7.682001478763001,1.8548964067205707
2020,外国人,来日外国人,計,粗暴犯,計,1252.0,1756575.4278948458,7.127504917340496,4.158006190151738,1.714164094854412
2020,外国人,来日外国人,計,風俗犯,計,177.0,1756575.4278948458,1.0076424683460605,0.45061102769152583,2.236169126859143
2020,外国人,永住者等,計,その他の刑法犯,計,485.0,1051803.0,4.611129650704552,2.2241452627688587,2.0732142490388035
2020,外国人,永住者等,計,凶悪犯,計,104.0,1051803.0,0.9887783168521102,0.36406379731725785,2.715947930385548
2020,外国人,永住者等,計,知能犯,計,213.0,1051803.0,2.0250940527836487,0.9033196173415429,2.241835573928387
2020,外国人,永住者等,計,窃盗犯,計,1701.0,1051803.0,16.172229970821533,7.682001478763001,2.1052104735373827
2020,外国人,永住者等,計,粗暴犯,計,1252.0,1051803.0,11.903369737488864,4.158006190151738,2.8627590227455806
2020,外国人,永住者等,計,風俗犯,計,81.0,1051803.0,0.7701061890867397,0.45061102769152583,1.709026503483466
2021,外国人,来日外国人,計,その他の刑法犯,計,1071.0,1618046.1932756614,6.619094092930739,1.9605297311404062,3.376176340401901
2021,外国人,来日外国人,計,凶悪犯,計,224.0,1618046.1932756614,1.384385692639109,0.3445818344833514,4.017581758814381
2021,外国人,来日外国人,計,知能犯,計,448.0,1618046.1932756614,2.768771385278218,1.0799520425934668,2.563791053748193
2021,外国人,来日外国人,計,窃盗犯,計,2293.0,1618046.1932756614,14.171412469738735,7.351963617252195,1.9275683623466187
2021,外国人,来日外国人,計,粗暴犯,計,1343.0,1618046.1932756614,8.300133862563943,3.9504303515185066,2.101070800899819
2021,外国人,来日外国人,計,風俗犯,計,194.0,1618046.1932756614,1.1989768945177997,0.46801276775951733,2.561846550164801
2021,外国人,永住者等,計,その他の刑法犯,計,444.0,1059487.0,4.190707389519645,1.9605297311404062,2.137538300468406
2021,外国人,永住者等,計,凶悪犯,計,93.0,1059487.0,0.8777833045615472,0.3445818344833514,2.547387055030487
2021,外国人,永住者等,計,知能犯,計,232.0,1059487.0,2.1897389963255804,1.0799520425934668,2.0276261444600814
2021,外国人,永住者等,計,窃盗犯,計,1682.0,1059487.0,15.875607723360456,7.351963617252195,2.15936973438043
2021,外国人,永住者等,計,粗暴犯,計,1196.0,1059487.0,11.28848206726463,3.9504303515185066,2.8575322339059714
2021,外国人,永住者等,計,風俗犯,計,108.0,1059487.0,1.019361256910184,0.46801276775951733,2.1780629229200223
2022,外国人,来日外国人,計,その他の刑法犯,計,887.0,1767288.2555508164,5.01898882207841,1.947707399341489,2.576870028719564
2022,外国人,来日外国人,計,凶悪犯,計,196.0,1767288.2555508164,1.1090437532439328,0.3388435722803628,3.273025797066907
2022,外国人,来日外国人,計,知能犯,計,466.0,1767288.2555508164,2.636808107202411,1.0881031525261218,2.4233071111694167
2022,外国人,来日外国人,計,窃盗犯,計,1992.0,1767288.2555508164,11.271505900315889,6.944639439908759,1.6230512754257518
2022,外国人,来日外国人,計,粗暴犯,計,1267.0,1767288.2555508164,7.169175690612565,3.9730511377764994,1.8044508973082998
2022,外国人,来日外国人,計,風俗犯,計,206.0,1767288.2555508164,1.1656276182053578,0.4729844658620683,2.464409938032252
2022,外国人,永住者等,計,その他の刑法犯,計,430.0,1080070.0,3.9812234392215315,1.947707399341489,2.044056227628218
2022,外国人,永住者等,計,凶悪犯,計,92.0,1080070.0,0.8517966428101883,0.3388435722803628,2.5138344430668513
2022,外国人,永住者等,計,知能犯,計,222.0,1080070.0,2.0554223337376283,1.0881031525261218,1.8889958447099384
2022,外国人,永住者等,計,窃盗犯,計,1633.0,1080070.0,15.119390409880841,6.944639439908759,2.177131086603898
2022,外国人,永住者等,計,粗暴犯,計,1145.0,1080070.0,10.601164739322451,3.9730511377764994,2.668267880703732
2022,外国人,永住者等,計,風俗犯,計,75.0,1080070.0,0.694399437073523,0.4729844658620683,1.4681231355196847
2023,外国人,来日外国人,計,その他の刑法犯,計,1005.0,2325150.176684663,4.322301458536276,2.0970422067131937,2.0611418524145253
2023,外国人,来日外国人,計,凶悪犯,計,245.0,2325150.176684663,1.0536953804391918,0.4153280898046601,2.5370193018603024
2023,外国人,来日外国人,計,知能犯,計,425.0,2325150.176684663,1.8278389252516591,1.046028580923895,1.7474082052683853
2023,外国人,来日外国人,計,窃盗犯,計,2414.0,2325150.176684663,10.382125095429423,7.506923673424172,1.3830066145715547
2023,外国人,来日外国人,計,粗暴犯,計,1442.0,2325150.176684663,6.2017499534421,4.3510210110409515,1.4253550919898625
2023,外国人,来日外国人,計,風俗犯,計,204.0,2325150.176684663,0.8773626841207963,0.6043905321073816,1.4516486237162232
2023,外国人,永住者等,計,その他の刑法犯,計,470.0,1107466.0,4.243922612522642,2.0970422067131937,2.023765949458103
2023,外国人,永住者等,計,凶悪犯,計,113.0,1107466.0,1.0203473515214012,0.4153280898046601,2.4567260837120304
2023,外国人,永住者等,計,知能犯,計,205.0,1107466.0,1.8510726288662585,1.046028580923895,1.7696195521075686
2023,外国人,永住者等,計,窃盗犯,計,1766.0,1107466.0,15.946313475989331,7.506923673424172,2.12421414812596
2023,外国人,永住者等,計,粗暴犯,計,1249.0,1107466.0,11.277998602214426,4.3510210110409515,2.592034966872349
2023,外国人,永住者等,計,風俗犯,計,88.0,1107466.0,0.7946067870255159,0.6043905321073816,1.314724081224255
2024,外国人,来日外国人,計,その他の刑法犯,計,1216.0,2797847.7111801147,4.346197954738211,2.1679407291770465,2.0047586616392574
2024,外国人,来日外国人,計,凶悪犯,計,302.0,2797847.7111801147,1.0794011367853122,0.5425650440461921,1.989440987085441
2024,外国人,来日外国人,計,知能犯,計,478.0,2797847.7111801147,1.7084561039184745,1.0055266667873854,1.6990659326588706
2024,外国人,来日外国人,計,窃盗犯,計,2645.0,2797847.7111801147,9.453695386745533,7.7757141486852515,1.2157977011467174
2024,外国人,来日外国人,計,粗暴犯,計,1459.0,2797847.7111801147,5.21472271049593,4.34348924453942,1.2005837742206484
2024,外国人,来日外国人,計,風俗犯,計,268.0,2797847.7111801147,0.9578791544982241,0.9911460953395125,0.9664358856906026
2024,外国人,永住者等,計,その他の刑法犯,計,490.0,1124845.0,4.356155737012655,2.1679407291770465,2.009351860217257
2024,外国人,永住者等,計,凶悪犯,計,142.0,1124845.0,1.2623961523587695,0.5425650440461921,2.326718549622031
2024,外国人,永住者等,計,知能犯,計,230.0,1124845.0,2.044726162271246,1.0055266667873854,2.033487753043943
2024,外国人,永住者等,計,窃盗犯,計,1824.0,1124845.0,16.215567478185886,7.7757141486852515,2.0854119850750528
2024,外国人,永住者等,計,粗暴犯,計,1182.0,1124845.0,10.508114451324404,4.34348924453942,2.419279491605758
2024,外国人,永住者等,計,風俗犯,計,118.0,1124845.0,1.0490334223826394,0.9911460953395125,1.058404434336492
2013,外国人,来日外国人,計,凶悪犯,不同意性交等,13.0,1127271.2109154272,0.11532273577219314,0.08180929992159772,1.4096531309119276
2013,外国人,来日外国人,計,凶悪犯,強盗,86.0,1127271.2109154272,0.7629042520314315,0.1892009555092862,4.032243124660051
2013,外国人,来日外国人,計,凶悪犯,放火,4.0,1127271.2109154272,0.03548391869913634,0.04872399188700681,0.728263783916252
2013,外国人,来日外国人,計,凶悪犯,殺人,17.0,1127271.2109154272,0.15080665447132946,0.07783183119612777,1.9375961242812474
2013,外国人,永住者等,計,凶悪犯,不同意性交等,17.0,955630.0,0.17789311762920795,0.08180929992159772,2.174485270008331
2013,外国人,永住者等,計,凶悪犯,強盗,75.0,955630.0,0.7848225777759175,0.1892009555092862,4.148089927259366
2013,外国人,永住者等,計,凶悪犯,放火,5.0,955630.0,0.052321505185061165,0.04872399188700681,1.073834535281862
2013,外国人,永住者等,計,凶悪犯,殺人,28.0,955630.0,0.29300042903634255,0.07783183119612777,3.76453212693934
2014,外国人,来日外国人,計,凶悪犯,不同意性交等,27.0,1185129.0401823798,0.22782329252386696,0.07890545823078036,2.8872944613988056
2014,外国人,来日外国人,計,凶悪犯,強盗,71.0,1185129.0401823798,0.599090880340539,0.17699435355436513,3.3848022171878145
2014,外国人,来日外国人,計,凶悪犯,放火,5.0,1185129.0401823798,0.042189498615530924,0.05293542782684233,0.7969992941879579
2014,外国人,来日外国人,計,凶悪犯,殺人,28.0,1185129.0401823798,0.23626119224697315,0.08324887794990589,2.838010530173641
2014,外国人,永住者等,計,凶悪犯,不同意性交等,18.0,967620.0,0.1860234389533081,0.07890545823078036,2.3575484272486222
2014,外国人,永住者等,計,凶悪犯,強盗,66.0,967620.0,0.6820859428287964,0.17699435355436513,3.8537158340437605
2014,外国人,永住者等,計,凶悪犯,放火,8.0,967620.0,0.08267708397924806,0.05293542782684233,1.5618478469597712
2014,外国人,永住者等,計,凶悪犯,殺人,19.0,967620.0,0.1963580744507141,0.08324887794990589,2.358687339532317
2015,外国人,来日外国人,計,凶悪犯,不同意性交等,34.0,1320017.0358879438,0.2575724333521879,0.07931544207632965,3.2474437084308456
2015,外国人,来日外国人,計,凶悪犯,強盗,86.0,1320017.0358879438,0.6515067431849458,0.16558679422085676,3.934533223198811
2015,外国人,来日外国人,計,凶悪犯,放火,5.0,1320017.0358879438,0.037878299022380574,0.0527565127250302,0.7179833742954982
2015,外国人,来日外国人,計,凶悪犯,殺人,42.0,1320017.0358879438,0.31817771178799675,0.0769666932221331,4.133966245239431
2015,外国人,永住者等,計,凶悪犯,不同意性交等,16.0,981939.0,0.16294291193241128,0.07931544207632965,2.054365551863183
2015,外国人,永住者等,計,凶悪犯,強盗,48.0,981939.0,0.4888287357972338,0.16558679422085676,2.9520997619245084
2015,外国人,永住者等,計,凶悪犯,放火,2.0,981939.0,0.02036786399155141,0.0527565127250302,0.3860729782825074
2015,外国人,永住者等,計,凶悪犯,殺人,19.0,981939.0,0.1934947079197384,0.0769666932221331,2.5140057318208346
2016,外国人,来日外国人,計,凶悪犯,不同意性交等,36.0,1479479.0120491977,0.2433288996113375,0.0747116814092372,3.256905680900026
2016,外国人,来日外国人,計,凶悪犯,強盗,87.0,1479479.0120491977,0.5880448407273989,0.16561390878972557,3.550697190983034
2016,外国人,来日外国人,計,凶悪犯,放火,3.0,1479479.0120491977,0.02027740830094479,0.051466037193530226,0.39399591277437335
2016,外国人,来日外国人,計,凶悪犯,殺人,35.0,1479479.0120491977,0.23656976351102257,0.06738523323230232,3.510706310023108
2016,外国人,永住者等,計,凶悪犯,不同意性交等,9.0,996323.0,0.09033215132040513,0.0747116814092372,1.2090766747117627
2016,外国人,永住者等,計,凶悪犯,強盗,66.0,996323.0,0.6624357763496376,0.16561390878972557,3.9998800897254956
2016,外国人,永住者等,計,凶悪犯,放火,5.0,996323.0,0.05018452851133618,0.051466037193530226,0.9750999153601991
2016,外国人,永住者等,計,凶悪犯,殺人,35.0,996323.0,0.3512916995793533,0.06738523323230232,5.213185185073387
2017,外国人,来日外国人,計,凶悪犯,不同意性交等,36.0,1664223.6850248936,0.216317075186089,0.07720616247423645,2.801810998678682
2017,外国人,来日外国人,計,凶悪犯,強盗,71.0,1664223.6850248936,0.42662534272811997,0.14272265950343005,2.9891913744633305
2017,外国人,来日外国人,計,凶悪犯,放火,5.0,1664223.6850248936,0.03004403822029014,0.0514707749828243,0.5837106247247255
2017,外国人,来日外国人,計,凶悪犯,殺人,35.0,1664223.6850248936,0.21030826754203097,0.07385331269542571,2.8476483974300715
2017,外国人,永住者等,計,凶悪犯,不同意性交等,19.0,1011247.0,0.1878868367471053,0.07720616247423645,2.4335730559047377
2017,外国人,永住者等,計,凶悪犯,強盗,56.0,1011247.0,0.5537717293598893,0.14272265950343005,3.880054724923203
2017,外国人,永住者等,計,凶悪犯,放火,6.0,1011247.0,0.05933268528855957,0.0514707749828243,1.1527451317443496
2017,外国人,永住者等,計,凶悪犯,殺人,24.0,1011247.0,0.23733074115423827,0.07385331269542571,3.213542256838236
2018,外国人,来日外国人,計,凶悪犯,不同意性交等,34.0,1843384.7854751202,0.18444331464543756,0.09346652946412087,1.9733621832641177
2018,外国人,来日外国人,計,凶悪犯,強盗,95.0,1843384.7854751202,0.5153563203328402,0.14451433272829572,3.566126007042996
2018,外国人,来日外国人,計,凶悪犯,放火,4.0,1843384.7854751202,0.021699213487698536,0.04795950199908243,0.4524486823927757
2018,外国人,来日外国人,計,凶悪犯,殺人,38.0,1843384.7854751202,0.20614252813313608,0.07075843192667654,2.913328101260799
2018,外国人,永住者等,計,凶悪犯,不同意性交等,24.0,1025755.0,0.23397399963929008,0.09346652946412087,2.503291830570279
2018,外国人,永住者等,計,凶悪犯,強盗,46.0,1025755.0,0.448450165975306,0.14451433272829572,3.103153559297444
2018,外国人,永住者等,計,凶悪犯,放火,5.0,1025755.0,0.04874458325818543,0.04795950199908243,1.0163696707926204
2018,外国人,永住者等,計,凶悪犯,殺人,19.0,1025755.0,0.18522941638110466,0.07075843192667654,2.61777163989514
2019,外国人,来日外国人,計,凶悪犯,不同意性交等,34.0,2047685.2780342584,0.16604114101283865,0.10192566891535387,1.6290414650183036
2019,外国人,来日外国人,計,凶悪犯,強盗,70.0,2047685.2780342584,0.341849407967609,0.13489894161183116,2.534114826128684
2019,外国人,来日外国人,計,凶悪犯,放火,5.0,2047685.2780342584,0.02441781485482921,0.04554319433215097,0.5361462939280829
2019,外国人,来日外国人,計,凶悪犯,殺人,48.0,2047685.2780342584,0.23441102260636043,0.07724125758732804,3.0347903429891483
2019,外国人,永住者等,計,凶悪犯,不同意性交等,25.0,1041990.0,0.2399255271163831,0.10192566891535387,2.353926441391656
2019,外国人,永住者等,計,凶悪犯,強盗,51.0,1041990.0,0.4894480753174215,0.13489894161183116,3.628257341898189
2019,外国人,永住者等,計,凶悪犯,放火,14.0,1041990.0,0.1343582951851745,0.04554319433215097,2.9501289304673346
2019,外国人,永住者等,計,凶悪犯,殺人,27.0,1041990.0,0.25911956928569374,0.07724125758732804,3.3546782817814207
2020,外国人,来日外国人,計,凶悪犯,不同意性交等,46.0,1756575.4278948458,0.261873183863948,0.1009565690456424,2.593919210403785
2020,外国人,来日外国人,計,凶悪犯,強盗,80.0,1756575.4278948458,0.45543162411121385,0.1386214859524629,3.285433141781454
2020,外国人,来日外国人,計,凶悪犯,放火,7.0,1756575.4278948458,0.03985026710973121,0.051891858886152234,0.7679483442125365
2020,外国人,来日外国人,計,凶悪犯,殺人,59.0,1756575.4278948458,0.3358808227820202,0.07259388343300031,4.6268474270565445
2020,外国人,永住者等,計,凶悪犯,不同意性交等,24.0,1051803.0,0.2281796115812562,0.1009565690456424,2.2601759720865346
2020,外国人,永住者等,計,凶悪犯,強盗,51.0,1051803.0,0.48488167461016934,0.1386214859524629,3.4978825344322777
2020,外国人,永住者等,計,凶悪犯,放火,6.0,1051803.0,0.05704490289531405,0.051891858886152234,1.0993035154217021
2020,外国人,永住者等,計,凶悪犯,殺人,23.0,1051803.0,0.2186721277653705,0.07259388343300031,3.0122665633006314
2021,外国人,来日外国人,計,凶悪犯,不同意性交等,56.0,1618046.1932756614,0.34609642315977723,0.10558880429999667,3.277775759032704
2021,外国人,来日外国人,計,凶悪犯,強盗,87.0,1618046.1932756614,0.5376855145517967,0.12160097132989219,4.4217205559411665
2021,外国人,来日外国人,計,凶悪犯,放火,12.0,1618046.1932756614,0.07416351924852368,0.04721301821386333,1.57082775162946
2021,外国人,来日外国人,計,凶悪犯,殺人,69.0,1618046.1932756614,0.42644023567901124,0.07017904063959918,6.0764614590412105
