年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員,人数,検挙人員数_1万人あたり,日本人_検挙人員数_1万人あたり,対日本人倍率
2016,計,計,計,風俗犯,計,5815.0,113034149.03619675,0.5144463022531245,0.505886724118479,1.01691995011247
2017,計,計,計,その他の刑法犯,計,32534.0,113029356.0091803,2.8783672798558255,2.789661633532124,1.0317979948741622
2017,計,計,計,凶悪犯,計,4062.0,113029356.0091803,0.3593756651741059,0.34525290965591654,1.0409055365594582
2017,計,計,計,知能犯,計,12419.0,113029356.0091803,1.09874110925584,1.0505293915068348,1.0458927833326512
2017,計,計,計,窃盗犯,計,109206.0,113029356.0091803,9.661737787051553,9.454492670876744,1.0219202788969521
2017,計,計,計,粗暴犯,計,51236.0,113029356.0091803,4.5329816791877136,4.4089974591361205,1.028120728397037
2017,計,計,計,風俗犯,計,5473.0,113029356.0091803,0.48421049125994137,0.47537972809840895,1.018576229989564
2018,計,計,計,その他の刑法犯,計,29813.0,112962026.07318132,2.6392054955428956,2.561291737443421,1.0304197124288719
2018,計,計,計,凶悪犯,計,4192.0,112962026.07318132,0.371098159773113,0.3566987961181756,1.0403684111402687
2018,計,計,計,知能犯,計,12275.0,112962026.07318132,1.0866483566829586,1.0504765920821748,1.0344336702725445
2018,計,計,計,窃盗犯,計,102340.0,112962026.07318132,9.059681696369367,8.879501963871782,1.0202916484765345
2018,計,計,計,粗暴犯,計,51769.0,112962026.07318132,4.582867517484325,4.466591953225151,1.0260322781836422
2018,計,計,計,風俗犯,計,5643.0,112962026.07318132,0.4995484054388542,0.49122156592999583,1.0169512905914335
2019,計,計,計,その他の刑法犯,計,27049.0,112875562.5729506,2.396355719823628,2.3341797959114015,1.0266371613793999
