年,罪種00,罪種01,罪種02,年齢層,検挙人員
2020,知能犯,汚職,賄賂,20~24歳,0
2020,知能犯,あっせん利得処罰法,,20~24歳,0
2020,知能犯,背任,,20~24歳,2
2020,風俗犯,賭博,普通賭博,20~24歳,11
2020,風俗犯,賭博,常習賭博,20~24歳,8
2020,風俗犯,賭博,賭博開張等,20~24歳,0
2020,風俗犯,わいせつ,強制わいせつ,20~24歳,294
2020,風俗犯,わいせつ,公然わいせつ,20~24歳,115
2020,その他の刑法犯,占有離脱物横領,,20~24歳,1738
2020,その他の刑法犯,公務執行妨害,,20~24歳,134
2020,その他の刑法犯,住居侵入,,20~24歳,442
2020,その他の刑法犯,逮捕監禁,,20~24歳,89
2020,その他の刑法犯,略取誘拐・人身売買,,20~24歳,66
2020,その他の刑法犯,盗品等,,20~24歳,108
2020,その他の刑法犯,器物損壊等,,20~24歳,439
2020,粗暴犯,傷害,その他,20~24歳,2016
2020,知能犯,汚職,その他,20~24歳,2
2020,風俗犯,わいせつ,その他,20~24歳,56
2020,その他の刑法犯,その他,,20~24歳,267
2020,凶悪犯,殺人,殺人,25~29歳,83
2020,凶悪犯,殺人,嬰児殺,25~29歳,5
2020,凶悪犯,殺人,殺人予備,25~29歳,1
2020,凶悪犯,殺人,自殺関与,25~29歳,1
2020,凶悪犯,強盗,強盗殺人,25~29歳,7
2020,凶悪犯,強盗,強盗傷人,25~29歳,94
2020,凶悪犯,強盗,強盗・強制性交等,25~29歳,7
2020,凶悪犯,強盗,強盗・準強盗,25~29歳,94
2020,凶悪犯,放火,,25~29歳,59
2020,凶悪犯,強制性交等,,25~29歳,167
2020,粗暴犯,凶器準備集合,,25~29歳,0
2020,粗暴犯,暴行,,25~29歳,2247
2020,粗暴犯,傷害,傷害致死,25~29歳,5
2020,粗暴犯,脅迫,,25~29歳,227
2020,粗暴犯,恐喝,,25~29歳,138
2020,窃盗犯,侵入盗,,25~29歳,769
2020,窃盗犯,乗り物盗,,25~29歳,560
2020,窃盗犯,非侵入盗,,25~29歳,3884
2020,知能犯,詐欺,,25~29歳,983
2020,知能犯,横領,横領,25~29歳,44
2020,知能犯,横領,業務上横領,25~29歳,62
2020,知能犯,偽造,通貨偽造,25~29歳,1
2020,知能犯,偽造,文書偽造,25~29歳,76
2020,知能犯,偽造,支払用カード偽造,25~29歳,6
2020,知能犯,偽造,有価証券偽造,25~29歳,2
2020,知能犯,偽造,印章偽造,25~29歳,1
2020,知能犯,汚職,賄賂,25~29歳,1
2020,知能犯,あっせん利得処罰法,,25~29歳,0
2020,知能犯,背任,,25~29歳,3
2020,風俗犯,賭博,普通賭博,25~29歳,29
2020,風俗犯,賭博,常習賭博,25~29歳,16
2020,風俗犯,賭博,賭博開張等,25~29歳,10
2020,風俗犯,わいせつ,強制わいせつ,25~29歳,362
2020,風俗犯,わいせつ,公然わいせつ,25~29歳,125
2020,その他の刑法犯,占有離脱物横領,,25~29歳,961
2020,その他の刑法犯,公務執行妨害,,25~29歳,125
2020,その他の刑法犯,住居侵入,,25~29歳,380
2020,その他の刑法犯,逮捕監禁,,25~29歳,69
2020,その他の刑法犯,略取誘拐・人身売買,,25~29歳,43
2020,その他の刑法犯,盗品等,,25~29歳,45
2020,その他の刑法犯,器物損壊等,,25~29歳,442
2020,粗暴犯,傷害,その他,25~29歳,1936
2020,知能犯,汚職,その他,25~29歳,2
2020,風俗犯,わいせつ,その他,25~29歳,53
2020,その他の刑法犯,その他,,25~29歳,254
2020,凶悪犯,殺人,殺人,30代,139
2020,凶悪犯,殺人,嬰児殺,30代,4
2020,凶悪犯,殺人,殺人予備,30代,7
2020,凶悪犯,殺人,自殺関与,30代,7
2020,凶悪犯,強盗,強盗殺人,30代,11
2020,凶悪犯,強盗,強盗傷人,30代,114
2020,凶悪犯,強盗,強盗・強制性交等,30代,8
2020,凶悪犯,強盗,強盗・準強盗,30代,127
2020,凶悪犯,放火,,30代,87
2020,凶悪犯,強制性交等,,30代,305
2020,粗暴犯,凶器準備集合,,30代,0
2020,粗暴犯,暴行,,30代,4725
2020,粗暴犯,傷害,傷害致死,30代,17
2020,粗暴犯,脅迫,,30代,500
2020,粗暴犯,恐喝,,30代,198
2020,窃盗犯,侵入盗,,30代,1162
2020,窃盗犯,乗り物盗,,30代,641
2020,窃盗犯,非侵入盗,,30代,7780
2020,知能犯,詐欺,,30代,1509
2020,知能犯,横領,横領,30代,97
2020,知能犯,横領,業務上横領,30代,156
2020,知能犯,偽造,通貨偽造,30代,10
2020,知能犯,偽造,文書偽造,30代,174
2020,知能犯,偽造,支払用カード偽造,30代,5
2020,知能犯,偽造,有価証券偽造,30代,2
2020,知能犯,偽造,印章偽造,30代,3
2020,知能犯,汚職,賄賂,30代,4
2020,知能犯,あっせん利得処罰法,,30代,0
2020,知能犯,背任,,30代,18
2020,風俗犯,賭博,普通賭博,30代,82
2020,風俗犯,賭博,常習賭博,30代,42
2020,風俗犯,賭博,賭博開張等,30代,32
2020,風俗犯,わいせつ,強制わいせつ,30代,618
2020,風俗犯,わいせつ,公然わいせつ,30代,261
2020,その他の刑法犯,占有離脱物横領,,30代,1279
2020,その他の刑法犯,公務執行妨害,,30代,311
2020,その他の刑法犯,住居侵入,,30代,664
2020,その他の刑法犯,逮捕監禁,,30代,59
2020,その他の刑法犯,略取誘拐・人身売買,,30代,71
2020,その他の刑法犯,盗品等,,30代,79
2020,その他の刑法犯,器物損壊等,,30代,925
2020,粗暴犯,傷害,その他,30代,3941
2020,知能犯,汚職,その他,30代,5
2020,風俗犯,わいせつ,その他,30代,110
2020,その他の刑法犯,その他,,30代,549
2020,凶悪犯,殺人,殺人,40代,159
2020,凶悪犯,殺人,嬰児殺,40代,2
2020,凶悪犯,殺人,殺人予備,40代,4
2020,凶悪犯,殺人,自殺関与,40代,6
2020,凶悪犯,強盗,強盗殺人,40代,10
2020,凶悪犯,強盗,強盗傷人,40代,98
2020,凶悪犯,強盗,強盗・強制性交等,40代,5
2020,凶悪犯,強盗,強盗・準強盗,40代,100
2020,凶悪犯,放火,,40代,109
2020,凶悪犯,強制性交等,,40代,225
2020,粗暴犯,凶器準備集合,,40代,0
2020,粗暴犯,暴行,,40代,5493
2020,粗暴犯,傷害,傷害致死,40代,19
2020,粗暴犯,脅迫,,40代,586
2020,粗暴犯,恐喝,,40代,243
2020,窃盗犯,侵入盗,,40代,922
2020,窃盗犯,乗り物盗,,40代,574
2020,窃盗犯,非侵入盗,,40代,10098
2020,知能犯,詐欺,,40代,1479
2020,知能犯,横領,横領,40代,71
2020,知能犯,横領,業務上横領,40代,186
2020,知能犯,偽造,通貨偽造,40代,5
2020,知能犯,偽造,文書偽造,40代,186
2020,知能犯,偽造,支払用カード偽造,40代,0
2020,知能犯,偽造,有価証券偽造,40代,11
2020,知能犯,偽造,印章偽造,40代,4
2020,知能犯,汚職,賄賂,40代,7
2020,知能犯,あっせん利得処罰法,,40代,0
2020,知能犯,背任,,40代,17
2020,風俗犯,賭博,普通賭博,40代,46
2020,風俗犯,賭博,常習賭博,40代,42
2020,風俗犯,賭博,賭博開張等,40代,49
2020,風俗犯,わいせつ,強制わいせつ,40代,527
2020,風俗犯,わいせつ,公然わいせつ,40代,280
2020,その他の刑法犯,占有離脱物横領,,40代,1338
2020,その他の刑法犯,公務執行妨害,,40代,375
2020,その他の刑法犯,住居侵入,,40代,536
2020,その他の刑法犯,逮捕監禁,,40代,66
2020,その他の刑法犯,略取誘拐・人身売買,,40代,42
2020,その他の刑法犯,盗品等,,40代,60
2020,その他の刑法犯,器物損壊等,,40代,991
2020,粗暴犯,傷害,その他,40代,4075
2020,知能犯,汚職,その他,40代,5
2020,風俗犯,わいせつ,その他,40代,138
2020,その他の刑法犯,その他,,40代,721
2020,凶悪犯,殺人,殺人,50代,139
2020,凶悪犯,殺人,嬰児殺,50代,0
2020,凶悪犯,殺人,殺人予備,50代,4
2020,凶悪犯,殺人,自殺関与,50代,0
2020,凶悪犯,強盗,強盗殺人,50代,3
2020,凶悪犯,強盗,強盗傷人,50代,57
2020,凶悪犯,強盗,強盗・強制性交等,50代,2
2020,凶悪犯,強盗,強盗・準強盗,50代,84
2020,凶悪犯,放火,,50代,110
2020,凶悪犯,強制性交等,,50代,101
2020,粗暴犯,凶器準備集合,,50代,0
2020,粗暴犯,暴行,,50代,3911
2020,粗暴犯,傷害,傷害致死,50代,12
2020,粗暴犯,脅迫,,50代,473
2020,粗暴犯,恐喝,,50代,178
2020,窃盗犯,侵入盗,,50代,612
2020,窃盗犯,乗り物盗,,50代,472
2020,窃盗犯,非侵入盗,,50代,10257
2020,知能犯,詐欺,,50代,1104
2020,知能犯,横領,横領,50代,61
2020,知能犯,横領,業務上横領,50代,154
2020,知能犯,偽造,通貨偽造,50代,3
2020,知能犯,偽造,文書偽造,50代,143
2020,知能犯,偽造,支払用カード偽造,50代,0
2020,知能犯,偽造,有価証券偽造,50代,8
2020,知能犯,偽造,印章偽造,50代,2
2020,知能犯,汚職,賄賂,50代,10
2020,知能犯,あっせん利得処罰法,,50代,0
2020,知能犯,背任,,50代,10
2020,風俗犯,賭博,普通賭博,50代,33
2020,風俗犯,賭博,常習賭博,50代,20
2020,風俗犯,賭博,賭博開張等,50代,16
2020,風俗犯,わいせつ,強制わいせつ,50代,311
2020,風俗犯,わいせつ,公然わいせつ,50代,246
2020,その他の刑法犯,占有離脱物横領,,50代,1242
2020,その他の刑法犯,公務執行妨害,,50代,280
2020,その他の刑法犯,住居侵入,,50代,393
2020,その他の刑法犯,逮捕監禁,,50代,28
2020,その他の刑法犯,略取誘拐・人身売買,,50代,20
2020,その他の刑法犯,盗品等,,50代,42
2020,その他の刑法犯,器物損壊等,,50代,740
2020,粗暴犯,傷害,その他,50代,2488
2020,知能犯,汚職,その他,50代,1
2020,風俗犯,わいせつ,その他,50代,100
2020,その他の刑法犯,その他,,50代,576
2020,凶悪犯,殺人,殺人,60~64歳,33
2020,凶悪犯,殺人,嬰児殺,60~64歳,0
2020,凶悪犯,殺人,殺人予備,60~64歳,0
2020,凶悪犯,殺人,自殺関与,60~64歳,2
2020,凶悪犯,強盗,強盗殺人,60~64歳,0
2020,凶悪犯,強盗,強盗傷人,60~64歳,18
2020,凶悪犯,強盗,強盗・強制性交等,60~64歳,0
2020,凶悪犯,強盗,強盗・準強盗,60~64歳,31
2020,凶悪犯,放火,,60~64歳,36
2020,凶悪犯,強制性交等,,60~64歳,19
2020,粗暴犯,凶器準備集合,,60~64歳,0
2020,粗暴犯,暴行,,60~64歳,1347
2020,粗暴犯,傷害,傷害致死,60~64歳,6
2020,粗暴犯,脅迫,,60~64歳,131
2020,粗暴犯,恐喝,,60~64歳,40
2020,窃盗犯,侵入盗,,60~64歳,248
2020,窃盗犯,乗り物盗,,60~64歳,188
2020,窃盗犯,非侵入盗,,60~64歳,4929
2020,知能犯,詐欺,,60~64歳,402
2020,知能犯,横領,横領,60~64歳,12
2020,知能犯,横領,業務上横領,60~64歳,49
2020,知能犯,偽造,通貨偽造,60~64歳,2
2020,知能犯,偽造,文書偽造,60~64歳,52
2020,知能犯,偽造,支払用カード偽造,60~64歳,0
2020,知能犯,偽造,有価証券偽造,60~64歳,1
2020,知能犯,偽造,印章偽造,60~64歳,0
2020,知能犯,汚職,賄賂,60~64歳,4
2020,知能犯,あっせん利得処罰法,,60~64歳,0
2020,知能犯,背任,,60~64歳,6
2020,風俗犯,賭博,普通賭博,60~64歳,20
2020,風俗犯,賭博,常習賭博,60~64歳,4
2020,風俗犯,賭博,賭博開張等,60~64歳,1
