年,表示区分,国籍・地域,人口,総人口,構成比,構成比_pct
2024,定住者,ウルグアイ,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,定住者,ギリシャ,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,定住者,クロアチア,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,定住者,グアテマラ,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,定住者,ジンバブエ,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,定住者,トリニダード・トバゴ,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,定住者,ボツワナ,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,定住者,マラウイ,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,定住者,シエラレオネ,3,221217,1.3561344742944711e-05,0.001356134474294471
2024,定住者,ノルウェー,3,221217,1.3561344742944711e-05,0.001356134474294471
2024,定住者,パナマ,3,221217,1.3561344742944711e-05,0.001356134474294471
2024,定住者,中央アフリカ,3,221217,1.3561344742944711e-05,0.001356134474294471
2024,定住者,ガンビア,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,定住者,ギニアビサウ,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,定住者,コンゴ共和国,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,定住者,サウジアラビア,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,定住者,ジョージア,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,定住者,セルビア,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,定住者,トルクメニスタン,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,定住者,トンガ,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,定住者,ベナン,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,定住者,ボスニア・ヘルツェゴビナ,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,定住者,マダガスカル,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,定住者,ラトビア,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,定住者,レソト,2,221217,9.040896495296474e-06,0.0009040896495296474
