年,表示区分,年代,人数,総人数,構成比,構成比_pct
2017,永住者等,10代(14歳以上),43423.0,1105493.0,0.03927930796486274,3.9279307964862737
2017,永住者等,20代,88334.0,1105493.0,0.0799046217388984,7.990462173889839
2017,永住者等,30代,191993.0,1105493.0,0.1736718369089628,17.36718369089628
2017,永住者等,40代,260420.0,1105493.0,0.23556910808119091,23.556910808119092
2017,永住者等,50代,207124.0,1105493.0,0.18735894302361028,18.73589430236103
2017,永住者等,60代,122526.0,1105493.0,0.11083380898838799,11.083380898838799
2017,永住者等,70代以上,97427.0,1105493.0,0.0881299112703563,8.81299112703563
2017,定住者,0~13歳,41486.31686365028,175372.768135132,0.23656076884002508,23.65607688400251
2017,定住者,10代(14歳以上),18836.811578871064,175372.768135132,0.1074101286030709,10.741012860307091
2017,定住者,20代,34320.31452149488,175372.768135132,0.19569922335404807,19.569922335404808
2017,定住者,30代,37827.42608855371,175372.768135132,0.21569726298330483,21.569726298330483
2017,定住者,40代,25060.77096980553,175372.768135132,0.14290001370392447,14.290001370392446
2017,定住者,50代,12259.712563902118,175372.768135132,0.0699065920796523,6.99065920796523
2017,定住者,60代,3728.709210793934,175372.768135132,0.021261620321353474,2.126162032135347
2017,定住者,70代以上,1852.706338060488,175372.768135132,0.010564390114620879,1.0564390114620879
2017,日本人の配偶者等,0~13歳,2278.178363768206,143160.03275221278,0.015913508260447035,1.5913508260447036
2017,日本人の配偶者等,10代(14歳以上),1101.7503806817951,143160.03275221278,0.007695935517063967,0.7695935517063968
2017,日本人の配偶者等,20代,19983.93099964612,143160.03275221278,0.13959155090607672,13.959155090607672
2017,日本人の配偶者等,30代,52422.65390718533,143160.03275221278,0.36618218716057854,36.618218716057854
2017,日本人の配偶者等,40代,36087.6956168168,143160.03275221278,0.2520794031898474,25.20794031898474
2017,日本人の配偶者等,50代,20570.09902947961,143160.03275221278,0.1436860458469102,14.368604584691019
2017,日本人の配偶者等,60代,8405.83368436612,143160.03275221278,0.05871634368032927,5.871634368032927
2017,日本人の配偶者等,70代以上,2309.8907702687966,143160.03275221278,0.01613502543874693,1.6135025438746928
2017,技能実習,0~13歳,0.0,258517.21794259606,0.0,0.0
2017,技能実習,10代(14歳以上),12001.510437655888,258517.21794259606,0.046424414331740306,4.642441433174031
2017,技能実習,20代,178998.7385512885,258517.21794259606,0.6924054806710603,69.24054806710603
2017,技能実習,30代,58095.28003057661,258517.21794259606,0.22472499314717484,22.472499314717485
2017,技能実習,40代,9147.480187249785,258517.21794259606,0.03538441369611594,3.538441369611594
2017,技能実習,50代,274.2087358252708,258517.21794259606,0.0010606981539084915,0.10606981539084916
2017,技能実習,60代,0.0,258517.21794259606,0.0,0.0
2017,技能実習,70代以上,0.0,258517.21794259606,0.0,0.0
2017,留学,0~13歳,69.99856853433401,295377.7276627671,0.0002369798464095824,0.02369798464095824
2017,留学,10代(14歳以上),34344.94982217232,295377.7276627671,0.11627467681444136,11.627467681444136
2017,留学,20代,235741.99068753744,295377.7276627671,0.7981034743306177,79.81034743306176
2017,留学,30代,23749.80417329423,295377.7276627671,0.08040485774340235,8.040485774340235
2017,留学,40代,1263.0176496412505,295377.7276627671,0.00427594070695553,0.42759407069555305
