年,表示区分,人数,外国人総数,構成比,構成比_pct
2022,留学,263069.0,3092466.123235664,0.0850677063277736,8.50677063277736
2022,短期滞在,110730.12323566398,3092466.123235664,0.0358064143059412,3.58064143059412
2022,その他,850939.6969667992,3092466.123235664,0.27516540620223723,27.516540620223722
2023,永住者等,1214044.0,3726003.9466599617,0.3258300359795069,32.583003597950686
2023,定住者,214113.99772416515,3726003.9466599617,0.057464780174508324,5.7464780174508325
2023,日本人の配偶者等,148948.0,3726003.9466599617,0.039975266299306776,3.9975266299306775
2023,技能実習,369072.0,3726003.9466599617,0.0990530351774965,9.90530351774965
2023,留学,308264.0,3726003.9466599617,0.08273313834686939,8.27331383468694
2023,短期滞在,472529.94665996166,3726003.9466599617,0.1268194970870988,12.68194970870988
2023,その他,999032.0022758349,3726003.9466599617,0.2681242469352133,26.81242469352133
2024,永住者等,1232454.0,4251621.712852029,0.2898785647543553,28.98785647543553
2024,定住者,223329.69848391385,4251621.712852029,0.052528120695409214,5.252812069540921
2024,日本人の配偶者等,152092.0,4251621.712852029,0.035772702811317426,3.5772702811317427
2024,技能実習,437516.0,4251621.712852029,0.10290567448121109,10.29056744812111
2024,留学,371010.0,4251621.712852029,0.08726317275088025,8.726317275088025
2024,短期滞在,633073.7128520295,4251621.712852029,0.1489017028345538,14.890170283455381
2024,その他,1202146.301516086,4251621.712852029,0.28275006167227296,28.275006167227296
