年,表示区分,罪種00,検挙人員,総検挙人員,構成比,構成比_pct
2018,来日外国人計,窃盗犯,2694.0,5844.0,0.46098562628336753,46.09856262833675
2018,来日外国人計,粗暴犯,1290.0,5844.0,0.22073921971252566,22.073921971252567
2018,来日外国人計,風俗犯,153.0,5844.0,0.026180698151950718,2.6180698151950716
2018,永住者等,その他の刑法犯,542.0,4159.0,0.13031978841067565,13.031978841067565
2018,永住者等,凶悪犯,94.0,4159.0,0.022601586919932675,2.2601586919932677
2018,永住者等,知能犯,247.0,4159.0,0.059389276268333735,5.938927626833373
2018,永住者等,窃盗犯,1889.0,4159.0,0.45419572012503007,45.419572012503004
2018,永住者等,粗暴犯,1305.0,4159.0,0.31377735032459725,31.377735032459725
2018,永住者等,風俗犯,82.0,4159.0,0.019716277951430633,1.9716277951430632
2018,定住者,その他の刑法犯,124.0,977.0,0.1269191402251791,12.691914022517912
2018,定住者,凶悪犯,36.0,977.0,0.0368474923234391,3.68474923234391
2018,定住者,知能犯,50.0,977.0,0.0511770726714432,5.117707267144319
2018,定住者,窃盗犯,403.0,977.0,0.4124872057318321,41.24872057318321
2018,定住者,粗暴犯,347.0,977.0,0.35516888433981575,35.51688843398158
2018,定住者,風俗犯,17.0,977.0,0.017400204708290685,1.7400204708290685
2018,日本人の配偶者等,その他の刑法犯,90.0,681.0,0.13215859030837004,13.215859030837004
2018,日本人の配偶者等,凶悪犯,21.0,681.0,0.030837004405286344,3.0837004405286343
2018,日本人の配偶者等,知能犯,87.0,681.0,0.1277533039647577,12.77533039647577
2018,日本人の配偶者等,窃盗犯,249.0,681.0,0.3656387665198238,36.56387665198238
2018,日本人の配偶者等,粗暴犯,220.0,681.0,0.32305433186490456,32.305433186490454
2018,日本人の配偶者等,風俗犯,14.0,681.0,0.020558002936857563,2.0558002936857562
2018,技能実習,その他の刑法犯,101.0,687.0,0.1470160116448326,14.701601164483261
2018,技能実習,凶悪犯,12.0,687.0,0.017467248908296942,1.7467248908296942
2018,技能実習,知能犯,26.0,687.0,0.03784570596797671,3.7845705967976713
2018,技能実習,窃盗犯,477.0,687.0,0.6943231441048034,69.43231441048034
2018,技能実習,粗暴犯,65.0,687.0,0.09461426491994178,9.461426491994178
2018,技能実習,風俗犯,6.0,687.0,0.008733624454148471,0.8733624454148471
2018,留学,その他の刑法犯,353.0,1248.0,0.2828525641025641,28.28525641025641
2018,留学,凶悪犯,35.0,1248.0,0.028044871794871796,2.8044871794871797
2018,留学,知能犯,77.0,1248.0,0.06169871794871795,6.169871794871796
2018,留学,窃盗犯,556.0,1248.0,0.44551282051282054,44.55128205128205
2018,留学,粗暴犯,190.0,1248.0,0.15224358974358973,15.224358974358973
2018,留学,風俗犯,37.0,1248.0,0.029647435897435896,2.9647435897435894
2018,短期滞在,その他の刑法犯,111.0,721.0,0.1539528432732316,15.39528432732316
2018,短期滞在,凶悪犯,14.0,721.0,0.019417475728155338,1.9417475728155338
2018,短期滞在,知能犯,124.0,721.0,0.17198335644937587,17.198335644937586
2018,短期滞在,窃盗犯,352.0,721.0,0.4882108183079057,48.82108183079057
2018,短期滞在,粗暴犯,105.0,721.0,0.14563106796116504,14.563106796116504
2018,短期滞在,風俗犯,15.0,721.0,0.020804438280166437,2.0804438280166435
2018,その他,その他の刑法犯,294.0,1530.0,0.19215686274509805,19.215686274509807
2018,その他,凶悪犯,53.0,1530.0,0.034640522875816995,3.4640522875816995
2018,その他,知能犯,99.0,1530.0,0.06470588235294118,6.470588235294119
2018,その他,窃盗犯,657.0,1530.0,0.4294117647058823,42.94117647058823
2018,その他,粗暴犯,363.0,1530.0,0.2372549019607843,23.72549019607843
2018,その他,風俗犯,64.0,1530.0,0.04183006535947712,4.183006535947712
2019,日本人,その他の刑法犯,25626.0,183004.0,0.1400297261262049,14.00297261262049
2019,日本人,凶悪犯,3948.0,183004.0,0.02157329894428537,2.157329894428537
2019,日本人,知能犯,10292.0,183004.0,0.056239207886166424,5.623920788616642
2019,日本人,窃盗犯,89815.0,183004.0,0.49078162225962274,49.078162225962274
2019,日本人,粗暴犯,48150.0,183004.0,0.26310900308189983,26.310900308189982
2019,日本人,風俗犯,5173.0,183004.0,0.028267141701820726,2.8267141701820724
2019,外国人計,その他の刑法犯,1423.0,9536.0,0.1492239932885906,14.92239932885906
2019,外国人計,凶悪犯,274.0,9536.0,0.028733221476510067,2.873322147651007
2019,外国人計,知能犯,671.0,9536.0,0.07036493288590603,7.036493288590603
2019,外国人計,窃盗犯,4307.0,9536.0,0.4516568791946309,45.16568791946309
2019,外国人計,粗暴犯,2631.0,9536.0,0.2759018456375839,27.590184563758392
2019,外国人計,風俗犯,230.0,9536.0,0.024119127516778523,2.4119127516778525
2019,来日外国人計,その他の刑法犯,931.0,5563.0,0.16735574330397268,16.735574330397267
