年,年代,滞在期間,人数
2023,15~19歳,3年以内,1.0
2023,15~19歳,5年以内,5.0
2023,15~19歳,10年以内,4.0
2023,15~19歳,10年を超える,1.0
2023,15~19歳,不詳,4.0
2023,15~19歳,(空白),42.0
2023,20~24歳,5日以内,1049085.0
2023,20~24歳,10日以内,461797.0
2023,20~24歳,15日以内,177547.0
2023,20~24歳,20日以内,51844.0
2023,20~24歳,1月以内,39145.0
2023,20~24歳,2月以内,17871.0
2023,20~24歳,3月以内,12622.0
2023,20~24歳,6月以内,1371.0
2023,20~24歳,1年以内,167.0
2023,20~24歳,2年以内,214.0
2023,20~24歳,3年以内,135.0
2023,20~24歳,5年以内,600.0
2023,20~24歳,10年以内,168.0
2023,20~24歳,10年を超える,3.0
2023,20~24歳,不詳,5.0
2023,20~24歳,(空白),39.0
2023,25~29歳,5日以内,1674421.0
2023,25~29歳,10日以内,732550.0
2023,25~29歳,15日以内,282277.0
2023,25~29歳,20日以内,82334.0
2023,25~29歳,1月以内,52291.0
2023,25~29歳,2月以内,18355.0
2023,25~29歳,3月以内,15009.0
2023,25~29歳,6月以内,1645.0
2023,25~29歳,1年以内,146.0
2023,25~29歳,2年以内,209.0
2023,25~29歳,3年以内,108.0
2023,25~29歳,5年以内,635.0
2023,25~29歳,10年以内,748.0
2023,25~29歳,10年を超える,21.0
2023,25~29歳,不詳,4.0
2023,25~29歳,(空白),83.0
2023,30~34歳,5日以内,1668856.0
2023,30~34歳,10日以内,787875.0
2023,30~34歳,15日以内,293439.0
2023,30~34歳,20日以内,85842.0
2023,30~34歳,1月以内,51736.0
2023,30~34歳,2月以内,16738.0
2023,30~34歳,3月以内,13664.0
2023,30~34歳,6月以内,1497.0
2023,30~34歳,1年以内,116.0
2023,30~34歳,2年以内,132.0
2023,30~34歳,3年以内,82.0
2023,30~34歳,5年以内,361.0
2023,30~34歳,10年以内,416.0
2023,30~34歳,10年を超える,29.0
2023,30~34歳,不詳,4.0
2023,30~34歳,(空白),107.0
2023,35~39歳,5日以内,1333725.0
2023,35~39歳,10日以内,664657.0
2023,35~39歳,15日以内,197034.0
2023,35~39歳,20日以内,51968.0
2023,35~39歳,1月以内,32840.0
2023,35~39歳,2月以内,12291.0
2023,35~39歳,3月以内,10377.0
2023,35~39歳,6月以内,1293.0
2023,35~39歳,1年以内,111.0
2023,35~39歳,2年以内,58.0
2023,35~39歳,3年以内,31.0
2023,35~39歳,5年以内,201.0
2023,35~39歳,10年以内,189.0
2023,35~39歳,10年を超える,41.0
2023,35~39歳,不詳,5.0
2023,35~39歳,(空白),149.0
2023,40~44歳,5日以内,1267205.0
2023,40~44歳,10日以内,609034.0
2023,40~44歳,15日以内,158475.0
2023,40~44歳,20日以内,38206.0
2023,40~44歳,1月以内,24176.0
2023,40~44歳,2月以内,9576.0
2023,40~44歳,3月以内,8001.0
2023,40~44歳,6月以内,1112.0
2023,40~44歳,1年以内,71.0
2023,40~44歳,2年以内,39.0
2023,40~44歳,3年以内,32.0
2023,40~44歳,5年以内,112.0
2023,40~44歳,10年以内,111.0
2023,40~44歳,10年を超える,28.0
2023,40~44歳,不詳,3.0
2023,40~44歳,(空白),99.0
2023,45~49歳,5日以内,1059312.0
2023,45~49歳,10日以内,493466.0
2023,45~49歳,15日以内,136746.0
2023,45~49歳,20日以内,32992.0
2023,45~49歳,1月以内,20331.0
2023,45~49歳,2月以内,7728.0
2023,45~49歳,3月以内,6425.0
2023,45~49歳,6月以内,1217.0
2023,45~49歳,1年以内,64.0
2023,45~49歳,2年以内,19.0
2023,45~49歳,3年以内,20.0
2023,45~49歳,5年以内,71.0
2023,45~49歳,10年以内,68.0
2023,45~49歳,10年を超える,16.0
2023,45~49歳,不詳,2.0
2023,45~49歳,(空白),137.0
2023,50~54歳,5日以内,1045384.0
2023,50~54歳,10日以内,441115.0
2023,50~54歳,15日以内,132114.0
2023,50~54歳,20日以内,33007.0
2023,50~54歳,1月以内,21058.0
2023,50~54歳,2月以内,8858.0
2023,50~54歳,3月以内,7408.0
2023,50~54歳,6月以内,2382.0
2023,50~54歳,1年以内,123.0
2023,50~54歳,2年以内,13.0
2023,50~54歳,3年以内,8.0
2023,50~54歳,5年以内,30.0
2023,50~54歳,10年以内,40.0
2023,50~54歳,10年を超える,24.0
2023,50~54歳,不詳,3.0
2023,50~54歳,(空白),155.0
2023,55~59歳,5日以内,897567.0
2023,55~59歳,10日以内,380791.0
2023,55~59歳,15日以内,117953.0
2023,55~59歳,20日以内,31214.0
2023,55~59歳,1月以内,21568.0
2023,55~59歳,2月以内,10150.0
2023,55~59歳,3月以内,9132.0
2023,55~59歳,6月以内,4470.0
2023,55~59歳,1年以内,247.0
2023,55~59歳,2年以内,22.0
2023,55~59歳,3年以内,6.0
2023,55~59歳,5年以内,24.0
2023,55~59歳,10年以内,17.0
2023,55~59歳,10年を超える,11.0
2023,55~59歳,不詳,2.0
2023,55~59歳,(空白),163.0
2023,60~64歳,5日以内,767657.0
2023,60~64歳,10日以内,326024.0
2023,60~64歳,15日以内,107673.0
2023,60~64歳,20日以内,29812.0
2023,60~64歳,1月以内,21915.0
2023,60~64歳,2月以内,10839.0
2023,60~64歳,3月以内,10379.0
2023,60~64歳,6月以内,5254.0
2023,60~64歳,1年以内,249.0
2023,60~64歳,2年以内,11.0
2023,60~64歳,3年以内,3.0
2023,60~64歳,5年以内,18.0
2023,60~64歳,10年以内,17.0
2023,60~64歳,10年を超える,6.0
2023,60~64歳,不詳,
2023,60~64歳,(空白),191.0
2023,65~69歳,5日以内,513996.0
2023,65~69歳,10日以内,231768.0
2023,65~69歳,15日以内,80788.0
2023,65~69歳,20日以内,23562.0
2023,65~69歳,1月以内,18022.0
2023,65~69歳,2月以内,9752.0
2023,65~69歳,3月以内,9806.0
2023,65~69歳,6月以内,4651.0
2023,65~69歳,1年以内,254.0
2023,65~69歳,2年以内,9.0
2023,65~69歳,3年以内,8.0
2023,65~69歳,5年以内,39.0
2023,65~69歳,10年以内,11.0
2023,65~69歳,10年を超える,9.0
2023,65~69歳,不詳,
2023,65~69歳,(空白),198.0
2023,70歳以上,5日以内,458290.0
2023,70歳以上,10日以内,228530.0
2023,70歳以上,15日以内,88527.0
2023,70歳以上,20日以内,26209.0
2023,70歳以上,1月以内,19128.0
2023,70歳以上,2月以内,10753.0
2023,70歳以上,3月以内,10211.0
2023,70歳以上,6月以内,3235.0
2023,70歳以上,1年以内,256.0
2023,70歳以上,2年以内,14.0
2023,70歳以上,3年以内,6.0
2023,70歳以上,5年以内,48.0
2023,70歳以上,10年以内,14.0
2023,70歳以上,10年を超える,6.0
2023,70歳以上,不詳,3.0
2023,70歳以上,(空白),179.0
2022,00~04歳,5日以内,18930.0
2022,00~04歳,10日以内,12301.0
2022,00~04歳,15日以内,3444.0
2022,00~04歳,20日以内,895.0
2022,00~04歳,1月以内,813.0
2022,00~04歳,2月以内,477.0
2022,00~04歳,3月以内,284.0
2022,00~04歳,6月以内,47.0
2022,00~04歳,1年以内,
2022,00~04歳,2年以内,3.0
2022,00~04歳,3年以内,15.0
2022,00~04歳,5年以内,3.0
2022,00~04歳,10年以内,
2022,00~04歳,10年を超える,
2022,00~04歳,不詳,126.0
2022,05~09歳,5日以内,27704.0
2022,05~09歳,10日以内,19255.0
2022,05~09歳,15日以内,5975.0
2022,05~09歳,20日以内,1119.0
2022,05~09歳,1月以内,831.0
2022,05~09歳,2月以内,488.0
2022,05~09歳,3月以内,221.0
2022,05~09歳,6月以内,31.0
2022,05~09歳,1年以内,2.0
2022,05~09歳,2年以内,6.0
2022,05~09歳,3年以内,23.0
2022,05~09歳,5年以内,10.0
2022,05~09歳,10年以内,5.0
2022,05~09歳,10年を超える,
2022,05~09歳,不詳,6.0
2022,10~14歳,5日以内,29417.0
2022,10~14歳,10日以内,19737.0
2022,10~14歳,15日以内,6770.0
2022,10~14歳,20日以内,1268.0
2022,10~14歳,1月以内,748.0
2022,10~14歳,2月以内,401.0
2022,10~14歳,3月以内,201.0
2022,10~14歳,6月以内,34.0
2022,10~14歳,1年以内,1.0
2022,10~14歳,2年以内,
2022,10~14歳,3年以内,14.0
2022,10~14歳,5年以内,5.0
2022,10~14歳,10年以内,4.0
2022,10~14歳,10年を超える,
2022,10~14歳,不詳,2.0
2022,15~19歳,5日以内,40994.0
2022,15~19歳,10日以内,20630.0
2022,15~19歳,15日以内,7000.0
2022,15~19歳,20日以内,1471.0
2022,15~19歳,1月以内,1182.0
2022,15~19歳,2月以内,723.0
2022,15~19歳,3月以内,582.0
2022,15~19歳,6月以内,87.0
2022,15~19歳,1年以内,6.0
2022,15~19歳,2年以内,11.0
2022,15~19歳,3年以内,12.0
2022,15~19歳,5年以内,2.0
2022,15~19歳,10年以内,1.0
2022,15~19歳,10年を超える,
2022,15~19歳,不詳,2.0
2022,20~24歳,5日以内,107114.0
2022,20~24歳,10日以内,39571.0
2022,20~24歳,15日以内,13005.0
2022,20~24歳,20日以内,3609.0
2022,20~24歳,1月以内,3425.0
2022,20~24歳,2月以内,2226.0
2022,20~24歳,3月以内,2378.0
2022,20~24歳,6月以内,359.0
2022,20~24歳,1年以内,35.0
2022,20~24歳,2年以内,194.0
2022,20~24歳,3年以内,418.0
2022,20~24歳,5年以内,1317.0
2022,20~24歳,10年以内,330.0
2022,20~24歳,10年を超える,
2022,20~24歳,不詳,2.0
2022,25~29歳,5日以内,202347.0
2022,25~29歳,10日以内,71809.0
2022,25~29歳,15日以内,23426.0
2022,25~29歳,20日以内,6599.0
2022,25~29歳,1月以内,5909.0
2022,25~29歳,2月以内,3311.0
2022,25~29歳,3月以内,3247.0
2022,25~29歳,6月以内,446.0
2022,25~29歳,1年以内,48.0
2022,25~29歳,2年以内,214.0
2022,25~29歳,3年以内,563.0
2022,25~29歳,5年以内,1799.0
2022,25~29歳,10年以内,1731.0
2022,25~29歳,10年を超える,5.0
2022,25~29歳,不詳,5.0
2022,30~34歳,5日以内,202669.0
2022,30~34歳,10日以内,83813.0
2022,30~34歳,15日以内,27778.0
2022,30~34歳,20日以内,8033.0
2022,30~34歳,1月以内,6925.0
2022,30~34歳,2月以内,3597.0
2022,30~34歳,3月以内,3224.0
2022,30~34歳,6月以内,461.0
2022,30~34歳,1年以内,46.0
2022,30~34歳,2年以内,168.0
2022,30~34歳,3年以内,437.0
2022,30~34歳,5年以内,1008.0
2022,30~34歳,10年以内,907.0
2022,30~34歳,10年を超える,33.0
2022,30~34歳,不詳,6.0
