年,年代,罪種00,罪種01,検挙人員,人数,年代別検挙人員割合
2016,30代,風俗犯,,1265,15563922.265101623,8.127771254913424e-05
2016,40代,その他の刑法犯,,5124,19127265.367824294,0.0002678898369141438
2016,40代,凶悪犯,不同意性交等,146,19127265.367824294,7.633082784829233e-06
2016,40代,凶悪犯,強盗,295,19127265.367824294,1.5423009736470024e-05
2016,40代,凶悪犯,放火,114,19127265.367824294,5.960078338839264e-06
2016,40代,凶悪犯,殺人,149,19127265.367824294,7.789926951640792e-06
2016,40代,知能犯,,2484,19127265.367824294,0.00012986697011997133
2016,40代,窃盗犯,,14448,19127265.367824294,0.0007553615073644709
2016,40代,粗暴犯,,11873,19127265.367824294,0.0006207369308512156
2016,40代,風俗犯,,1250,19127265.367824294,6.535173617148315e-05
2016,50代,その他の刑法犯,,3585,15543632.416015755,0.00023064106922048087
2016,50代,凶悪犯,不同意性交等,50,15543632.416015755,3.216751314093178e-06
2016,50代,凶悪犯,強盗,185,15543632.416015755,1.1901979862144759e-05
2016,50代,凶悪犯,放火,97,15543632.416015755,6.240497549340765e-06
2016,50代,凶悪犯,殺人,100,15543632.416015755,6.433502628186356e-06
2016,50代,知能犯,,1892,15543632.416015755,0.00012172186972528586
2016,50代,窃盗犯,,12547,15543632.416015755,0.000807211574758542
2016,50代,粗暴犯,,6768,15543632.416015755,0.0004354194578756526
2016,50代,風俗犯,,745,15543632.416015755,4.7929594579988355e-05
2016,60代,その他の刑法犯,,3593,18480534.89709995,0.0001944207794853292
2016,60代,凶悪犯,不同意性交等,33,18480534.89709995,1.7856626003383977e-06
2016,60代,凶悪犯,強盗,137,18480534.89709995,7.413205340798803e-06
2016,60代,凶悪犯,放火,62,18480534.89709995,3.3548812491206263e-06
2016,60代,凶悪犯,殺人,100,18480534.89709995,5.411098788904236e-06
2016,60代,知能犯,,1244,18480534.89709995,6.73140689339687e-05
2016,60代,窃盗犯,,16566,18480534.89709995,0.0008964026253698757
2016,60代,粗暴犯,,5719,18480534.89709995,0.00030946073973743326
2016,60代,風俗犯,,474,18480534.89709995,2.564860825940608e-05
2016,70代以上,その他の刑法犯,,2707,24334029.668349538,0.00011124339194510413
2016,70代以上,凶悪犯,不同意性交等,10,24334029.668349538,4.109471442375476e-07
2016,70代以上,凶悪犯,強盗,68,24334029.668349538,2.7944405808153235e-06
2016,70代以上,凶悪犯,放火,51,24334029.668349538,2.095830435611493e-06
2016,70代以上,凶悪犯,殺人,97,24334029.668349538,3.986187299104212e-06
2016,70代以上,知能犯,,575,24334029.668349538,2.3629460793658987e-05
2016,70代以上,窃盗犯,,24478,24334029.668349538,0.001005916419664669
2016,70代以上,粗暴犯,,3380,24334029.668349538,0.00013890013475229107
2016,70代以上,風俗犯,,225,24334029.668349538,9.246310745344821e-06
2017,10代(14歳以上),その他の刑法犯,,5808,7154929.053876686,0.0008117480908986942
2017,10代(14歳以上),凶悪犯,不同意性交等,109,7154929.053876686,1.5234253083326045e-05
2017,10代(14歳以上),凶悪犯,強盗,269,7154929.053876686,3.7596459444171615e-05
2017,10代(14歳以上),凶悪犯,放火,46,7154929.053876686,6.429134328743101e-06
2017,10代(14歳以上),凶悪犯,殺人,47,7154929.053876686,6.568898118498386e-06
2017,10代(14歳以上),知能犯,,944,7154929.053876686,0.00013193701752898886
2017,10代(14歳以上),窃盗犯,,15805,7154929.053876686,0.0022089666970822766
2017,10代(14歳以上),粗暴犯,,3691,7154929.053876686,0.0005158681479867563
2017,10代(14歳以上),風俗犯,,582,7154929.053876686,8.134252563757576e-05
2017,20代,その他の刑法犯,,7540,12738388.46755802,0.0005919116079088642
2017,20代,凶悪犯,不同意性交等,315,12738388.46755802,2.472840271767801e-05
2017,20代,凶悪犯,強盗,494,12738388.46755802,3.878041569058076e-05
2017,20代,凶悪犯,放火,89,12738388.46755802,6.986755053566168e-06
2017,20代,凶悪犯,殺人,163,12738388.46755802,1.279596712057624e-05
2017,20代,知能犯,,3101,12738388.46755802,0.0002434373867540302
2017,20代,窃盗犯,,15230,12738388.46755802,0.0011955986456832894
2017,20代,粗暴犯,,9597,12738388.46755802,0.0007533920027985901
2017,20代,風俗犯,,1210,12738388.46755802,9.498846758219172e-05
2017,30代,その他の刑法犯,,4935,15207355.653297298,0.0003245140123312616
