年,区分00,区分01,在留資格,罪種00,罪種01,推定検挙人員
2016,外国人,計,計,風俗犯,計,180.42152135861716
2016,日本人,計,計,その他の刑法犯,計,34645.457294312764
2016,日本人,計,計,凶悪犯,計,4115.43206142915
2016,日本人,計,計,知能犯,計,12470.953643509862
2016,日本人,計,計,窃盗犯,計,112882.91754910823
2016,日本人,計,計,粗暴犯,計,50786.016154273646
2016,日本人,計,計,風俗犯,計,5636.578478641383
2017,外国人,計,計,その他の刑法犯,計,1039.5453702503387
2017,外国人,計,計,凶悪犯,計,143.62513228257703
2017,外国人,計,計,知能犯,計,431.01651566038015
2017,外国人,計,計,窃盗犯,計,2651.5965508021227
2017,外国人,計,計,粗暴犯,計,1623.754144401189
2017,外国人,計,計,風俗犯,計,188.63670567976254
2017,日本人,計,計,その他の刑法犯,計,31506.454629743384
2017,日本人,計,計,凶悪犯,計,3923.374867717423
2017,日本人,計,計,知能犯,計,11990.983484335406
2017,日本人,計,計,窃盗犯,計,106586.4034491896
2017,日本人,計,計,粗暴犯,計,49629.24585559506
2017,日本人,計,計,風俗犯,計,5288.363294320237
2018,外国人,計,計,その他の刑法犯,計,1042.513403581709
2018,外国人,計,計,凶悪犯,計,160.5330429883133
2018,外国人,計,計,知能犯,計,455.4054797865077
2018,外国人,計,計,窃盗犯,計,2697.9595228564935
2018,外国人,計,計,粗暴犯,計,1780.9599805778632
2018,外国人,計,計,風俗犯,計,202.7329346841055
2018,日本人,計,計,その他の刑法犯,計,28780.486596413215
2018,日本人,計,計,凶悪犯,計,4032.4669570116866
2018,日本人,計,計,知能犯,計,11824.594520211214
2018,日本人,計,計,窃盗犯,計,99671.04047713877
2018,日本人,計,計,粗暴犯,計,50005.04001941434
2018,日本人,計,計,風俗犯,計,5440.267065315895
2019,外国人,計,計,その他の刑法犯,計,1005.6100950501244
2019,外国人,計,計,凶悪犯,計,178.80361739199785
2019,外国人,計,計,知能犯,計,457.5439325088295
2019,外国人,計,計,窃盗犯,計,2670.6128041492293
2019,外国人,計,計,粗暴犯,計,1889.026459054566
2019,外国人,計,計,風俗犯,計,213.3852647401422
2019,日本人,計,計,その他の刑法犯,計,26072.3899049453
2019,日本人,計,計,凶悪犯,計,4046.196382608002
2019,日本人,計,計,知能犯,計,10507.456067487892
2019,日本人,計,計,窃盗犯,計,91473.38719584435
2019,日本人,計,計,粗暴犯,計,48899.973540941086
2019,日本人,計,計,風俗犯,計,5192.614735259857
2020,外国人,計,計,その他の刑法犯,計,870.5296717400502
2020,外国人,計,計,凶悪犯,計,165.88468503181863
2020,外国人,計,計,知能犯,計,403.90950676610413
2020,外国人,計,計,窃盗犯,計,2252.8363431734965
2020,外国人,計,計,粗暴犯,計,1640.0363233401908
2020,外国人,計,計,風俗犯,計,187.90016775969588
2020,日本人,計,計,その他の刑法犯,計,25099.47032825489
2020,日本人,計,計,凶悪犯,計,4125.115314968181
2020,日本人,計,計,知能犯,計,10143.0904932308
2020,日本人,計,計,窃盗犯,計,86211.16365682182
2020,日本人,計,計,粗暴犯,計,46467.96367665481
2020,日本人,計,計,風俗犯,計,5014.099832240304
2021,外国人,計,計,その他の刑法犯,計,712.3297551853102
2021,外国人,計,計,凶悪犯,計,156.0362133335175
2021,外国人,計,計,知能犯,計,488.8266510687132
2021,外国人,計,計,窃盗犯,計,2021.7900635220508
2021,外国人,計,計,粗暴犯,計,1479.8179302966655
2021,外国人,計,計,風俗犯,計,187.9028582360227
2021,日本人,計,計,その他の刑法犯,計,22246.670244811034
2021,日本人,計,計,凶悪犯,計,3936.9637866664825
2021,日本人,計,計,知能犯,計,11994.173348928538
2021,日本人,計,計,窃盗犯,計,82338.20993646933
2021,日本人,計,計,粗暴犯,計,44244.182069699265
2021,日本人,計,計,風俗犯,計,5234.097141763978
2022,外国人,計,計,その他の刑法犯,計,746.9749377265233
2022,外国人,計,計,凶悪犯,計,156.78700534652452
2022,外国人,計,計,知能犯,計,535.4715241241539
2022,外国人,計,計,窃盗犯,計,2027.0292967670216
2022,外国人,計,計,粗暴犯,計,1576.1952855485208
2022,外国人,計,計,風俗犯,計,205.1595086079962
2022,日本人,計,計,その他の刑法犯,計,21802.025062269255
2022,日本人,計,計,凶悪犯,計,3821.2129946534756
2022,日本人,計,計,知能犯,計,11998.528475872314
2022,日本人,計,計,窃盗犯,計,77206.970703226
2022,日本人,計,計,粗暴犯,計,44105.8047144459
2022,日本人,計,計,風俗犯,計,5226.840491392003
2023,外国人,計,計,その他の刑法犯,計,964.4777966780877
2023,外国人,計,計,凶悪犯,計,230.61361486987497
2023,外国人,計,計,知能犯,計,587.8661501916105
2023,外国人,計,計,窃盗犯,計,2663.590380890626
2023,外国人,計,計,粗暴犯,計,2046.0775248040143
2023,外国人,計,計,風俗犯,計,309.7398475948988
2023,日本人,計,計,その他の刑法犯,計,23256.522203316767
2023,日本人,計,計,凶悪犯,計,4629.386385130125
2023,日本人,計,計,知能犯,計,11379.133849805861
2023,日本人,計,計,窃盗犯,計,82871.40961910569
2023,日本人,計,計,粗暴犯,計,47799.9224751913
2023,日本人,計,計,風俗犯,計,6530.2601524037145
2024,外国人,計,計,その他の刑法犯,計,1162.1477366879221
2024,外国人,計,計,凶悪犯,計,363.6116425252215
2024,外国人,計,計,知能犯,計,644.6420367446885
2024,外国人,計,計,窃盗犯,計,3178.8691161050174
2024,外国人,計,計,粗暴犯,計,2348.8422012632236
2024,外国人,計,計,風俗犯,計,600.8205136353124
2024,日本人,計,計,その他の刑法犯,計,23957.852263307766
2024,日本人,計,計,凶悪犯,計,5936.388357474779
2024,日本人,計,計,知能犯,計,10901.35796325218
2024,日本人,計,計,窃盗犯,計,85123.13088388888
2024,日本人,計,計,粗暴犯,計,47135.15779873256
2024,日本人,計,計,風俗犯,計,10473.179486361701
2013,外国人,計,計,凶悪犯,不同意性交等,27.29353130405997
2013,外国人,計,計,凶悪犯,強盗,57.55413035697582
2013,外国人,計,計,凶悪犯,放火,12.2983447269806
2013,外国人,計,計,凶悪犯,殺人,20.39984536527279
2013,日本人,計,計,凶悪犯,不同意性交等,909.70646869594
2013,日本人,計,計,凶悪犯,強盗,2197.4458696430243
2013,日本人,計,計,凶悪犯,放火,536.7016552730194
2013,日本人,計,計,凶悪犯,殺人,885.6001546347272
2014,外国人,計,計,凶悪犯,不同意性交等,28.24085259874719
2014,外国人,計,計,凶悪犯,強盗,56.47637787183062
2014,外国人,計,計,凶悪犯,放火,13.88599606194803
2014,外国人,計,計,凶悪犯,殺人,22.160852021773756
2014,日本人,計,計,凶悪犯,不同意性交等,890.7591474012528
2014,日本人,計,計,凶悪犯,強盗,2039.5236221281696
2014,日本人,計,計,凶悪犯,放火,584.114003938052
2014,日本人,計,計,凶悪犯,殺人,944.8391479782263
2015,外国人,計,計,凶悪犯,不同意性交等,31.817009894276623
2015,外国人,計,計,凶悪犯,強盗,57.741720879949405
2015,外国人,計,計,凶悪犯,放火,15.108421481037007
2015,外国人,計,計,凶悪犯,殺人,22.67810222938303
2015,日本人,計,計,凶悪犯,不同意性交等,901.1829901057234
2015,日本人,計,計,凶悪犯,強盗,1914.2582791200505
2015,日本人,計,計,凶悪犯,放火,575.891578518963
2015,日本人,計,計,凶悪犯,殺人,890.3218977706169
2016,外国人,計,計,凶悪犯,不同意性交等,32.19136789368705
