年,区分00,区分01,在留資格,罪種00,罪種01,推定検挙人員
2018,外国人,来日外国人,計,凶悪犯,放火,11.762940730448992
2018,外国人,来日外国人,計,凶悪犯,殺人,19.709895816422
2018,外国人,永住者等,計,凶悪犯,不同意性交等,10.81847396015054
2018,外国人,永住者等,計,凶悪犯,強盗,16.46049408380111
2018,外国人,永住者等,計,凶悪犯,放火,5.344860323423021
2018,外国人,永住者等,計,凶悪犯,殺人,8.289907619795018
2019,外国人,来日外国人,計,凶悪犯,不同意性交等,44.53341527559429
2019,外国人,来日外国人,計,凶悪犯,強盗,55.50426863650277
2019,外国人,来日外国人,計,凶悪犯,放火,12.664950514319434
2019,外国人,来日外国人,計,凶悪犯,殺人,25.060245610318347
2019,外国人,永住者等,計,凶悪犯,不同意性交等,11.72906795520976
2019,外国人,永住者等,計,凶悪犯,強盗,14.91995280672414
2019,外国人,永住者等,計,凶悪犯,放火,5.161832074896957
2019,外国人,永住者等,計,凶悪犯,殺人,9.22988451843215
2020,外国人,来日外国人,計,凶悪犯,不同意性交等,38.816233154029995
2020,外国人,来日外国人,計,凶悪犯,強盗,52.011078866426566
2020,外国人,来日外国人,計,凶悪犯,放火,12.667703696485525
2020,外国人,来日外国人,計,凶悪犯,殺人,20.56041660771402
2020,外国人,永住者等,計,凶悪犯,不同意性交等,11.970003632277134
2020,外国人,永住者等,計,凶悪犯,強盗,14.94509997294062
2020,外国人,永住者等,計,凶悪犯,放火,5.978876389642958
2020,外国人,永住者等,計,凶悪犯,殺人,8.93527271230183
2021,外国人,来日外国人,計,凶悪犯,不同意性交等,39.13430207979637
2021,外国人,来日外国人,計,凶悪犯,強盗,44.804676583831146
2021,外国人,来日外国人,計,凶悪犯,放火,10.450464914532333
2021,外国人,来日外国人,計,凶悪犯,殺人,21.525548823997216
2021,外国人,永住者等,計,凶悪犯,不同意性交等,12.667919980477599
2021,外国人,永住者等,計,凶悪犯,強盗,13.280659005937002
2021,外国人,永住者等,計,凶悪犯,放火,5.6156916490515325
2021,外国人,永住者等,計,凶悪犯,殺人,8.556950295894302
2022,外国人,来日外国人,計,凶悪犯,不同意性交等,44.974764455365985
2022,外国人,来日外国人,計,凶悪犯,強盗,39.77692782643784
2022,外国人,来日外国人,計,凶悪犯,放火,11.276753695000247
2022,外国人,来日外国人,計,凶悪犯,殺人,20.628251386386268
2022,外国人,永住者等,計,凶悪犯,不同意性交等,13.573789934455041
2022,外国人,永住者等,計,凶悪犯,強盗,12.57955418386565
2022,外国人,永住者等,計,凶悪犯,放火,5.786708605947533
2022,外国人,永住者等,計,凶悪犯,殺人,8.190255259065957
2023,外国人,来日外国人,計,凶悪犯,不同意性交等,78.37858964090731
2023,外国人,来日外国人,計,凶悪犯,強盗,62.12431751236965
2023,外国人,来日外国人,計,凶悪犯,放火,15.113388617147523
2023,外国人,来日外国人,計,凶悪犯,殺人,25.38997625188166
2023,外国人,永住者等,計,凶悪犯,不同意性交等,19.892229879858693
2023,外国人,永住者等,計,凶悪犯,強盗,15.011289968706512
2023,外国人,永住者等,計,凶悪犯,放火,6.241337368732582
2023,外国人,永住者等,計,凶悪犯,殺人,8.462485630271027
2024,外国人,来日外国人,計,凶悪犯,不同意性交等,163.77865370400357
2024,外国人,来日外国人,計,凶悪犯,強盗,81.407279430772
2024,外国人,来日外国人,計,凶悪犯,放火,16.72766305680854
2024,外国人,来日外国人,計,凶悪犯,殺人,37.36649647140309
2024,外国人,永住者等,計,凶悪犯,不同意性交等,32.48103643242295
2024,外国人,永住者等,計,凶悪犯,強盗,16.38902733231445
2024,外国人,永住者等,計,凶悪犯,放火,5.658077642340185
2024,外国人,永住者等,計,凶悪犯,殺人,9.803408455156712
2013,外国人,来日外国人,その他,計,計,830.949885449423
2013,外国人,来日外国人,定住者,計,計,409.3839394611722
2013,外国人,来日外国人,技能実習,計,計,501.7882412070903
2013,外国人,来日外国人,日本人の配偶者等,計,計,364.2517562399522
2013,外国人,来日外国人,留学,計,計,628.646008007867
2013,外国人,来日外国人,短期滞在,計,計,438.799163839298
2014,外国人,来日外国人,その他,計,計,836.9076721643719
2014,外国人,来日外国人,定住者,計,計,376.0078289338055
2014,外国人,来日外国人,技能実習,計,計,510.4418149988557
2014,外国人,来日外国人,日本人の配偶者等,計,計,336.13584637923014
2014,外国人,来日外国人,留学,計,計,679.702983385185
2014,外国人,来日外国人,短期滞在,計,計,518.7369142221008
2015,外国人,来日外国人,その他,計,計,882.0216435567837
2015,外国人,来日外国人,定住者,計,計,347.9883368862798
2015,外国人,来日外国人,技能実習,計,計,557.9542628960799
2015,外国人,来日外国人,日本人の配偶者等,計,計,314.81325255892835
2015,外国人,来日外国人,留学,計,計,758.5426194624873
2015,外国人,来日外国人,短期滞在,計,計,678.1726163987031
2016,外国人,来日外国人,その他,計,計,982.5524888382724
2016,外国人,来日外国人,定住者,計,計,332.0650220287604
2016,外国人,来日外国人,技能実習,計,計,623.5336835536012
2016,外国人,来日外国人,日本人の配偶者等,計,計,300.39673752933015
2016,外国人,来日外国人,留学,計,計,819.4324749308521
2016,外国人,来日外国人,短期滞在,計,計,770.1674741393447
2017,外国人,来日外国人,その他,計,計,1079.463938084545
2017,外国人,来日外国人,定住者,計,計,326.2556677805247
2017,外国人,来日外国人,技能実習,計,計,715.2550240464425
2017,外国人,来日外国人,日本人の配偶者等,計,計,287.71331215805
2017,外国人,来日外国人,留学,計,計,881.9903593241473
2017,外国人,来日外国人,短期滞在,計,計,846.1250145240292
2018,外国人,来日外国人,その他,計,計,1192.7416246341013
2018,外国人,来日外国人,定住者,計,計,332.5675339840023
2018,外国人,来日外国人,技能実習,計,計,786.0938672893187
2018,外国人,来日外国人,日本人の配偶者等,計,計,285.0588611289718
2018,外国人,来日外国人,留学,計,計,942.2913032332303
2018,外国人,来日外国人,短期滞在,計,計,905.8792575940565
2019,外国人,来日外国人,その他,計,計,1252.1783488686913
2019,外国人,来日外国人,定住者,計,計,327.14711213276644
2019,外国人,来日外国人,技能実習,計,計,939.5241107317969
2019,外国人,来日外国人,日本人の配偶者等,計,計,270.3781066519027
2019,外国人,来日外国人,留学,計,計,900.2831631749189
2019,外国人,来日外国人,短期滞在,計,計,917.1907934432008
2020,外国人,来日外国人,その他,計,計,1301.977921495763
2020,外国人,来日外国人,定住者,計,計,316.6820300629224
2020,外国人,来日外国人,技能実習,計,計,970.0006882474376
2020,外国人,来日外国人,日本人の配偶者等,計,計,256.6619614247263
2020,外国人,来日外国人,留学,計,計,702.9651521882877
2020,外国人,来日外国人,短期滞在,計,計,243.50129704937885
2021,外国人,来日外国人,その他,計,計,1349.4470304138458
2021,外国人,来日外国人,定住者,計,計,295.961537896146
2021,外国人,来日外国人,技能実習,計,計,821.9125425452781
2021,外国人,来日外国人,日本人の配偶者等,計,計,243.21539698572008
2021,外国人,来日外国人,留学,計,計,550.9089255654067
2021,外国人,来日外国人,短期滞在,計,計,107.6295017326533
2022,外国人,来日外国人,その他,計,計,1517.6071002988676
2022,外国人,来日外国人,定住者,計,計,294.2574625219932
2022,外国人,来日外国人,技能実習,計,計,739.2484313013183
2022,外国人,来日外国人,日本人の配偶者等,計,計,239.55666463147872
2022,外国人,来日外国人,留学,計,計,611.0428464987389
2022,外国人,来日外国人,短期滞在,計,計,187.06150131121092
2023,外国人,来日外国人,その他,計,計,1905.5668277972657
2023,外国人,来日外国人,定住者,計,計,338.02835600738416
2023,外国人,来日外国人,技能実習,計,計,874.900829207312
2023,外国人,来日外国人,日本人の配偶者等,計,計,260.40082811676285
2023,外国人,来日外国人,留学,計,計,768.1920631815866
2023,外国人,来日外国人,短期滞在,計,計,825.5143305140152
2024,外国人,来日外国人,その他,計,計,2438.3623256021765
2024,外国人,来日外国人,定住者,計,計,377.19754265064194
2024,外国人,来日外国人,技能実習,計,計,1105.6671423282787
2024,外国人,来日外国人,日本人の配偶者等,計,計,278.2868799382266
2024,外国人,来日外国人,留学,計,計,988.9791151854809
2024,外国人,来日外国人,短期滞在,計,計,1167.9690629038976
2013,外国人,来日外国人,その他,その他の刑法犯,計,168.70018210591283
2013,外国人,来日外国人,その他,凶悪犯,計,20.219911344890498
2013,外国人,来日外国人,その他,知能犯,計,57.44038282648235
2013,外国人,来日外国人,その他,窃盗犯,計,361.4932482825193
2013,外国人,来日外国人,その他,粗暴犯,計,197.40133988888857
2013,外国人,来日外国人,その他,風俗犯,計,25.694821000729554
2013,外国人,来日外国人,定住者,その他の刑法犯,計,88.0629924046969
2013,外国人,来日外国人,定住者,凶悪犯,計,8.577409720901594
2013,外国人,来日外国人,定住者,知能犯,計,21.939777906755573
2013,外国人,来日外国人,定住者,窃盗犯,計,197.81795379321477
2013,外国人,来日外国人,定住者,粗暴犯,計,83.1009366849293
2013,外国人,来日外国人,定住者,風俗犯,計,9.884868950674033
2013,外国人,来日外国人,技能実習,その他の刑法犯,計,115.26933294425392
2013,外国人,来日外国人,技能実習,凶悪犯,計,12.970824753694476
2013,外国人,来日外国人,技能実習,知能犯,計,34.20818254162617
2013,外国人,来日外国人,技能実習,窃盗犯,計,217.27440083301846
2013,外国人,来日外国人,技能実習,粗暴犯,計,107.56510698635981
2013,外国人,来日外国人,技能実習,風俗犯,計,14.500393148137483
2013,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,66.9278260965934
2013,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,8.46539893549014
2013,外国人,来日外国人,日本人の配偶者等,知能犯,計,26.535399345631472
2013,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,158.4521619744195
2013,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,92.0706543916958
2013,外国人,来日外国人,日本人の配偶者等,風俗犯,計,11.800315496121877
2013,外国人,来日外国人,留学,その他の刑法犯,計,149.55581715559833
2013,外国人,来日外国人,留学,凶悪犯,計,15.648917151294128
2013,外国人,来日外国人,留学,知能犯,計,39.49042273528323
2013,外国人,来日外国人,留学,窃盗犯,計,282.2778114602823
2013,外国人,来日外国人,留学,粗暴犯,計,125.1578263367688
2013,外国人,来日外国人,留学,風俗犯,計,16.515213168640084
2013,外国人,来日外国人,短期滞在,その他の刑法犯,計,85.13760628936039
2013,外国人,来日外国人,短期滞在,凶悪犯,計,9.364151251356017
2013,外国人,来日外国人,短期滞在,知能犯,計,28.029685351007885
2013,外国人,来日外国人,短期滞在,窃盗犯,計,204.98951238648644
2013,外国人,来日外国人,短期滞在,粗暴犯,計,99.11461983227002
2013,外国人,来日外国人,短期滞在,風俗犯,計,12.163588728817219
2014,外国人,来日外国人,その他,その他の刑法犯,計,160.35315559417757
2014,外国人,来日外国人,その他,凶悪犯,計,20.562651828917886
2014,外国人,来日外国人,その他,知能犯,計,57.80063555674484
2014,外国人,来日外国人,その他,窃盗犯,計,359.31193526505416
2014,外国人,来日外国人,その他,粗暴犯,計,212.26148455133273
2014,外国人,来日外国人,その他,風俗犯,計,26.617809368144737
2014,外国人,来日外国人,定住者,その他の刑法犯,計,76.57096398108244
2014,外国人,来日外国人,定住者,凶悪犯,計,8.11806512182711
2014,外国人,来日外国人,定住者,知能犯,計,20.966696638054604
2014,外国人,来日外国人,定住者,窃盗犯,計,178.78410076320438
2014,外国人,来日外国人,定住者,粗暴犯,計,82.08549114475635
2014,外国人,来日外国人,定住者,風俗犯,計,9.482511284880665
2014,外国人,来日外国人,技能実習,その他の刑法犯,計,109.94686509510197
2014,外国人,来日外国人,技能実習,凶悪犯,計,13.401515800089015
2014,外国人,来日外国人,技能実習,知能犯,計,34.825101469849095
2014,外国人,来日外国人,技能実習,窃盗犯,計,219.73072507751556
2014,外国人,来日外国人,技能実習,粗暴犯,計,117.10825403413969
2014,外国人,来日外国人,技能実習,風俗犯,計,15.429353522160376
2014,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,57.781624552807266
2014,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,7.795407168747935
2014,外国人,来日外国人,日本人の配偶者等,知能犯,計,23.9872697320806
2014,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,144.49057944012836
2014,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,91.05102415461468
2014,外国人,来日外国人,日本人の配偶者等,風俗犯,計,11.029941330851335
2014,外国人,来日外国人,留学,その他の刑法犯,計,153.34586804183337
2014,外国人,来日外国人,留学,凶悪犯,計,17.2996216645304
2014,外国人,来日外国人,留学,知能犯,計,42.702102987046594
2014,外国人,来日外国人,留学,窃盗犯,計,305.1027369210257
2014,外国人,来日外国人,留学,粗暴犯,計,142.73540661400946
2014,外国人,来日外国人,留学,風俗犯,計,18.517247156739508
2014,外国人,来日外国人,短期滞在,その他の刑法犯,計,95.01450431578692
2014,外国人,来日外国人,短期滞在,凶悪犯,計,11.337008541433711
2014,外国人,来日外国人,短期滞在,知能犯,計,33.22784921707546
2014,外国人,来日外国人,短期滞在,窃盗犯,計,238.56018545391524
2014,外国人,来日外国人,短期滞在,粗暴犯,計,125.80850542285317
2014,外国人,来日外国人,短期滞在,風俗犯,計,14.788861271036343
2015,外国人,来日外国人,その他,その他の刑法犯,計,166.07807132415869
2015,外国人,来日外国人,その他,凶悪犯,計,22.00484648383184
2015,外国人,来日外国人,その他,知能犯,計,63.61611827454747
2015,外国人,来日外国人,その他,窃盗犯,計,370.7131994251251
2015,外国人,来日外国人,その他,粗暴犯,計,231.05426768337819
2015,外国人,来日外国人,その他,風俗犯,計,28.555140365742442
2015,外国人,来日外国人,定住者,その他の刑法犯,計,67.36537628673834
2015,外国人,来日外国人,定住者,凶悪犯,計,7.692645198434092
2015,外国人,来日外国人,定住者,知能犯,計,20.979707472987435
2015,外国人,来日外国人,定住者,窃盗犯,計,162.2522620792949
2015,外国人,来日外国人,定住者,粗暴犯,計,80.14901731560549
2015,外国人,来日外国人,定住者,風俗犯,計,9.54932853321954
2015,外国人,来日外国人,技能実習,その他の刑法犯,計,117.0224707496518
2015,外国人,来日外国人,技能実習,凶悪犯,計,14.66284470259856
2015,外国人,来日外国人,技能実習,知能犯,計,39.983335018494884
2015,外国人,来日外国人,技能実習,窃盗犯,計,236.47752368877252
2015,外国人,来日外国人,技能実習,粗暴犯,計,132.58804516816116
2015,外国人,来日外国人,技能実習,風俗犯,計,17.22004356840092
2015,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,53.08269184968898
2015,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,7.317102383443073
2015,外国人,来日外国人,日本人の配偶者等,知能犯,計,22.876658099067257
2015,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,133.14966221295748
2015,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,87.99803154923826
2015,外国人,来日外国人,日本人の配偶者等,風俗犯,計,10.38910646453333
2015,外国人,来日外国人,留学,その他の刑法犯,計,165.6605514613927
2015,外国人,来日外国人,留学,凶悪犯,計,19.33559358201602
2015,外国人,来日外国人,留学,知能犯,計,50.569872332437434
2015,外国人,来日外国人,留学,窃盗犯,計,336.6853227198303
2015,外国人,来日外国人,留学,粗暴犯,計,164.78476033375853
2015,外国人,来日外国人,留学,風俗犯,計,21.50651903305236
2015,外国人,来日外国人,短期滞在,その他の刑法犯,計,121.25653828487508
2015,外国人,来日外国人,短期滞在,凶悪犯,計,15.009797645184062
2015,外国人,来日外国人,短期滞在,知能犯,計,44.88464243647847
2015,外国人,来日外国人,短期滞在,窃盗犯,計,306.8915214069457
2015,外国人,来日外国人,短期滞在,粗暴犯,計,170.094912829183
2015,外国人,来日外国人,短期滞在,風俗犯,計,20.03520379603673
2016,外国人,来日外国人,その他,その他の刑法犯,計,177.93042113899935
2016,外国人,来日外国人,その他,凶悪犯,計,25.124595624267734
2016,外国人,来日外国人,その他,知能犯,計,73.63779109796
2016,外国人,来日外国人,その他,窃盗犯,計,404.96453250913186
2016,外国人,来日外国人,その他,粗暴犯,計,268.1264766053684
2016,外国人,来日外国人,その他,風俗犯,計,32.76867186254503
2016,外国人,来日外国人,定住者,その他の刑法犯,計,61.641248365216434
2016,外国人,来日外国人,定住者,凶悪犯,計,7.633887991757901
2016,外国人,来日外国人,定住者,知能犯,計,21.27892154197587
2016,外国人,来日外国人,定住者,窃盗犯,計,150.3556015215345
2016,外国人,来日外国人,定住者,粗暴犯,計,81.24613206533267
2016,外国人,来日外国人,定住者,風俗犯,計,9.90923054294298
2016,外国人,来日外国人,技能実習,その他の刑法犯,計,124.21263498119473
2016,外国人,来日外国人,技能実習,凶悪犯,計,17.001676511136314
2016,外国人,来日外国人,技能実習,知能犯,計,47.44566913390513
2016,外国人,来日外国人,技能実習,窃盗犯,計,259.5327423482698
2016,外国人,来日外国人,技能実習,粗暴犯,計,155.12808719050085
2016,外国人,来日外国人,技能実習,風俗犯,計,20.21287338859446
2016,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,48.70987359861897
2016,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,6.959644338293525
2016,外国人,来日外国人,日本人の配偶者等,知能犯,計,22.033123185075915
2016,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,125.49084692265984
2016,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,87.18270855643598
2016,外国人,来日外国人,日本人の配偶者等,風俗犯,計,10.020540928245888
2016,外国人,来日外国人,留学,その他の刑法犯,計,170.53036950579843
2016,外国人,来日外国人,留学,凶悪犯,計,21.9746301924395
2016,外国人,来日外国人,留学,知能犯,計,58.907045297857216
2016,外国人,来日外国人,留学,窃盗犯,計,356.4918176896689
2016,外国人,来日外国人,留学,粗暴犯,計,186.480249220611
2016,外国人,来日外国人,留学,風俗犯,計,25.048363024477062
2016,外国人,来日外国人,短期滞在,その他の刑法犯,計,133.22787677660594
2016,外国人,来日外国人,短期滞在,凶悪犯,計,17.58831324349098
2016,外国人,来日外国人,短期滞在,知能犯,計,53.13546264412674
2016,外国人,来日外国人,短期滞在,窃盗犯,計,340.4590461488593
2016,外国人,来日外国人,短期滞在,粗暴犯,計,201.91475213108097
2016,外国人,来日外国人,短期滞在,風俗犯,計,23.842023195180783
2017,外国人,来日外国人,その他,その他の刑法犯,計,189.17662211064754
2017,外国人,来日外国人,その他,凶悪犯,計,28.011966905803387
2017,外国人,来日外国人,その他,知能犯,計,82.42013374583703
2017,外国人,来日外国人,その他,窃盗犯,計,438.20788521130936
2017,外国人,来日外国人,その他,粗暴犯,計,305.0604303545477
2017,外国人,来日外国人,その他,風俗犯,計,36.5868997564
2017,外国人,来日外国人,定住者,その他の刑法犯,計,57.76420653286608
2017,外国人,来日外国人,定住者,凶悪犯,計,7.5693742932067805
2017,外国人,来日外国人,定住者,知能犯,計,21.82972607530107
2017,外国人,来日外国人,定住者,窃盗犯,計,145.42511118567464
2017,外国人,来日外国人,定住者,粗暴犯,計,83.62643607294127
2017,外国人,来日外国人,定住者,風俗犯,計,10.040813620534816
2017,外国人,来日外国人,技能実習,その他の刑法犯,計,136.9244373835274
2017,外国人,来日外国人,技能実習,凶悪犯,計,19.384286957949893
2017,外国人,来日外国人,技能実習,知能犯,計,55.86125772471158
2017,外国人,来日外国人,技能実習,窃盗犯,計,293.08513282707037
2017,外国人,来日外国人,技能実習,粗暴犯,計,186.628118366603
2017,外国人,来日外国人,技能実習,風俗犯,計,23.371790786580256
2017,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,45.117946154579606
2017,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,6.746611680386223
2017,外国人,来日外国人,日本人の配偶者等,知能犯,計,21.01992350995278
2017,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,119.72452055715905
2017,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,85.54354473003127
2017,外国人,来日外国人,日本人の配偶者等,風俗犯,計,9.56076552594105
2017,外国人,来日外国人,留学,その他の刑法犯,計,175.4885204709096
2017,外国人,来日外国人,留学,凶悪犯,計,23.319400277419856
2017,外国人,来日外国人,留学,知能犯,計,65.99408021843384
2017,外国人,来日外国人,留学,窃盗犯,計,377.46760953131246
2017,外国人,来日外国人,留学,粗暴犯,計,212.47402457198362
2017,外国人,来日外国人,留学,風俗犯,計,27.246724254087972
2017,外国人,来日外国人,短期滞在,その他の刑法犯,計,141.40747908230875
2017,外国人,来日外国人,短期滞在,凶悪犯,計,19.512789812372546
2017,外国人,来日外国人,短期滞在,知能犯,計,59.267198066428605
2017,外国人,来日外国人,短期滞在,窃盗犯,計,370.68373632271897
2017,外国人,来日外国人,短期滞在,粗暴犯,計,229.0345263933537
2017,外国人,来日外国人,短期滞在,風俗犯,計,26.21928484684664
2018,外国人,来日外国人,その他,その他の刑法犯,計,200.58169307338673
2018,外国人,来日外国人,その他,凶悪犯,計,32.4932398423609
2018,外国人,来日外国人,その他,知能犯,計,90.22693792515227
2018,外国人,来日外国人,その他,窃盗犯,計,474.4108062442031
2018,外国人,来日外国人,その他,粗暴犯,計,354.3444488439465
2018,外国人,来日外国人,その他,風俗犯,計,40.6844987050517
2018,外国人,来日外国人,定住者,その他の刑法犯,計,55.60025824948352
2018,外国人,来日外国人,定住者,凶悪犯,計,8.307943462826064
2018,外国人,来日外国人,定住者,知能犯,計,23.20662845546618
2018,外国人,来日外国人,定住者,窃盗犯,計,143.73418613414947
2018,外国人,来日外国人,定住者,粗暴犯,計,91.10551291979058
2018,外国人,来日外国人,定住者,風俗犯,計,10.613004762286518
2018,外国人,来日外国人,技能実習,その他の刑法犯,計,144.31792681434143
2018,外国人,来日外国人,技能実習,凶悪犯,計,22.667401818073344
2018,外国人,来日外国人,技能実習,知能犯,計,61.77289980273984
2018,外国人,来日外国人,技能実習,窃盗犯,計,315.32713487816216
2018,外国人,来日外国人,技能実習,粗暴犯,計,216.41890145965894
2018,外国人,来日外国人,技能実習,風俗犯,計,25.589602516343035
2018,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,43.02037985451523
2018,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,6.992205563624008
2018,外国人,来日外国人,日本人の配偶者等,知能犯,計,20.38459005938128
2018,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,116.64579055129087
2018,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,88.27825813299684
2018,外国人,来日外国人,日本人の配偶者等,風俗犯,計,9.737636967163533
2018,外国人,来日外国人,留学,その他の刑法犯,計,178.92412362545122
2018,外国人,来日外国人,留学,凶悪犯,計,26.855905186935683
2018,外国人,来日外国人,留学,知能犯,計,72.62478325812141
2018,外国人,来日外国人,留学,窃盗犯,計,394.1652236130801
2018,外国人,来日外国人,留学,粗暴犯,計,240.5832193304533
2018,外国人,来日外国人,留学,風俗犯,計,29.138048219188597
2018,外国人,来日外国人,短期滞在,その他の刑法犯,計,145.0507076857908
2018,外国人,来日外国人,短期滞在,凶悪犯,計,22.302611127323612
2018,外国人,来日外国人,短期滞在,知能犯,計,64.12983714369287
2018,外国人,来日外国人,短期滞在,窃盗犯,計,387.28437044531427
2018,外国人,来日外国人,短期滞在,粗暴犯,計,257.9718336646178
2018,外国人,来日外国人,短期滞在,風俗犯,計,29.139897527317178
2019,外国人,来日外国人,その他,その他の刑法犯,計,199.3737172598719
2019,外国人,来日外国人,その他,凶悪犯,計,37.51733437204155
2019,外国人,来日外国人,その他,知能犯,計,95.17735016479355
2019,外国人,来日外国人,その他,窃盗犯,計,486.0330750827702
2019,外国人,来日外国人,その他,粗暴犯,計,389.15456993996185
2019,外国人,来日外国人,その他,風俗犯,計,44.92230204925215
2019,外国人,来日外国人,定住者,その他の刑法犯,計,52.18700256201859
2019,外国人,来日外国人,定住者,凶悪犯,計,8.967324029692358
2019,外国人,来日外国人,定住者,知能犯,計,22.418122681563904
2019,外国人,来日外国人,定住者,窃盗犯,計,137.62123320492125
2019,外国人,来日外国人,定住者,粗暴犯,計,95.0400421494389
2019,外国人,来日外国人,定住者,風俗犯,計,10.913387505131412
2019,外国人,来日外国人,技能実習,その他の刑法犯,計,159.63651971078815
2019,外国人,来日外国人,技能実習,凶悪犯,計,30.48718728127795
2019,外国人,来日外国人,技能実習,知能犯,計,76.07532452676266
2019,外国人,来日外国人,技能実習,窃盗犯,計,369.30331631884223
2019,外国人,来日外国人,技能実習,粗暴犯,計,271.5137714604935
2019,外国人,来日外国人,技能実習,風俗犯,計,32.5079914336324
2019,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,39.64904558097463
2019,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,6.9924755937541265
2019,外国人,来日外国人,日本人の配偶者等,知能犯,計,18.45860456650255
2019,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,109.296910689327
2019,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,86.58981278144095
2019,外国人,来日外国人,日本人の配偶者等,風俗犯,計,9.391257439903443
2019,外国人,来日外国人,留学,その他の刑法犯,計,157.65769497812192
2019,外国人,来日外国人,留学,凶悪犯,計,29.362031527374857
2019,外国人,来日外国人,留学,知能犯,計,72.26342665439414
2019,外国人,来日外国人,留学,窃盗犯,計,367.39600342713436
2019,外国人,来日外国人,留学,粗暴犯,計,243.8332008715355
2019,外国人,来日外国人,留学,風俗犯,計,29.77080571635814
2019,外国人,来日外国人,短期滞在,その他の刑法犯,計,140.5337940821329
2019,外国人,来日外国人,短期滞在,凶悪犯,計,24.436527232594003
2019,外国人,来日外国人,短期滞在,知能犯,計,63.22069160153739
2019,外国人,来日外国人,短期滞在,窃盗犯,計,384.4697307928287
2019,外国人,来日外国人,短期滞在,粗暴犯,計,274.05716366917756
2019,外国人,来日外国人,短期滞在,風俗犯,計,30.47288606493022
2020,外国人,来日外国人,その他,その他の刑法犯,計,207.88351711986962
2020,外国人,来日外国人,その他,凶悪犯,計,41.644736050622356
2020,外国人,来日外国人,その他,知能犯,計,101.07435836955129
2020,外国人,来日外国人,その他,窃盗犯,計,496.7681910816598
2020,外国人,来日外国人,その他,粗暴犯,計,406.8981372425597
2020,外国人,来日外国人,その他,風俗犯,計,47.70898163150032
2020,外国人,来日外国人,定住者,その他の刑法犯,計,51.06792744262848
2020,外国人,来日外国人,定住者,凶悪犯,計,9.48609523493244
2020,外国人,来日外国人,定住者,知能犯,計,22.065635689951733
2020,外国人,来日外国人,定住者,窃盗犯,計,130.61657310669685
2020,外国人,来日外国人,定住者,粗暴犯,計,92.68378471741023
2020,外国人,来日外国人,定住者,風俗犯,計,10.762013871302706
2020,外国人,来日外国人,技能実習,その他の刑法犯,計,164.84772392348344
2020,外国人,来日外国人,技能実習,凶悪犯,計,33.73236348755488
2020,外国人,来日外国人,技能実習,知能犯,計,79.8013105250493
2020,外国人,来日外国人,技能実習,窃盗犯,計,371.41693983268044
2020,外国人,来日外国人,技能実習,粗暴犯,計,286.36753096314357
2020,外国人,来日外国人,技能実習,風俗犯,計,33.83481951552592
2020,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,37.7662416414796
2020,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,7.0249536680950735
2020,外国人,来日外国人,日本人の配偶者等,知能犯,計,18.019226618314182
2020,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,102.99936165518083
2020,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,81.62886391607161
2020,外国人,来日外国人,日本人の配偶者等,風俗犯,計,9.223313925584993
2020,外国人,来日外国人,留学,その他の刑法犯,計,123.29984387367311
2020,外国人,来日外国人,留学,凶悪犯,計,24.972473394355433
2020,外国人,来日外国人,留学,知能犯,計,57.75784391353396
2020,外国人,来日外国人,留学,窃盗犯,計,276.05963226352276
2020,外国人,来日外国人,留学,粗暴犯,計,197.51380909904947
2020,外国人,来日外国人,留学,風俗犯,計,23.361549644152966
2020,外国人,来日外国人,短期滞在,その他の刑法犯,計,38.24590361545603
2020,外国人,来日外国人,短期滞在,凶悪犯,計,7.19481048909592
