年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員
2014,外国人,来日外国人,その他,凶悪犯,強盗,12.0
2014,外国人,来日外国人,その他,凶悪犯,殺人,6.0
2014,外国人,来日外国人,その他,知能犯,,92.0
2014,外国人,来日外国人,その他,窃盗犯,,747.0
2014,外国人,来日外国人,その他,粗暴犯,,266.0
2014,外国人,来日外国人,その他,風俗犯,,41.0
2014,外国人,来日外国人,定住者,その他の刑法犯,,205.0
2014,外国人,来日外国人,定住者,凶悪犯,不同意性交等,4.0
2014,外国人,来日外国人,定住者,凶悪犯,強盗,15.0
2014,外国人,来日外国人,定住者,凶悪犯,放火,1.0
2014,外国人,来日外国人,定住者,凶悪犯,殺人,8.0
2014,外国人,来日外国人,定住者,知能犯,,73.0
2014,外国人,来日外国人,定住者,窃盗犯,,537.0
2014,外国人,来日外国人,定住者,粗暴犯,,327.0
2014,外国人,来日外国人,定住者,風俗犯,,28.0
2014,外国人,来日外国人,技能実習,その他の刑法犯,,63.0
2014,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,2.0
2014,外国人,来日外国人,技能実習,凶悪犯,強盗,5.0
2014,外国人,来日外国人,技能実習,凶悪犯,殺人,3.0
2014,外国人,来日外国人,技能実習,知能犯,,25.0
2014,外国人,来日外国人,技能実習,窃盗犯,,367.0
2014,外国人,来日外国人,技能実習,粗暴犯,,37.0
2014,外国人,来日外国人,技能実習,風俗犯,,5.0
2014,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,,113.0
2014,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,6.0
2014,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,8.0
2014,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,2.0
2014,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,6.0
2014,外国人,来日外国人,日本人の配偶者等,知能犯,,163.0
2014,外国人,来日外国人,日本人の配偶者等,窃盗犯,,380.0
2014,外国人,来日外国人,日本人の配偶者等,粗暴犯,,280.0
2014,外国人,来日外国人,日本人の配偶者等,風俗犯,,19.0
2014,外国人,来日外国人,留学,その他の刑法犯,,279.0
2014,外国人,来日外国人,留学,凶悪犯,不同意性交等,5.0
2014,外国人,来日外国人,留学,凶悪犯,強盗,19.0
2014,外国人,来日外国人,留学,凶悪犯,放火,1.0
2014,外国人,来日外国人,留学,凶悪犯,殺人,5.0
2014,外国人,来日外国人,留学,知能犯,,78.0
2014,外国人,来日外国人,留学,窃盗犯,,748.0
2014,外国人,来日外国人,留学,粗暴犯,,120.0
2014,外国人,来日外国人,留学,風俗犯,,19.0
2014,外国人,来日外国人,短期滞在,その他の刑法犯,,88.0
2014,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,1.0
2014,外国人,来日外国人,短期滞在,凶悪犯,強盗,12.0
2014,外国人,来日外国人,短期滞在,凶悪犯,放火,1.0
2014,外国人,来日外国人,短期滞在,知能犯,,23.0
2014,外国人,来日外国人,短期滞在,窃盗犯,,233.0
2014,外国人,来日外国人,短期滞在,粗暴犯,,52.0
2014,外国人,来日外国人,短期滞在,風俗犯,,10.0
2014,外国人,永住者等,,その他の刑法犯,,677.0
2014,外国人,永住者等,,凶悪犯,不同意性交等,18.0
2014,外国人,永住者等,,凶悪犯,強盗,66.0
2014,外国人,永住者等,,凶悪犯,放火,8.0
2014,外国人,永住者等,,凶悪犯,殺人,19.0
2014,外国人,永住者等,,知能犯,,276.0
2014,外国人,永住者等,,窃盗犯,,2218.0
2014,外国人,永住者等,,粗暴犯,,1312.0
2014,外国人,永住者等,,風俗犯,,87.0
2014,日本人,,,その他の刑法犯,,41948.0
2014,日本人,,,凶悪犯,不同意性交等,872.0
2014,日本人,,,凶悪犯,強盗,1956.0
2014,日本人,,,凶悪犯,放火,585.0
2014,日本人,,,凶悪犯,殺人,920.0
2014,日本人,,,知能犯,,12395.0
2014,日本人,,,窃盗犯,,126245.0
2014,日本人,,,粗暴犯,,50210.0
2014,日本人,,,風俗犯,,5465.0
2015,外国人,来日外国人,その他,その他の刑法犯,,266.0
2015,外国人,来日外国人,その他,凶悪犯,不同意性交等,14.0
2015,外国人,来日外国人,その他,凶悪犯,強盗,18.0
2015,外国人,来日外国人,その他,凶悪犯,放火,1.0
2015,外国人,来日外国人,その他,凶悪犯,殺人,4.0
2015,外国人,来日外国人,その他,知能犯,,80.0
2015,外国人,来日外国人,その他,窃盗犯,,669.0
2015,外国人,来日外国人,その他,粗暴犯,,320.0
2015,外国人,来日外国人,その他,風俗犯,,54.0
2015,外国人,来日外国人,定住者,その他の刑法犯,,191.0
2015,外国人,来日外国人,定住者,凶悪犯,不同意性交等,7.0
2015,外国人,来日外国人,定住者,凶悪犯,強盗,20.0
2015,外国人,来日外国人,定住者,凶悪犯,放火,3.0
2015,外国人,来日外国人,定住者,凶悪犯,殺人,8.0
2015,外国人,来日外国人,定住者,知能犯,,63.0
2015,外国人,来日外国人,定住者,窃盗犯,,532.0
2015,外国人,来日外国人,定住者,粗暴犯,,371.0
2015,外国人,来日外国人,定住者,風俗犯,,12.0
2015,外国人,来日外国人,技能実習,その他の刑法犯,,83.0
2015,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,3.0
2015,外国人,来日外国人,技能実習,凶悪犯,強盗,4.0
2015,外国人,来日外国人,技能実習,凶悪犯,殺人,8.0
2015,外国人,来日外国人,技能実習,知能犯,,42.0
2015,外国人,来日外国人,技能実習,窃盗犯,,428.0
2015,外国人,来日外国人,技能実習,粗暴犯,,34.0
2015,外国人,来日外国人,技能実習,風俗犯,,2.0
2015,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,,117.0
2015,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,4.0
2015,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,10.0
2015,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,1.0
2015,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,7.0
2015,外国人,来日外国人,日本人の配偶者等,知能犯,,148.0
2015,外国人,来日外国人,日本人の配偶者等,窃盗犯,,349.0
2015,外国人,来日外国人,日本人の配偶者等,粗暴犯,,274.0
2015,外国人,来日外国人,日本人の配偶者等,風俗犯,,18.0
2015,外国人,来日外国人,留学,その他の刑法犯,,323.0
2015,外国人,来日外国人,留学,凶悪犯,不同意性交等,4.0
2015,外国人,来日外国人,留学,凶悪犯,強盗,23.0
2015,外国人,来日外国人,留学,凶悪犯,殺人,11.0
2015,外国人,来日外国人,留学,知能犯,,72.0
2015,外国人,来日外国人,留学,窃盗犯,,917.0
2015,外国人,来日外国人,留学,粗暴犯,,178.0
2015,外国人,来日外国人,留学,風俗犯,,20.0
2015,外国人,来日外国人,短期滞在,その他の刑法犯,,85.0
2015,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,2.0
2015,外国人,来日外国人,短期滞在,凶悪犯,強盗,11.0
2015,外国人,来日外国人,短期滞在,凶悪犯,殺人,4.0
2015,外国人,来日外国人,短期滞在,知能犯,,24.0
2015,外国人,来日外国人,短期滞在,窃盗犯,,273.0
2015,外国人,来日外国人,短期滞在,粗暴犯,,61.0
2015,外国人,来日外国人,短期滞在,風俗犯,,14.0
2015,外国人,永住者等,,その他の刑法犯,,733.0
2015,外国人,永住者等,,凶悪犯,不同意性交等,16.0
2015,外国人,永住者等,,凶悪犯,強盗,48.0
2015,外国人,永住者等,,凶悪犯,放火,2.0
2015,外国人,永住者等,,凶悪犯,殺人,19.0
2015,外国人,永住者等,,知能犯,,300.0
2015,外国人,永住者等,,窃盗犯,,2148.0
2015,外国人,永住者等,,粗暴犯,,1402.0
2015,外国人,永住者等,,風俗犯,,109.0
2015,日本人,,,その他の刑法犯,,37912.0
2015,日本人,,,凶悪犯,不同意性交等,878.0
2015,日本人,,,凶悪犯,強盗,1833.0
2015,日本人,,,凶悪犯,放火,584.0
2015,日本人,,,凶悪犯,殺人,852.0
2015,日本人,,,知能犯,,12287.0
2015,日本人,,,窃盗犯,,118506.0
2015,日本人,,,粗暴犯,,49871.0
2015,日本人,,,風俗犯,,5586.0
2016,外国人,来日外国人,その他,その他の刑法犯,,243.0
2016,外国人,来日外国人,その他,凶悪犯,不同意性交等,12.0
2016,外国人,来日外国人,その他,凶悪犯,強盗,16.0
2016,外国人,来日外国人,その他,凶悪犯,放火,1.0
2016,外国人,来日外国人,その他,凶悪犯,殺人,13.0
2016,外国人,来日外国人,その他,知能犯,,77.0
2016,外国人,来日外国人,その他,窃盗犯,,682.0
2016,外国人,来日外国人,その他,粗暴犯,,319.0
2016,外国人,来日外国人,その他,風俗犯,,48.0
2016,外国人,来日外国人,定住者,その他の刑法犯,,155.0
2016,外国人,来日外国人,定住者,凶悪犯,不同意性交等,9.0
2016,外国人,来日外国人,定住者,凶悪犯,強盗,21.0
2016,外国人,来日外国人,定住者,凶悪犯,放火,1.0
2016,外国人,来日外国人,定住者,凶悪犯,殺人,3.0
2016,外国人,来日外国人,定住者,知能犯,,59.0
2016,外国人,来日外国人,定住者,窃盗犯,,472.0
2016,外国人,来日外国人,定住者,粗暴犯,,346.0
2016,外国人,来日外国人,定住者,風俗犯,,21.0
2016,外国人,来日外国人,技能実習,その他の刑法犯,,98.0
2016,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,1.0
2016,外国人,来日外国人,技能実習,凶悪犯,強盗,12.0
2016,外国人,来日外国人,技能実習,凶悪犯,殺人,8.0
2016,外国人,来日外国人,技能実習,知能犯,,50.0
2016,外国人,来日外国人,技能実習,窃盗犯,,463.0
2016,外国人,来日外国人,技能実習,粗暴犯,,39.0
2016,外国人,来日外国人,技能実習,風俗犯,,7.0
2016,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,,91.0
2016,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,4.0
2016,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,15.0
2016,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,4.0
2016,外国人,来日外国人,日本人の配偶者等,知能犯,,126.0
2016,外国人,来日外国人,日本人の配偶者等,窃盗犯,,333.0
2016,外国人,来日外国人,日本人の配偶者等,粗暴犯,,301.0
2016,外国人,来日外国人,日本人の配偶者等,風俗犯,,15.0
2016,外国人,来日外国人,留学,その他の刑法犯,,406.0
2016,外国人,来日外国人,留学,凶悪犯,不同意性交等,6.0
2016,外国人,来日外国人,留学,凶悪犯,強盗,16.0
2016,外国人,来日外国人,留学,凶悪犯,殺人,6.0
2016,外国人,来日外国人,留学,知能犯,,97.0
2016,外国人,来日外国人,留学,窃盗犯,,821.0
2016,外国人,来日外国人,留学,粗暴犯,,131.0
2016,外国人,来日外国人,留学,風俗犯,,23.0
2016,外国人,来日外国人,短期滞在,その他の刑法犯,,124.0
2016,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,4.0
2016,外国人,来日外国人,短期滞在,凶悪犯,強盗,7.0
2016,外国人,来日外国人,短期滞在,凶悪犯,放火,1.0
2016,外国人,来日外国人,短期滞在,凶悪犯,殺人,1.0
2016,外国人,来日外国人,短期滞在,知能犯,,28.0
2016,外国人,来日外国人,短期滞在,窃盗犯,,259.0
2016,外国人,来日外国人,短期滞在,粗暴犯,,89.0
2016,外国人,来日外国人,短期滞在,風俗犯,,13.0
2016,外国人,永住者等,,その他の刑法犯,,656.0
2016,外国人,永住者等,,凶悪犯,不同意性交等,9.0
2016,外国人,永住者等,,凶悪犯,強盗,66.0
2016,外国人,永住者等,,凶悪犯,放火,5.0
2016,外国人,永住者等,,凶悪犯,殺人,35.0
2016,外国人,永住者等,,知能犯,,264.0
2016,外国人,永住者等,,窃盗犯,,2080.0
2016,外国人,永住者等,,粗暴犯,,1371.0
2016,外国人,永住者等,,風俗犯,,95.0
2016,日本人,,,その他の刑法犯,,33888.0
2016,日本人,,,凶悪犯,不同意性交等,826.0
2016,日本人,,,凶悪犯,強盗,1831.0
2016,日本人,,,凶悪犯,放火,569.0
2016,日本人,,,凶悪犯,殺人,745.0
2016,日本人,,,知能犯,,12175.0
2016,日本人,,,窃盗犯,,110323.0
2016,日本人,,,粗暴犯,,49676.0
2016,日本人,,,風俗犯,,5593.0
2017,外国人,来日外国人,その他,その他の刑法犯,,287.0
2017,外国人,来日外国人,その他,凶悪犯,不同意性交等,14.0
2017,外国人,来日外国人,その他,凶悪犯,強盗,25.0
2017,外国人,来日外国人,その他,凶悪犯,殺人,9.0
2017,外国人,来日外国人,その他,知能犯,,131.0
2017,外国人,来日外国人,その他,窃盗犯,,661.0
2017,外国人,来日外国人,その他,粗暴犯,,342.0
2017,外国人,来日外国人,その他,風俗犯,,53.0
2017,外国人,来日外国人,定住者,その他の刑法犯,,163.0
2017,外国人,来日外国人,定住者,凶悪犯,不同意性交等,8.0
2017,外国人,来日外国人,定住者,凶悪犯,強盗,13.0
2017,外国人,来日外国人,定住者,凶悪犯,放火,2.0
2017,外国人,来日外国人,定住者,凶悪犯,殺人,2.0
2017,外国人,来日外国人,定住者,知能犯,,60.0
2017,外国人,来日外国人,定住者,窃盗犯,,485.0
2017,外国人,来日外国人,定住者,粗暴犯,,341.0
2017,外国人,来日外国人,定住者,風俗犯,,19.0
2017,外国人,来日外国人,技能実習,その他の刑法犯,,104.0
2017,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,1.0
2017,外国人,来日外国人,技能実習,凶悪犯,強盗,4.0
2017,外国人,来日外国人,技能実習,凶悪犯,殺人,16.0
2017,外国人,来日外国人,技能実習,知能犯,,47.0
2017,外国人,来日外国人,技能実習,窃盗犯,,509.0
2017,外国人,来日外国人,技能実習,粗暴犯,,50.0
2017,外国人,来日外国人,技能実習,風俗犯,,5.0
2017,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,,87.0
2017,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,4.0
2017,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,5.0
2017,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,2.0
2017,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,1.0
2017,外国人,来日外国人,日本人の配偶者等,知能犯,,118.0
2017,外国人,来日外国人,日本人の配偶者等,窃盗犯,,249.0
2017,外国人,来日外国人,日本人の配偶者等,粗暴犯,,248.0
2017,外国人,来日外国人,日本人の配偶者等,風俗犯,,17.0
2017,外国人,来日外国人,留学,その他の刑法犯,,398.0
2017,外国人,来日外国人,留学,凶悪犯,不同意性交等,5.0
