年,区分,性別,年齢,人口_千人
2013,日本人,女,28歳,674.9946302851915
2013,日本人,女,29歳,696.4849455834421
2013,日本人,女,30歳,704.9943916312001
2013,日本人,女,31歳,706.9943757209339
2013,日本人,女,32歳,717.9942882144704
2013,日本人,女,33歳,751.9940177399468
2013,日本人,女,34歳,769.9938745475519
2013,日本人,女,35歳,806.4850476677393
2013,日本人,女,36歳,828.993405194702
2013,日本人,女,37歳,869.5018350596368
2013,日本人,女,38歳,911.9927449186588
2013,日本人,女,39歳,961.9923471620064
2013,日本人,女,40歳,980.9921960144784
2013,日本人,女,41歳,959.5010670829826
2013,日本人,女,42歳,936.9925460403325
2013,日本人,女,43歳,909.9927608289248
2013,日本人,女,44歳,898.9928483353884
2013,日本人,女,45歳,880.9929915277833
2013,日本人,女,46歳,879.9929994829163
2013,日本人,女,47歳,688.4905575295062
2013,日本人,女,48歳,853.9932063163757
2013,日本人,女,49歳,797.9936518038264
2013,日本人,女,50歳,779.9937949962214
2013,日本人,女,51歳,757.4920003182054
2013,日本人,女,52歳,745.994065470745
2013,日本人,女,53歳,753.4949985194028
2013,日本人,女,54歳,769.493553641413
2013,日本人,女,55歳,750.9940256950798
2013,日本人,女,56歳,731.9941768426078
2013,日本人,女,57歳,770.4968098019918
2013,日本人,女,58歳,796.9936597589594
2013,日本人,女,59歳,800.489223890607
2013,日本人,女,60歳,855.5000111640649
2013,日本人,女,61歳,904.99280060459
2013,日本人,女,62歳,960.9923551171394
2013,日本人,女,63歳,1035.9917584821605
2013,日本人,女,64歳,1136.9909550137227
2013,日本人,女,65歳,1129.9910106996538
2013,日本人,女,66歳,1073.476599304944
2013,日本人,女,67歳,673.5135318131873
2013,日本人,女,68歳,727.9942086631398
2013,日本人,女,69歳,887.9929358418518
2013,日本人,女,70歳,858.9931665407103
2013,日本人,女,71歳,880.4616326667896
2013,日本人,女,72歳,854.5269520703233
2013,日本人,女,73歳,774.9938347718863
2013,日本人,女,74歳,672.5365853232927
2013,日本人,女,75歳,716.9942961696034
2013,日本人,女,76歳,731.9941768426077
2013,日本人,女,77歳,727.9942086631398
2013,日本人,女,78歳,691.4272864454314
2013,日本人,女,79歳,645.99486098405
2013,日本人,女,80歳,639.9949087148484
2013,日本人,女,81歳,611.9951314585737
2013,日本人,女,82歳,576.9954098882303
2013,日本人,女,83歳,532.9957599140845
2013,日本人,女,84歳,503.99599061294305
2013,日本人,女,85歳,468.99626904259975
2013,日本人,女,86歳,432.99655542738947
2013,日本人,女,87歳,401.9968020365141
2013,日本人,女,88歳,349.99721570343263
2013,日本人,女,89歳,296.9976373254843
2013,日本人,女,90歳,257.9979475756732
2013,日本人,女,91歳,221.76030481875324
2013,日本人,女,92歳,184.77490138739867
2013,日本人,女,93歳,159.99872717871207
2013,日本人,女,94歳,106.7961428969185
2013,日本人,女,95歳,89.80837646582366
2013,日本人,女,96歳,70.99943518555348
2013,日本人,女,97歳,55.17603165207055
2013,日本人,女,98歳,36.99970566007716
2013,日本人,女,99歳,27.999777256274612
2013,日本人,女,100歳以上,47.99961815361362
