年,区分,性別,年齢,人口_千人
2019,日本人,男,37歳,735.4980078229735
2019,日本人,男,38歳,747.0060373393679
2019,日本人,男,39歳,781.0063121312535
2019,日本人,男,40歳,803.0064899377677
2019,日本人,男,41歳,835.0067485654247
2019,日本人,男,42歳,859.0069425361675
2019,日本人,男,43歳,902.0072900670816
2019,日本人,男,44歳,942.0076133516528
2019,日本人,男,45歳,995.516477085265
2019,日本人,男,46歳,1009.0081548533096
2019,日本人,男,47歳,992.0080174573668
2019,日本人,男,48歳,962.514628405421
2019,日本人,男,49歳,933.0075406126244
2019,日本人,男,50歳,916.5013365684983
2019,日本人,男,51歳,895.0072334922816
2019,日本人,男,52歳,892.0072092459388
2019,日本人,男,53歳,693.0056009051968
2019,日本人,男,54歳,857.0069263719389
2019,日本人,男,55歳,801.0064737735393
2019,日本人,男,56歳,778.5082274254817
2019,日本人,男,57歳,751.0060696678253
2019,日本人,男,58歳,738.5059686413965
2019,日本人,男,59歳,740.0059807645681
2019,日本人,男,60歳,752.0060777499393
2019,日本人,男,61歳,727.5106416813877
2019,日本人,男,62歳,705.0056978905682
2019,日本人,男,63歳,738.0059646003394
2019,日本人,男,64歳,760.0061424068537
2019,日本人,男,65歳,755.0061019962823
2019,日本人,男,66歳,795.0064252808535
2019,日本人,男,67歳,835.0067485654247
2019,日本人,男,68歳,876.0070799321102
2019,日本人,男,69歳,930.0075163662816
2019,日本人,男,70歳,1009.0081548533096
2019,日本人,男,71歳,987.0079770467954
2019,日本人,男,72歳,925.5345486527184
2019,日本人,男,73歳,564.0045583124545
2019,日本人,男,74歳,590.0047684474258
2019,日本人,男,75歳,703.5506117930638
2019,日本人,男,76歳,668.0053988523398
2019,日本人,男,77歳,669.0054069344541
2019,日本人,男,78歳,632.0051078962256
2019,日本人,男,79歳,553.4412817862978
2019,日本人,男,80歳,462.0037339367979
2019,日本人,男,81歳,468.0037824294836
2019,日本人,男,82歳,456.00368544411214
2019,日本人,男,83歳,427.0034510627981
2019,日本人,男,84歳,377.003046957084
2019,日本人,男,85歳,327.0026428513699
2019,日本人,男,86歳,294.0023761415987
2019,日本人,男,87歳,257.3536531322394
2019,日本人,男,88歳,217.001753818799
2019,日本人,男,89歳,176.00142245211347
2019,日本人,男,90歳,145.30076110472484
2019,日本人,男,91歳,118.00095368948516
2019,日本人,男,92歳,94.00075971874244
2019,日本人,男,93歳,73.00058999434252
2019,日本人,男,94歳,50.2266502781381
2019,日本人,男,95歳,34.79070034182019
2019,日本人,男,96歳,23.000185888628465
2019,日本人,男,97歳,14.000113149599937
2019,日本人,男,98歳,9.00007273902853
2019,日本人,男,99歳,6.000048492685686
2019,日本人,男,100歳以上,9.00007273902853
2019,日本人,女,0歳,427.0034510627981
2019,日本人,女,1歳,451.0036450335408
2019,日本人,女,2歳,461.4915604852176
2019,日本人,女,3歳,479.00387133274063
2019,日本人,女,4歳,463.0037420189121
2019,日本人,女,5歳,468.0037824294836
2019,日本人,女,6歳,487.5149621638817
2019,日本人,女,7歳,490.4924985811981
2019,日本人,女,8歳,504.0040733855978
2019,日本人,女,9歳,505.5166096947685
2019,日本人,女,10歳,511.5165150539
2019,日本人,女,11歳,521.5163644535019
2019,日本人,女,12歳,518.4919494227072
2019,日本人,女,13歳,515.0041622888547
2019,日本人,女,14歳,516.0041703709691
2019,日本人,女,15歳,535.4929123548218
2019,日本人,女,16歳,543.0043885880547
2019,日本人,女,17歳,559.0045179018832
2019,日本人,女,18歳,566.5174652198293
2019,日本人,女,19歳,575.0046472157115
2019,日本人,女,20歳,574.0046391335974
2019,日本人,女,21歳,582.4901122173593
2019,日本人,女,22歳,582.0047037905116
2019,日本人,女,23歳,575.0046472157117
2019,日本人,女,24歳,583.5176434576971
2019,日本人,女,25歳,578.0046714620545
2019,日本人,女,26歳,564.4920298408144
2019,日本人,女,27歳,571.0046148872545
2019,日本人,女,28歳,569.0045987230259
2019,日本人,女,29歳,580.004687626283
2019,日本人,女,30歳,595.0048088579973
2019,日本人,女,31歳,616.0049785823971
2019,日本人,女,32歳,636.0051402246827
2019,日本人,女,33歳,649.0052452921684
2019,日本人,女,34歳,678.5138110809005
2019,日本人,女,35歳,703.0056817263396
2019,日本人,女,36歳,712.0057544653682
2019,日本人,女,37歳,712.5136950785055
2019,日本人,女,38歳,723.0058433686253
2019,日本人,女,39歳,755.0061019962822
2019,日本人,女,40歳,775.0062636385679
2019,日本人,女,41歳,808.0065303483391
2019,日本人,女,42歳,831.0067162369676
2019,日本人,女,43歳,872.0070476036532
2019,日本人,女,44歳,912.0073708882244
2019,日本人,女,45歳,962.4993476944971
2019,日本人,女,46歳,982.007936636224
2019,日本人,女,47歳,961.007766911824
2019,日本人,女,48歳,936.5007195295988
2019,日本人,女,49歳,907.007330477653
2019,日本人,女,50歳,894.5133001404647
2019,日本人,女,51歳,875.007071849996
2019,日本人,女,52歳,875.007071849996
2019,日本人,女,53歳,684.0055281661682
2019,日本人,女,54歳,846.0068374686817
2019,日本人,女,55歳,792.0064010345108
2019,日本人,女,56歳,772.5043079337684
2019,日本人,女,57歳,749.0060535035966
2019,日本人,女,58歳,738.5059686413965
2019,日本人,女,59歳,746.0060292572538
2019,日本人,女,60歳,761.0061504889679
2019,日本人,女,61歳,741.5012309444913
2019,日本人,女,62歳,721.0058272043966
2019,日本人,女,63歳,759.0061343247393
2019,日本人,女,64歳,785.0063444597106
2019,日本人,女,65歳,786.006352541825
2019,日本人,女,66歳,839.0067808938819
2019,日本人,女,67歳,888.0071769174816
2019,日本人,女,68歳,940.0075971874242
2019,日本人,女,69歳,1010.008162935424
2019,日本人,女,70歳,1105.0089307362807
2019,日本人,女,71歳,1093.0088337509094
2019,日本人,女,72歳,1031.4812680449302
2019,日本人,女,73歳,645.0052129637113
2019,日本人,女,74歳,694.0056089873111
2019,日本人,女,75歳,842.4618831556147
2019,日本人,女,76歳,810.0065465125676
2019,日本人,女,77歳,826.0066758263962
2019,日本人,女,78歳,794.0064171987392
2019,日本人,女,79歳,713.5689582524963
2019,日本人,女,80歳,612.00494625394
2019,日本人,女,81歳,643.0051967994827
2019,日本人,女,82歳,647.0052291279399
2019,日本人,女,83歳,631.0050998141114
2019,日本人,女,84歳,587.0047442010829
2019,日本人,女,85歳,536.0043320132546
2019,日本人,女,86歳,515.0041622888548
2019,日本人,女,87歳,474.6522629754143
2019,日本人,女,88歳,430.00347530914087
2019,日本人,女,89歳,377.003046957084
2019,日本人,女,90歳,339.70315872070154
2019,日本人,女,91歳,297.00240038794146
2019,日本人,女,92歳,254.00205285702745
2019,日本人,女,93歳,216.00174573668477
2019,日本人,女,94歳,171.7751439512323
2019,日本人,女,95歳,131.21064128915046
2019,日本人,女,96歳,103.00083245777095
2019,日本人,女,97歳,70.00056574799969
2019,日本人,女,98歳,50.00040410571405
2019,日本人,女,99歳,37.0002990382284
2019,日本人,女,100歳以上,60.00048492685686
2020,日本人,男,0歳,419.9965964343597
2020,日本人,男,1歳,437.5081641261069
2020,日本人,男,2歳,459.9962722852512
2020,日本人,男,3歳,471.4848032365744
2020,日本人,男,4歳,492.9960048622367
2020,日本人,男,5歳,505.9958995137764
2020,日本人,男,6歳,504.995907617504
2020,日本人,男,7歳,516.9958103727714
2020,日本人,男,8歳,518.995794165316
2020,日本人,男,9歳,532.995680713128
2020,日本人,男,10歳,537.9956401944895
2020,日本人,男,11歳,541.5084079362763
2020,日本人,男,12歳,550.9955348460292
2020,日本人,男,13歳,548.4829501654795
2020,日本人,男,14歳,544.5078284756751
2020,日本人,男,15歳,546.5087291009128
2020,日本人,男,16歳,568.9953889789302
2020,日本人,男,17歳,574.995340356564
2020,日本人,男,18歳,593.5081661109958
2020,日本人,男,19歳,599.9951377633711
2020,日本人,男,20歳,601.9951215559156
2020,日本人,男,21歳,598.4853627642333
2020,日本人,男,22歳,605.9950891410049
2020,日本人,男,23歳,603.9951053484602
2020,日本人,男,24歳,604.9950972447326
2020,日本人,男,25歳,612.9950324149107
