年,在留資格,性別,年齢,人口
2024,宗教,女,57歳,21
2024,宗教,女,58歳,26
2024,宗教,女,59歳,23
2024,宗教,女,60歳,21
2024,宗教,女,61歳,21
2024,宗教,女,62歳,15
2024,宗教,女,63歳,21
2024,宗教,女,64歳,25
2024,宗教,女,65歳,18
2024,宗教,女,66歳,22
2024,宗教,女,67歳,17
2024,宗教,女,68歳,22
2024,宗教,女,69歳,22
2024,宗教,女,70歳,13
2024,宗教,女,71歳,13
2024,宗教,女,72歳,11
2024,宗教,女,73歳,6
2024,宗教,女,74歳,10
2024,宗教,女,75歳,3
2024,宗教,女,76歳,2
2024,宗教,女,77歳,2
2024,宗教,女,78歳,5
2024,宗教,女,79歳,4
2024,宗教,女,80歳以上,23
2024,宗教,男,16歳,2
2024,宗教,男,18歳,28
2024,宗教,男,19歳,143
2024,宗教,男,20歳,164
2024,宗教,男,21歳,50
2024,宗教,男,22歳,23
2024,宗教,男,23歳,31
2024,宗教,男,24歳,26
2024,宗教,男,25歳,23
2024,宗教,男,26歳,26
2024,宗教,男,27歳,27
2024,宗教,男,28歳,35
2024,宗教,男,29歳,43
2024,宗教,男,30歳,45
2024,宗教,男,31歳,35
2024,宗教,男,32歳,56
2024,宗教,男,33歳,52
2024,宗教,男,34歳,51
2024,宗教,男,35歳,60
2024,宗教,男,36歳,53
2024,宗教,男,37歳,62
2024,宗教,男,38歳,68
2024,宗教,男,39歳,66
2024,宗教,男,40歳,55
2024,宗教,男,41歳,62
2024,宗教,男,42歳,62
2024,宗教,男,43歳,75
2024,宗教,男,44歳,66
2024,宗教,男,45歳,70
2024,宗教,男,46歳,56
2024,宗教,男,47歳,58
2024,宗教,男,48歳,58
2024,宗教,男,49歳,63
2024,宗教,男,50歳,50
2024,宗教,男,51歳,41
2024,宗教,男,52歳,63
2024,宗教,男,53歳,50
2024,宗教,男,54歳,45
2024,宗教,男,55歳,33
2024,宗教,男,56歳,43
2024,宗教,男,57歳,45
2024,宗教,男,58歳,31
2024,宗教,男,59歳,34
2024,宗教,男,60歳,35
2024,宗教,男,61歳,39
2024,宗教,男,62歳,32
2024,宗教,男,63歳,36
2024,宗教,男,64歳,39
2024,宗教,男,65歳,40
2024,宗教,男,66歳,25
2024,宗教,男,67歳,25
2024,宗教,男,68歳,17
2024,宗教,男,69歳,27
2024,宗教,男,70歳,18
2024,宗教,男,71歳,20
2024,宗教,男,72歳,17
2024,宗教,男,73歳,11
2024,宗教,男,74歳,17
2024,宗教,男,75歳,12
2024,宗教,男,76歳,11
2024,宗教,男,77歳,6
2024,宗教,男,78歳,11
2024,宗教,男,79歳,5
2024,宗教,男,80歳以上,50
2024,定住者,女,00歳,1059
2024,定住者,女,01歳,1350
2024,定住者,女,02歳,1461
2024,定住者,女,03歳,1511
2024,定住者,女,04歳,1734
2024,定住者,女,05歳,1740
2024,定住者,女,06歳,1793
2024,定住者,女,07歳,1799
2024,定住者,女,08歳,1918
2024,定住者,女,09歳,1987
2024,定住者,女,10歳,2032
2024,定住者,女,11歳,2135
2024,定住者,女,12歳,2049
2024,定住者,女,13歳,2008
2024,定住者,女,14歳,1926
2024,定住者,女,15歳,2068
2024,定住者,女,16歳,2037
2024,定住者,女,17歳,1936
2024,定住者,女,18歳,1820
2024,定住者,女,19歳,1759
2024,定住者,女,20歳,1620
2024,定住者,女,21歳,1613
2024,定住者,女,22歳,1738
2024,定住者,女,23歳,1738
2024,定住者,女,24歳,1881
2024,定住者,女,25歳,1801
2024,定住者,女,26歳,1903
2024,定住者,女,27歳,1939
2024,定住者,女,28歳,1967
