年,在留資格,年代,人口
2015,定住者,60代,2975
2015,定住者,70代以上,1724
2015,技能実習,0~13歳,0
2015,技能実習,10代(14歳以上),7530
2015,技能実習,20代,125105
2015,技能実習,30代,42848
2015,技能実習,40代,5860
2015,技能実習,50代,93
2015,技能実習,60代,0
2015,技能実習,70代以上,0
2015,日本人の配偶者等,0~13歳,2399
2015,日本人の配偶者等,10代(14歳以上),1151
2015,日本人の配偶者等,20代,21458
2015,日本人の配偶者等,30代,54116
2015,日本人の配偶者等,40代,35712
2015,日本人の配偶者等,50代,18654
2015,日本人の配偶者等,60代,6972
2015,日本人の配偶者等,70代以上,1737
2015,永住者等,0~13歳,88884
2015,永住者等,10代(14歳以上),44577
2015,永住者等,20代,91996
2015,永住者等,30代,195356
2015,永住者等,40代,256531
2015,永住者等,50代,189917
2015,永住者等,60代,113079
2015,永住者等,70代以上,90483
2015,留学,0~13歳,22
2015,留学,10代(14歳以上),22942
2015,留学,20代,182991
2015,留学,30代,18874
2015,留学,40代,1149
2015,留学,50代,130
2015,留学,60代,21
2015,留学,70代以上,2
2016,その他,0~13歳,55972
2016,その他,10代(14歳以上),11213
2016,その他,20代,141795
2016,その他,30代,156282
2016,その他,40代,55751
2016,その他,50代,17736
2016,その他,60代,5202
2016,その他,70代以上,2353
2016,定住者,0~13歳,39016
2016,定住者,10代(14歳以上),18134
2016,定住者,20代,33082
2016,定住者,30代,35166
2016,定住者,40代,23208
2016,定住者,50代,11200
2016,定住者,60代,3287
2016,定住者,70代以上,1787
2016,技能実習,0~13歳,0
2016,技能実習,10代(14歳以上),9184
2016,技能実習,20代,145324
2016,技能実習,30代,48215
2016,技能実習,40代,7975
2016,技能実習,50代,195
2016,技能実習,60代,0
2016,技能実習,70代以上,0
2016,日本人の配偶者等,0~13歳,2325
2016,日本人の配偶者等,10代(14歳以上),1130
2016,日本人の配偶者等,20代,20231
2016,日本人の配偶者等,30代,52275
2016,日本人の配偶者等,40代,34974
2016,日本人の配偶者等,50代,19310
2016,日本人の配偶者等,60代,7551
2016,日本人の配偶者等,70代以上,1950
2016,永住者等,0~13歳,91503
2016,永住者等,10代(14歳以上),43984
2016,永住者等,20代,90347
2016,永住者等,30代,194194
2016,永住者等,40代,258166
2016,永住者等,50代,198372
2016,永住者等,60代,117906
2016,永住者等,70代以上,93354
2016,留学,0~13歳,46
2016,留学,10代(14歳以上),28535
2016,留学,20代,206657
2016,留学,30代,21115
2016,留学,40代,1219
2016,留学,50代,147
2016,留学,60代,20
2016,留学,70代以上,0
2017,その他,0~13歳,64546
2017,その他,10代(14歳以上),12160
2017,その他,20代,166238
2017,その他,30代,177073
2017,その他,40代,61589
2017,その他,50代,19620
2017,その他,60代,5979
2017,その他,70代以上,2614
2017,定住者,0~13歳,41000
2017,定住者,10代(14歳以上),18616
2017,定住者,20代,33918
2017,定住者,30代,37384
2017,定住者,40代,24767
2017,定住者,50代,12116
2017,定住者,60代,3685
2017,定住者,70代以上,1831
2017,技能実習,0~13歳,0
2017,技能実習,10代(14歳以上),11686
2017,技能実習,20代,174293
2017,技能実習,30代,56568
2017,技能実習,40代,8907
2017,技能実習,50代,267
2017,技能実習,60代,0
2017,技能実習,70代以上,0
2017,日本人の配偶者等,0~13歳,2227
2017,日本人の配偶者等,10代(14歳以上),1077
2017,日本人の配偶者等,20代,19535
2017,日本人の配偶者等,30代,51245
2017,日本人の配偶者等,40代,35277
2017,日本人の配偶者等,50代,20108
2017,日本人の配偶者等,60代,8217
2017,日本人の配偶者等,70代以上,2258
2017,永住者等,0~13歳,94246
2017,永住者等,10代(14歳以上),43423
2017,永住者等,20代,88334
2017,永住者等,30代,191993
2017,永住者等,40代,260420
2017,永住者等,50代,207124
2017,永住者等,60代,122526
2017,永住者等,70代以上,97427
2017,留学,0~13歳,69
2017,留学,10代(14歳以上),33855
2017,留学,20代,232379
2017,留学,30代,23411
2017,留学,40代,1245
2017,留学,50代,170
2017,留学,60代,30
2017,留学,70代以上,5
2018,その他,0~13歳,72119
2018,その他,10代(14歳以上),12810
2018,その他,20代,191716
2018,その他,30代,200830
2018,その他,40代,68062
2018,その他,50代,21903
2018,その他,60代,6792
2018,その他,70代以上,2761
2018,定住者,0~13歳,44268
2018,定住者,10代(14歳以上),19328
2018,定住者,20代,35626
2018,定住者,30代,40389
2018,定住者,40代,26959
2018,定住者,50代,13320
2018,定住者,60代,4162
2018,定住者,70代以上,1855
2018,技能実習,0~13歳,0
2018,技能実習,10代(14歳以上),12551
2018,技能実習,20代,200879
2018,技能実習,30代,63052
2018,技能実習,40代,8970
2018,技能実習,50代,324
2018,技能実習,60代,0
2018,技能実習,70代以上,0
2018,日本人の配偶者等,0~13歳,2153
2018,日本人の配偶者等,10代(14歳以上),1053
2018,日本人の配偶者等,20代,19424
2018,日本人の配偶者等,30代,51347
2018,日本人の配偶者等,40代,35773
2018,日本人の配偶者等,50代,21248
2018,日本人の配偶者等,60代,8863
2018,日本人の配偶者等,70代以上,2578
2018,永住者等,0~13歳,96136
2018,永住者等,10代(14歳以上),42586
2018,永住者等,20代,86395
2018,永住者等,30代,188580
2018,永住者等,40代,260429
2018,永住者等,50代,218149
2018,永住者等,60代,126835
2018,永住者等,70代以上,102781
2018,留学,0~13歳,68
2018,留学,10代(14歳以上),39239
2018,留学,20代,258219
2018,留学,30代,25132
2018,留学,40代,1377
2018,留学,50代,174
2018,留学,60代,33
2018,留学,70代以上,3
2019,その他,0~13歳,78923
2019,その他,10代(14歳以上),13290
2019,その他,20代,217370
2019,その他,30代,224449
2019,その他,40代,74275
2019,その他,50代,24382
2019,その他,60代,7436
2019,その他,70代以上,2991
2019,定住者,0~13歳,46795
2019,定住者,10代(14歳以上),19953
2019,定住者,20代,37143
2019,定住者,30代,42835
2019,定住者,40代,29486
2019,定住者,50代,14808
2019,定住者,60代,4634
2019,定住者,70代以上,1945
2019,技能実習,0~13歳,0
2019,技能実習,10代(14歳以上),19668
2019,技能実習,20代,255106
2019,技能実習,30代,80874
2019,技能実習,40代,11581
2019,技能実習,50代,480
2019,技能実習,60代,0
2019,技能実習,70代以上,0
2019,日本人の配偶者等,0~13歳,2008
2019,日本人の配偶者等,10代(14歳以上),1100
2019,日本人の配偶者等,20代,19168
2019,日本人の配偶者等,30代,50516
2019,日本人の配偶者等,40代,35588
2019,日本人の配偶者等,50代,22361
2019,日本人の配偶者等,60代,9537
2019,日本人の配偶者等,70代以上,2968
2019,永住者等,0~13歳,98909
2019,永住者等,10代(14歳以上),42063
2019,永住者等,20代,84610
2019,永住者等,30代,186606
2019,永住者等,40代,260030
2019,永住者等,50代,229899
2019,永住者等,60代,131004
2019,永住者等,70代以上,107778
2019,留学,0~13歳,95
2019,留学,10代(14歳以上),42394
2019,留学,20代,267019
2019,留学,30代,25744
2019,留学,40代,1363
2019,留学,50代,191
2019,留学,60代,37
2019,留学,70代以上,4
2020,その他,0~13歳,83049
2020,その他,10代(14歳以上),13457
2020,その他,20代,237983
2020,その他,30代,251015
2020,その他,40代,80489
2020,その他,50代,26368
2020,その他,60代,7713
2020,その他,70代以上,3168
2020,定住者,0~13歳,47529
2020,定住者,10代(14歳以上),19804
2020,定住者,20代,37549
2020,定住者,30代,44077
2020,定住者,40代,31428
2020,定住者,50代,16394
2020,定住者,60代,5056
2020,定住者,70代以上,2010
2020,技能実習,0~13歳,0
2020,技能実習,10代(14歳以上),16002
2020,技能実習,20代,281649
2020,技能実習,30代,91489
2020,技能実習,40代,12629
2020,技能実習,50代,653
2020,技能実習,60代,0
2020,技能実習,70代以上,0
2020,日本人の配偶者等,0~13歳,1850
2020,日本人の配偶者等,10代(14歳以上),1084
2020,日本人の配偶者等,20代,18444
2020,日本人の配偶者等,30代,49939
2020,日本人の配偶者等,40代,35957
2020,日本人の配偶者等,50代,23088
2020,日本人の配偶者等,60代,10111
2020,日本人の配偶者等,70代以上,3286
2020,永住者等,0~13歳,100558
2020,永住者等,10代(14歳以上),41535
2020,永住者等,20代,82168
2020,永住者等,30代,182042
2020,永住者等,40代,258293
2020,永住者等,50代,239474
2020,永住者等,60代,135786
2020,永住者等,70代以上,112505
2020,留学,0~13歳,80
2020,留学,10代(14歳以上),24679
2020,留学,20代,231389
2020,留学,30代,22698
2020,留学,40代,1233
2020,留学,50代,156
2020,留学,60代,36
2020,留学,70代以上,2
2021,その他,0~13歳,79216
2021,その他,10代(14歳以上),12292
2021,その他,20代,262954
2021,その他,30代,266582
2021,その他,40代,81859
2021,その他,50代,26793
2021,その他,60代,6886
2021,その他,70代以上,3180
2021,定住者,0~13歳,45114
2021,定住者,10代(14歳以上),19114
2021,定住者,20代,35426
2021,定住者,30代,42420
2021,定住者,40代,32189
2021,定住者,50代,17453
2021,定住者,60代,5505
2021,定住者,70代以上,2067
2021,技能実習,10代(14歳以上),5644
2021,技能実習,20代,251636
2021,技能実習,30代,84343
2021,技能実習,40代,11717
2021,技能実習,50代,763
2021,技能実習,60代,1
2021,日本人の配偶者等,0~13歳,1595
2021,日本人の配偶者等,10代(14歳以上),1036
2021,日本人の配偶者等,20代,17511
2021,日本人の配偶者等,30代,48831
2021,日本人の配偶者等,40代,35364
2021,日本人の配偶者等,50代,23100
2021,日本人の配偶者等,60代,10116
2021,日本人の配偶者等,70代以上,3434
2021,永住者等,0~13歳,102093
2021,永住者等,10代(14歳以上),41515
2021,永住者等,20代,80958
2021,永住者等,30代,180028
2021,永住者等,40代,253961
2021,永住者等,50代,246100
2021,永住者等,60代,140367
2021,永住者等,70代以上,116558
2021,留学,0~13歳,73
2021,留学,10代(14歳以上),15453
2021,留学,20代,192236
2021,留学,30代,18926
2021,留学,40代,1002
2021,留学,50代,118
2021,留学,60代,31
2021,留学,70代以上,5
2022,その他,0~13歳,87359
2022,その他,10代(14歳以上),13793
2022,その他,20代,310971
2022,その他,30代,299454
2022,その他,40代,91014
2022,その他,50代,29923
2022,その他,60代,7476
2022,その他,70代以上,3385
2022,定住者,0~13歳,45249
2022,定住者,10代(14歳以上),19851
2022,定住者,20代,35332
2022,定住者,30代,41365
2022,定住者,40代,33488
2022,定住者,50代,18667
2022,定住者,60代,6196
2022,定住者,70代以上,2237
2022,技能実習,10代(14歳以上),7775
2022,技能実習,20代,232503
2022,技能実習,30代,76105
2022,技能実習,40代,10476
2022,技能実習,50代,828
2022,技能実習,60代,2
2022,日本人の配偶者等,0~13歳,1503
2022,日本人の配偶者等,10代(14歳以上),1019
2022,日本人の配偶者等,20代,16551
2022,日本人の配偶者等,30代,48680
2022,日本人の配偶者等,40代,36833
2022,日本人の配偶者等,50代,24013
2022,日本人の配偶者等,60代,11094
2022,日本人の配偶者等,70代以上,3865
2022,永住者等,0~13歳,104125
2022,永住者等,10代(14歳以上),42903
2022,永住者等,20代,80613
2022,永住者等,30代,176982
2022,永住者等,40代,256899
2022,永住者等,50代,254042
2022,永住者等,60代,147046
2022,永住者等,70代以上,121585
2022,留学,0~13歳,80
2022,留学,10代(14歳以上),22154
2022,留学,20代,215484
2022,留学,30代,21335
2022,留学,40代,1437
2022,留学,50代,226
2022,留学,60代,47
2022,留学,70代以上,4
2023,その他,0~13歳,100657
2023,その他,10代(14歳以上),17170
2023,その他,20代,364262
2023,その他,30代,352426
2023,その他,40代,103872
2023,その他,50代,34906
2023,その他,60代,9899
2023,その他,70代以上,3928
2023,定住者,0~13歳,47286
2023,定住者,10代(14歳以上),21446
2023,定住者,20代,36356
2023,定住者,30代,41323
2023,定住者,40代,35531
2023,定住者,50代,20119
2023,定住者,60代,7066
2023,定住者,70代以上,2434
2023,技能実習,10代(14歳以上),21073
2023,技能実習,20代,243968
2023,技能実習,30代,79426
2023,技能実習,40代,12165
2023,技能実習,50代,1522
2023,技能実習,60代,5
2023,日本人の配偶者等,0~13歳,1569
2023,日本人の配偶者等,10代(14歳以上),1057
2023,日本人の配偶者等,20代,15672
2023,日本人の配偶者等,30代,48829
2023,日本人の配偶者等,40代,38432
2023,日本人の配偶者等,50代,24860
2023,日本人の配偶者等,60代,12106
2023,日本人の配偶者等,70代以上,4533
2023,永住者等,0~13歳,106578
2023,永住者等,10代(14歳以上),44658
2023,永住者等,20代,80602
2023,永住者等,30代,175577
2023,永住者等,40代,262467
2023,永住者等,50代,259905
2023,永住者等,60代,157587
2023,永住者等,70代以上,126670
2023,留学,0~13歳,131
2023,留学,10代(14歳以上),29951
2023,留学,20代,247357
2023,留学,30代,25814
2023,留学,40代,2258
2023,留学,50代,338
2023,留学,60代,62
2023,留学,70代以上,5
2024,その他,0~13歳,117565
2024,その他,10代(14歳以上),21879
2024,その他,20代,433979
2024,その他,30代,433255
2024,その他,40代,126705
2024,その他,50代,40795
2024,その他,60代,12096
2024,その他,70代以上,4500
2024,定住者,0~13歳,49628
2024,定住者,10代(14歳以上),23329
2024,定住者,20代,37233
2024,定住者,30代,41525
2024,定住者,40代,37239
2024,定住者,50代,21490
2024,定住者,60代,8021
2024,定住者,70代以上,2752
2024,技能実習,10代(14歳以上),24493
2024,技能実習,20代,298582
2024,技能実習,30代,87171
2024,技能実習,40代,13558
2024,技能実習,50代,1898
2024,技能実習,60代,12
2024,日本人の配偶者等,0~13歳,1526
2024,日本人の配偶者等,10代(14歳以上),1070
2024,日本人の配偶者等,20代,14849
2024,日本人の配偶者等,30代,49151
2024,日本人の配偶者等,40代,39906
2024,日本人の配偶者等,50代,25434
2024,日本人の配偶者等,60代,13085
2024,日本人の配偶者等,70代以上,5187
2024,永住者等,0~13歳,107609
2024,永住者等,10代(14歳以上),46292
2024,永住者等,20代,79799
2024,永住者等,30代,172105
2024,永住者等,40代,265122
2024,永住者等,50代,262280
2024,永住者等,60代,167761
2024,永住者等,70代以上,131486
2024,留学,0~13歳,272
2024,留学,10代(14歳以上),42545
2024,留学,20代,293650
2024,留学,30代,28870
2024,留学,40代,2675
2024,留学,50代,498
2024,留学,60代,70
2024,留学,70代以上,9
