年,罪種00,罪種01,罪種02,検挙人員
2017,その他の刑法犯,,,30785
2017,凶悪犯,不同意性交等,,852
2017,凶悪犯,強盗,,1575
2017,凶悪犯,放火,,568
2017,凶悪犯,殺人,,815
2017,知能犯,,,11593
2017,窃盗犯,,,104334
2017,粗暴犯,,,48655
2017,風俗犯,,,5246
2018,その他の刑法犯,,,28198
2018,凶悪犯,不同意性交等,,1029
2018,凶悪犯,強盗,,1591
2018,凶悪犯,放火,,528
2018,凶悪犯,殺人,,779
2018,知能犯,,,11565
2018,窃盗犯,,,97757
2018,粗暴犯,,,49174
2018,風俗犯,,,5408
2019,その他の刑法犯,,,25626
2019,凶悪犯,不同意性交等,,1119
2019,凶悪犯,強盗,,1481
2019,凶悪犯,放火,,500
2019,凶悪犯,殺人,,848
2019,知能犯,,,10292
2019,窃盗犯,,,89815
2019,粗暴犯,,,48150
2019,風俗犯,,,5173
2020,その他の刑法犯,,,24388
2020,凶悪犯,不同意性交等,,1107
2020,凶悪犯,強盗,,1520
2020,凶悪犯,放火,,569
2020,凶悪犯,殺人,,796
2020,知能犯,,,9905
2020,窃盗犯,,,84234
2020,粗暴犯,,,45593
2020,風俗犯,,,4941
2021,その他の刑法犯,,,21427
2021,凶悪犯,不同意性交等,,1154
2021,凶悪犯,強盗,,1329
2021,凶悪犯,放火,,516
2021,凶悪犯,殺人,,767
2021,知能犯,,,11803
2021,窃盗犯,,,80351
2021,粗暴犯,,,43175
2021,風俗犯,,,5115
2022,その他の刑法犯,,,21199
2022,凶悪犯,不同意性交等,,1267
2022,凶悪犯,強盗,,1183
2022,凶悪犯,放火,,515
2022,凶悪犯,殺人,,723
2022,知能犯,,,11843
2022,窃盗犯,,,75586
2022,粗暴犯,,,43243
2022,風俗犯,,,5148
2023,その他の刑法犯,,,22716
2023,凶悪犯,不同意性交等,,1755
2023,凶悪犯,強盗,,1450
2023,凶悪犯,放火,,561
2023,凶悪犯,殺人,,733
2023,知能犯,,,11331
2023,窃盗犯,,,81318
2023,粗暴犯,,,47132
2023,風俗犯,,,6547
2024,その他の刑法犯,,,23367
2024,凶悪犯,不同意性交等,,2920
2024,凶悪犯,強盗,,1609
2024,凶悪犯,放火,,488
2024,凶悪犯,殺人,,831
2024,知能犯,,,10838
2024,窃盗犯,,,83810
2024,粗暴犯,,,46816
2024,風俗犯,,,10683
