年,在留資格,年代,人数
2019,定住者,0~13歳,542.5829918581204
2019,定住者,10代(14歳以上),231.35288891003475
2019,定住者,20代,430.6690900007731
2019,定住者,30代,496.6672177848616
2019,定住者,40代,341.8869985666959
2019,定住者,50代,171.69716729212612
2019,定住者,60代,53.7307315796672
2019,定住者,70代以上,22.552065801133356
2019,技能実習,0~13歳,0.0
2019,技能実習,10代(14歳以上),500.9681242504262
2019,技能実習,20代,6497.863245120462
2019,技能実習,30代,2059.960142395209
2019,技能実習,40代,294.982298502348
2019,技能実習,50代,12.226189731553283
2019,技能実習,60代,0.0
2019,技能実習,70代以上,0.0
2019,日本人の配偶者等,0~13歳,41.29656674531912
2019,日本人の配偶者等,10代(14歳以上),22.622621225025433
2019,日本人の配偶者等,20代,394.2094578557167
2019,日本人の配偶者等,30代,1038.9130307303517
2019,日本人の配偶者等,40代,731.9034946874606
2019,日本人の配偶者等,50代,459.87675746617697
2019,日本人の配偶者等,60代,196.13812602097073
2019,日本人の配偶者等,70代以上,61.03994526897757
2019,留学,0~13歳,1.327783830640973
2019,留学,10代(14歳以上),592.5270285916158
2019,留学,20代,3732.0369544630053
2019,留学,30代,359.81544143186665
2019,留学,40代,19.05020380172556
2019,留学,50代,2.6695443331835347
2019,留学,60代,0.5171368603549895
2019,留学,70代以上,0.055906687605945714
2019,短期滞在,0~13歳,3881.0863283530616
2019,短期滞在,10代(14歳以上),2243.1114021951116
2019,短期滞在,20代,10119.436160032306
2019,短期滞在,30代,11479.222029090868
2019,短期滞在,40代,8179.805801704607
2019,短期滞在,50代,6407.851464154546
2019,短期滞在,60代,3793.6657905801544
2019,短期滞在,70代以上,1294.8210238893334
2020,その他,0~13歳,1006.744436323227
2020,その他,10代(14歳以上),163.12971715013617
2020,その他,20代,2884.900013118889
2020,その他,30代,3042.8777551045155
2020,その他,40代,975.7113623911214
2020,その他,50代,319.64066150069027
2020,その他,60代,93.49925751497304
2020,その他,70代以上,38.403428990980856
2020,定住者,0~13歳,576.160535515258
2020,定住者,10代(14歳以上),240.0699203716502
2020,定住者,20代,455.1800363580641
2020,定住者,30代,534.3143748849341
2020,定住者,40代,380.9794716946187
2020,定住者,50代,198.7328961105249
2020,定住者,60代,61.29032101590909
2020,定住者,70代以上,24.365811954504814
2020,技能実習,0~13歳,0.0
2020,技能実習,10代(14歳以上),494.15005640844595
