年,罪種00,罪種01,罪種02,検挙人員
2018,凶悪犯,放火,,5
2018,凶悪犯,殺人,,19
2018,知能犯,,,247
2018,窃盗犯,,,1889
2018,粗暴犯,,,1305
2018,風俗犯,,,82
2019,その他の刑法犯,,,492
2019,凶悪犯,不同意性交等,,25
2019,凶悪犯,強盗,,51
2019,凶悪犯,放火,,14
2019,凶悪犯,殺人,,27
2019,知能犯,,,214
2019,窃盗犯,,,1779
2019,粗暴犯,,,1289
2019,風俗犯,,,82
2020,その他の刑法犯,,,485
2020,凶悪犯,不同意性交等,,24
2020,凶悪犯,強盗,,51
2020,凶悪犯,放火,,6
2020,凶悪犯,殺人,,23
2020,知能犯,,,213
2020,窃盗犯,,,1701
2020,粗暴犯,,,1252
2020,風俗犯,,,81
2021,その他の刑法犯,,,444
2021,凶悪犯,不同意性交等,,31
2021,凶悪犯,強盗,,44
2021,凶悪犯,放火,,6
2021,凶悪犯,殺人,,12
2021,知能犯,,,232
2021,窃盗犯,,,1682
2021,粗暴犯,,,1196
2021,風俗犯,,,108
2022,その他の刑法犯,,,430
2022,凶悪犯,不同意性交等,,24
2022,凶悪犯,強盗,,40
2022,凶悪犯,放火,,10
2022,凶悪犯,殺人,,18
2022,知能犯,,,222
2022,窃盗犯,,,1633
2022,粗暴犯,,,1145
2022,風俗犯,,,75
2023,その他の刑法犯,,,470
2023,凶悪犯,不同意性交等,,40
2023,凶悪犯,強盗,,44
2023,凶悪犯,放火,,10
2023,凶悪犯,殺人,,19
2023,知能犯,,,205
2023,窃盗犯,,,1766
2023,粗暴犯,,,1249
2023,風俗犯,,,88
2024,その他の刑法犯,,,490
2024,凶悪犯,不同意性交等,,55
2024,凶悪犯,強盗,,54
2024,凶悪犯,放火,,11
2024,凶悪犯,殺人,,22
2024,知能犯,,,230
2024,窃盗犯,,,1824
2024,粗暴犯,,,1182
2024,風俗犯,,,118
