年,罪種00,罪種01,罪種02,検挙人員
2020,知能犯,,,428
2020,窃盗犯,,,2503
2020,粗暴犯,,,1252
2020,風俗犯,,,177
2021,その他の刑法犯,,,1071
2021,凶悪犯,不同意性交等,,56
2021,凶悪犯,強盗,,87
2021,凶悪犯,放火,,12
2021,凶悪犯,殺人,,69
2021,知能犯,,,448
2021,窃盗犯,,,2293
2021,粗暴犯,,,1343
2021,風俗犯,,,194
2022,その他の刑法犯,,,887
2022,凶悪犯,不同意性交等,,46
2022,凶悪犯,強盗,,99
2022,凶悪犯,放火,,7
2022,凶悪犯,殺人,,44
2022,知能犯,,,466
2022,窃盗犯,,,1992
2022,粗暴犯,,,1267
2022,風俗犯,,,206
2023,その他の刑法犯,,,1005
2023,凶悪犯,不同意性交等,,77
2023,凶悪犯,強盗,,107
2023,凶悪犯,放火,,5
2023,凶悪犯,殺人,,56
2023,知能犯,,,425
2023,窃盗犯,,,2414
2023,粗暴犯,,,1442
2023,風俗犯,,,204
2024,その他の刑法犯,,,1216
2024,凶悪犯,不同意性交等,,107
2024,凶悪犯,強盗,,114
2024,凶悪犯,放火,,12
2024,凶悪犯,殺人,,69
2024,知能犯,,,478
2024,窃盗犯,,,2645
2024,粗暴犯,,,1459
2024,風俗犯,,,268
