年,在留資格,罪種00,罪種01,罪種02,検挙人員
2016,日本人の配偶者等,その他の刑法犯,,,91.0
2016,日本人の配偶者等,凶悪犯,不同意性交等,,4.0
2016,日本人の配偶者等,凶悪犯,強盗,,15.0
2016,日本人の配偶者等,凶悪犯,殺人,,4.0
2016,日本人の配偶者等,知能犯,,,126.0
2016,日本人の配偶者等,窃盗犯,,,333.0
2016,日本人の配偶者等,粗暴犯,,,301.0
2016,日本人の配偶者等,風俗犯,,,15.0
2016,留学,その他の刑法犯,,,406.0
2016,留学,凶悪犯,不同意性交等,,6.0
2016,留学,凶悪犯,強盗,,16.0
2016,留学,凶悪犯,殺人,,6.0
2016,留学,知能犯,,,97.0
2016,留学,窃盗犯,,,821.0
2016,留学,粗暴犯,,,131.0
2016,留学,風俗犯,,,23.0
2016,短期滞在,その他の刑法犯,,,124.0
2016,短期滞在,凶悪犯,不同意性交等,,4.0
2016,短期滞在,凶悪犯,強盗,,7.0
2016,短期滞在,凶悪犯,放火,,1.0
2016,短期滞在,凶悪犯,殺人,,1.0
2016,短期滞在,知能犯,,,28.0
2016,短期滞在,窃盗犯,,,259.0
2016,短期滞在,粗暴犯,,,89.0
2016,短期滞在,風俗犯,,,13.0
2017,その他,その他の刑法犯,,,287.0
2017,その他,凶悪犯,不同意性交等,,14.0
2017,その他,凶悪犯,強盗,,25.0
2017,その他,凶悪犯,殺人,,9.0
2017,その他,知能犯,,,131.0
2017,その他,窃盗犯,,,661.0
2017,その他,粗暴犯,,,342.0
2017,その他,風俗犯,,,53.0
2017,定住者,その他の刑法犯,,,163.0
2017,定住者,凶悪犯,不同意性交等,,8.0
2017,定住者,凶悪犯,強盗,,13.0
2017,定住者,凶悪犯,放火,,2.0
2017,定住者,凶悪犯,殺人,,2.0
2017,定住者,知能犯,,,60.0
2017,定住者,窃盗犯,,,485.0
2017,定住者,粗暴犯,,,341.0
2017,定住者,風俗犯,,,19.0
2017,技能実習,その他の刑法犯,,,104.0
2017,技能実習,凶悪犯,不同意性交等,,1.0
2017,技能実習,凶悪犯,強盗,,4.0
2017,技能実習,凶悪犯,殺人,,16.0
2017,技能実習,知能犯,,,47.0
2017,技能実習,窃盗犯,,,509.0
2017,技能実習,粗暴犯,,,50.0
2017,技能実習,風俗犯,,,5.0
2017,日本人の配偶者等,その他の刑法犯,,,87.0
2017,日本人の配偶者等,凶悪犯,不同意性交等,,4.0
2017,日本人の配偶者等,凶悪犯,強盗,,5.0
2017,日本人の配偶者等,凶悪犯,放火,,2.0
2017,日本人の配偶者等,凶悪犯,殺人,,1.0
2017,日本人の配偶者等,知能犯,,,118.0
2017,日本人の配偶者等,窃盗犯,,,249.0
2017,日本人の配偶者等,粗暴犯,,,248.0
2017,日本人の配偶者等,風俗犯,,,17.0
2017,留学,その他の刑法犯,,,398.0
2017,留学,凶悪犯,不同意性交等,,5.0
2017,留学,凶悪犯,強盗,,14.0
2017,留学,凶悪犯,殺人,,4.0
2017,留学,知能犯,,,125.0
2017,留学,窃盗犯,,,655.0
2017,留学,粗暴犯,,,180.0
2017,留学,風俗犯,,,22.0
2017,短期滞在,その他の刑法犯,,,97.0
2017,短期滞在,凶悪犯,不同意性交等,,4.0
2017,短期滞在,凶悪犯,強盗,,10.0
2017,短期滞在,凶悪犯,放火,,1.0
2017,短期滞在,凶悪犯,殺人,,3.0
2017,短期滞在,知能犯,,,117.0
2017,短期滞在,窃盗犯,,,309.0
2017,短期滞在,粗暴犯,,,72.0
2017,短期滞在,風俗犯,,,15.0
2018,その他,その他の刑法犯,,,294.0
2018,その他,凶悪犯,不同意性交等,,11.0
2018,その他,凶悪犯,強盗,,30.0
2018,その他,凶悪犯,殺人,,12.0
2018,その他,知能犯,,,99.0
2018,その他,窃盗犯,,,657.0
2018,その他,粗暴犯,,,363.0
2018,その他,風俗犯,,,64.0
2018,定住者,その他の刑法犯,,,124.0
2018,定住者,凶悪犯,不同意性交等,,6.0
2018,定住者,凶悪犯,強盗,,24.0
2018,定住者,凶悪犯,放火,,1.0
2018,定住者,凶悪犯,殺人,,5.0
2018,定住者,知能犯,,,50.0
2018,定住者,窃盗犯,,,403.0
2018,定住者,粗暴犯,,,347.0
2018,定住者,風俗犯,,,17.0
2018,技能実習,その他の刑法犯,,,101.0
2018,技能実習,凶悪犯,強盗,,5.0
2018,技能実習,凶悪犯,殺人,,7.0
2018,技能実習,知能犯,,,26.0
2018,技能実習,窃盗犯,,,477.0
2018,技能実習,粗暴犯,,,65.0
2018,技能実習,風俗犯,,,6.0
2018,日本人の配偶者等,その他の刑法犯,,,90.0
2018,日本人の配偶者等,凶悪犯,不同意性交等,,5.0
2018,日本人の配偶者等,凶悪犯,強盗,,9.0
2018,日本人の配偶者等,凶悪犯,放火,,3.0
2018,日本人の配偶者等,凶悪犯,殺人,,4.0
2018,日本人の配偶者等,知能犯,,,87.0
2018,日本人の配偶者等,窃盗犯,,,249.0
2018,日本人の配偶者等,粗暴犯,,,220.0
2018,日本人の配偶者等,風俗犯,,,14.0
2018,留学,その他の刑法犯,,,353.0
2018,留学,凶悪犯,不同意性交等,,9.0
2018,留学,凶悪犯,強盗,,19.0
2018,留学,凶悪犯,殺人,,7.0
2018,留学,知能犯,,,77.0
2018,留学,窃盗犯,,,556.0
2018,留学,粗暴犯,,,190.0
2018,留学,風俗犯,,,37.0
2018,短期滞在,その他の刑法犯,,,111.0
2018,短期滞在,凶悪犯,不同意性交等,,3.0
2018,短期滞在,凶悪犯,強盗,,8.0
2018,短期滞在,凶悪犯,殺人,,3.0
2018,短期滞在,知能犯,,,124.0
2018,短期滞在,窃盗犯,,,352.0
2018,短期滞在,粗暴犯,,,105.0
2018,短期滞在,風俗犯,,,15.0
2019,その他,その他の刑法犯,,,251.0
2019,その他,凶悪犯,不同意性交等,,12.0
2019,その他,凶悪犯,強盗,,18.0
2019,その他,凶悪犯,殺人,,11.0
2019,その他,知能犯,,,97.0
2019,その他,窃盗犯,,,606.0
2019,その他,粗暴犯,,,401.0
2019,その他,風俗犯,,,58.0
2019,定住者,その他の刑法犯,,,109.0
2019,定住者,凶悪犯,不同意性交等,,5.0
2019,定住者,凶悪犯,強盗,,18.0
2019,定住者,凶悪犯,殺人,,5.0
2019,定住者,知能犯,,,48.0
2019,定住者,窃盗犯,,,375.0
2019,定住者,粗暴犯,,,350.0
2019,定住者,風俗犯,,,22.0
2019,技能実習,その他の刑法犯,,,80.0
2019,技能実習,凶悪犯,不同意性交等,,4.0
2019,技能実習,凶悪犯,強盗,,8.0
2019,技能実習,凶悪犯,殺人,,14.0
2019,技能実習,知能犯,,,38.0
2019,技能実習,窃盗犯,,,502.0
2019,技能実習,粗暴犯,,,61.0
2019,技能実習,風俗犯,,,7.0
2019,日本人の配偶者等,その他の刑法犯,,,70.0
2019,日本人の配偶者等,凶悪犯,不同意性交等,,4.0
2019,日本人の配偶者等,凶悪犯,強盗,,9.0
2019,日本人の配偶者等,凶悪犯,放火,,2.0
2019,日本人の配偶者等,凶悪犯,殺人,,1.0
2019,日本人の配偶者等,知能犯,,,67.0
2019,日本人の配偶者等,窃盗犯,,,229.0
2019,日本人の配偶者等,粗暴犯,,,275.0
2019,日本人の配偶者等,風俗犯,,,21.0
2019,留学,その他の刑法犯,,,295.0
2019,留学,凶悪犯,不同意性交等,,7.0
2019,留学,凶悪犯,強盗,,10.0
2019,留学,凶悪犯,放火,,1.0
2019,留学,凶悪犯,殺人,,10.0
2019,留学,知能犯,,,107.0
2019,留学,窃盗犯,,,468.0
2019,留学,粗暴犯,,,169.0
2019,留学,風俗犯,,,30.0
2019,短期滞在,その他の刑法犯,,,126.0
2019,短期滞在,凶悪犯,不同意性交等,,2.0
2019,短期滞在,凶悪犯,強盗,,7.0
2019,短期滞在,凶悪犯,放火,,2.0
2019,短期滞在,凶悪犯,殺人,,7.0
2019,短期滞在,知能犯,,,100.0
2019,短期滞在,窃盗犯,,,348.0
2019,短期滞在,粗暴犯,,,86.0
2019,短期滞在,風俗犯,,,10.0
2020,その他,その他の刑法犯,,,347.0
2020,その他,凶悪犯,不同意性交等,,18.0
2020,その他,凶悪犯,強盗,,26.0
2020,その他,凶悪犯,殺人,,10.0
2020,その他,知能犯,,,126.0
2020,その他,窃盗犯,,,660.0
2020,その他,粗暴犯,,,386.0
2020,その他,風俗犯,,,84.0
2020,定住者,その他の刑法犯,,,133.0
2020,定住者,凶悪犯,不同意性交等,,12.0
2020,定住者,凶悪犯,強盗,,19.0
2020,定住者,凶悪犯,放火,,1.0
2020,定住者,凶悪犯,殺人,,9.0
2020,定住者,知能犯,,,59.0
2020,定住者,窃盗犯,,,362.0
2020,定住者,粗暴犯,,,309.0
2020,定住者,風俗犯,,,22.0
2020,技能実習,その他の刑法犯,,,160.0
2020,技能実習,凶悪犯,不同意性交等,,4.0
2020,技能実習,凶悪犯,強盗,,14.0
2020,技能実習,凶悪犯,放火,,1.0
2020,技能実習,凶悪犯,殺人,,32.0
2020,技能実習,知能犯,,,32.0
2020,技能実習,窃盗犯,,,689.0
2020,技能実習,粗暴犯,,,129.0
2020,技能実習,風俗犯,,,15.0
2020,日本人の配偶者等,その他の刑法犯,,,71.0
2020,日本人の配偶者等,凶悪犯,不同意性交等,,4.0
2020,日本人の配偶者等,凶悪犯,強盗,,7.0
2020,日本人の配偶者等,凶悪犯,放火,,1.0
2020,日本人の配偶者等,凶悪犯,殺人,,2.0
2020,日本人の配偶者等,知能犯,,,51.0
2020,日本人の配偶者等,窃盗犯,,,231.0
2020,日本人の配偶者等,粗暴犯,,,229.0
2020,日本人の配偶者等,風俗犯,,,17.0
2020,留学,その他の刑法犯,,,291.0
2020,留学,凶悪犯,不同意性交等,,5.0
2020,留学,凶悪犯,強盗,,10.0
2020,留学,凶悪犯,放火,,3.0
2020,留学,凶悪犯,殺人,,4.0
2020,留学,知能犯,,,114.0
2020,留学,窃盗犯,,,349.0
2020,留学,粗暴犯,,,148.0
2020,留学,風俗犯,,,28.0
2020,短期滞在,その他の刑法犯,,,80.0
2020,短期滞在,凶悪犯,不同意性交等,,3.0
2020,短期滞在,凶悪犯,強盗,,4.0
2020,短期滞在,凶悪犯,放火,,1.0
2020,短期滞在,凶悪犯,殺人,,2.0
2020,短期滞在,知能犯,,,46.0
2020,短期滞在,窃盗犯,,,212.0
2020,短期滞在,粗暴犯,,,51.0
2020,短期滞在,風俗犯,,,11.0
2021,その他,その他の刑法犯,,,385.0
2021,その他,凶悪犯,不同意性交等,,19.0
2021,その他,凶悪犯,強盗,,30.0
2021,その他,凶悪犯,放火,,3.0
2021,その他,凶悪犯,殺人,,17.0
2021,その他,知能犯,,,155.0
2021,その他,窃盗犯,,,730.0
2021,その他,粗暴犯,,,457.0
2021,その他,風俗犯,,,83.0
2021,定住者,その他の刑法犯,,,125.0
2021,定住者,凶悪犯,不同意性交等,,18.0
2021,定住者,凶悪犯,強盗,,17.0
2021,定住者,凶悪犯,放火,,4.0
2021,定住者,凶悪犯,殺人,,7.0
2021,定住者,知能犯,,,68.0
2021,定住者,窃盗犯,,,367.0
2021,定住者,粗暴犯,,,319.0
2021,定住者,風俗犯,,,32.0
2021,技能実習,その他の刑法犯,,,233.0
2021,技能実習,凶悪犯,不同意性交等,,6.0
2021,技能実習,凶悪犯,強盗,,9.0
2021,技能実習,凶悪犯,殺人,,32.0
2021,技能実習,知能犯,,,63.0
2021,技能実習,窃盗犯,,,592.0
2021,技能実習,粗暴犯,,,150.0
2021,技能実習,風俗犯,,,19.0
2021,日本人の配偶者等,その他の刑法犯,,,62.0
2021,日本人の配偶者等,凶悪犯,不同意性交等,,6.0
2021,日本人の配偶者等,凶悪犯,強盗,,5.0
2021,日本人の配偶者等,凶悪犯,放火,,5.0
2021,日本人の配偶者等,凶悪犯,殺人,,3.0
2021,日本人の配偶者等,知能犯,,,58.0
2021,日本人の配偶者等,窃盗犯,,,198.0
2021,日本人の配偶者等,粗暴犯,,,242.0
2021,日本人の配偶者等,風俗犯,,,24.0
2021,留学,その他の刑法犯,,,211.0
2021,留学,凶悪犯,不同意性交等,,6.0
2021,留学,凶悪犯,強盗,,20.0
2021,留学,凶悪犯,殺人,,4.0
2021,留学,知能犯,,,79.0
2021,留学,窃盗犯,,,325.0
2021,留学,粗暴犯,,,136.0
2021,留学,風俗犯,,,26.0
2021,短期滞在,その他の刑法犯,,,55.0
2021,短期滞在,凶悪犯,不同意性交等,,1.0
2021,短期滞在,凶悪犯,強盗,,6.0
2021,短期滞在,凶悪犯,殺人,,6.0
2021,短期滞在,知能犯,,,25.0
2021,短期滞在,窃盗犯,,,81.0
2021,短期滞在,粗暴犯,,,39.0
2021,短期滞在,風俗犯,,,10.0
2022,その他,その他の刑法犯,,,338.0
2022,その他,凶悪犯,不同意性交等,,22.0
2022,その他,凶悪犯,強盗,,49.0
2022,その他,凶悪犯,放火,,3.0
2022,その他,凶悪犯,殺人,,14.0
2022,その他,知能犯,,,188.0
2022,その他,窃盗犯,,,676.0
2022,その他,粗暴犯,,,449.0
2022,その他,風俗犯,,,106.0
2022,定住者,その他の刑法犯,,,137.0
2022,定住者,凶悪犯,不同意性交等,,7.0
2022,定住者,凶悪犯,強盗,,11.0
2022,定住者,凶悪犯,放火,,1.0
2022,定住者,凶悪犯,殺人,,4.0
2022,定住者,知能犯,,,54.0
2022,定住者,窃盗犯,,,364.0
2022,定住者,粗暴犯,,,299.0
2022,定住者,風俗犯,,,25.0
2022,技能実習,その他の刑法犯,,,132.0
2022,技能実習,凶悪犯,不同意性交等,,2.0
2022,技能実習,凶悪犯,強盗,,19.0
2022,技能実習,凶悪犯,放火,,0.0
2022,技能実習,凶悪犯,殺人,,17.0
2022,技能実習,知能犯,,,86.0
2022,技能実習,窃盗犯,,,414.0
2022,技能実習,粗暴犯,,,118.0
2022,技能実習,風俗犯,,,22.0
2022,日本人の配偶者等,その他の刑法犯,,,60.0
2022,日本人の配偶者等,凶悪犯,不同意性交等,,9.0
2022,日本人の配偶者等,凶悪犯,強盗,,4.0
2022,日本人の配偶者等,凶悪犯,放火,,3.0
2022,日本人の配偶者等,凶悪犯,殺人,,5.0
2022,日本人の配偶者等,知能犯,,,37.0
2022,日本人の配偶者等,窃盗犯,,,179.0
2022,日本人の配偶者等,粗暴犯,,,247.0
2022,日本人の配偶者等,風俗犯,,,26.0
2022,留学,その他の刑法犯,,,158.0
2022,留学,凶悪犯,不同意性交等,,4.0
2022,留学,凶悪犯,強盗,,7.0
2022,留学,凶悪犯,放火,,0.0
2022,留学,凶悪犯,殺人,,2.0
2022,留学,知能犯,,,82.0
2022,留学,窃盗犯,,,237.0
2022,留学,粗暴犯,,,118.0
2022,留学,風俗犯,,,19.0
2022,短期滞在,その他の刑法犯,,,62.0
2022,短期滞在,凶悪犯,不同意性交等,,2.0
2022,短期滞在,凶悪犯,強盗,,9.0
2022,短期滞在,凶悪犯,放火,,0.0
2022,短期滞在,凶悪犯,殺人,,2.0
2022,短期滞在,知能犯,,,19.0
2022,短期滞在,窃盗犯,,,122.0
2022,短期滞在,粗暴犯,,,36.0
2022,短期滞在,風俗犯,,,8.0
2023,その他,その他の刑法犯,,,338.0
2023,その他,凶悪犯,不同意性交等,,40.0
2023,その他,凶悪犯,強盗,,34.0
2023,その他,凶悪犯,放火,,0.0
2023,その他,凶悪犯,殺人,,13.0
2023,その他,知能犯,,,161.0
2023,その他,窃盗犯,,,761.0
2023,その他,粗暴犯,,,473.0
2023,その他,風俗犯,,,94.0
2023,定住者,その他の刑法犯,,,140.0
2023,定住者,凶悪犯,不同意性交等,,6.0
2023,定住者,凶悪犯,強盗,,23.0
2023,定住者,凶悪犯,放火,,3.0
2023,定住者,凶悪犯,殺人,,9.0
2023,定住者,知能犯,,,53.0
2023,定住者,窃盗犯,,,411.0
2023,定住者,粗暴犯,,,343.0
2023,定住者,風俗犯,,,17.0
2023,技能実習,その他の刑法犯,,,149.0
2023,技能実習,凶悪犯,不同意性交等,,6.0
2023,技能実習,凶悪犯,強盗,,13.0
2023,技能実習,凶悪犯,放火,,0.0
2023,技能実習,凶悪犯,殺人,,21.0
2023,技能実習,知能犯,,,70.0
2023,技能実習,窃盗犯,,,514.0
2023,技能実習,粗暴犯,,,140.0
2023,技能実習,風俗犯,,,20.0
2023,日本人の配偶者等,その他の刑法犯,,,78.0
2023,日本人の配偶者等,凶悪犯,不同意性交等,,12.0
2023,日本人の配偶者等,凶悪犯,強盗,,9.0
2023,日本人の配偶者等,凶悪犯,放火,,1.0
2023,日本人の配偶者等,凶悪犯,殺人,,5.0
2023,日本人の配偶者等,知能犯,,,33.0
2023,日本人の配偶者等,窃盗犯,,,188.0
2023,日本人の配偶者等,粗暴犯,,,253.0
2023,日本人の配偶者等,風俗犯,,,26.0
2023,留学,その他の刑法犯,,,189.0
2023,留学,凶悪犯,不同意性交等,,8.0
2023,留学,凶悪犯,強盗,,11.0
2023,留学,凶悪犯,放火,,0.0
2023,留学,凶悪犯,殺人,,1.0
2023,留学,知能犯,,,80.0
2023,留学,窃盗犯,,,294.0
2023,留学,粗暴犯,,,134.0
2023,留学,風俗犯,,,28.0
2023,短期滞在,その他の刑法犯,,,111.0
2023,短期滞在,凶悪犯,不同意性交等,,5.0
2023,短期滞在,凶悪犯,強盗,,17.0
2023,短期滞在,凶悪犯,放火,,1.0
2023,短期滞在,凶悪犯,殺人,,7.0
2023,短期滞在,知能犯,,,28.0
2023,短期滞在,窃盗犯,,,246.0
2023,短期滞在,粗暴犯,,,99.0
2023,短期滞在,風俗犯,,,19.0
2024,その他,その他の刑法犯,,,435.0
2024,その他,凶悪犯,不同意性交等,,40.0
2024,その他,凶悪犯,強盗,,43.0
2024,その他,凶悪犯,放火,,3.0
2024,その他,凶悪犯,殺人,,16.0
2024,その他,知能犯,,,183.0
2024,その他,窃盗犯,,,819.0
2024,その他,粗暴犯,,,460.0
2024,その他,風俗犯,,,132.0
2024,定住者,その他の刑法犯,,,167.0
2024,定住者,凶悪犯,不同意性交等,,20.0
2024,定住者,凶悪犯,強盗,,21.0
2024,定住者,凶悪犯,放火,,4.0
2024,定住者,凶悪犯,殺人,,12.0
2024,定住者,知能犯,,,63.0
2024,定住者,窃盗犯,,,420.0
2024,定住者,粗暴犯,,,351.0
2024,定住者,風俗犯,,,41.0
2024,技能実習,その他の刑法犯,,,173.0
2024,技能実習,凶悪犯,不同意性交等,,6.0
2024,技能実習,凶悪犯,強盗,,16.0
2024,技能実習,凶悪犯,放火,,0.0
2024,技能実習,凶悪犯,殺人,,29.0
2024,技能実習,知能犯,,,50.0
2024,技能実習,窃盗犯,,,565.0
2024,技能実習,粗暴犯,,,126.0
2024,技能実習,風俗犯,,,21.0
2024,日本人の配偶者等,その他の刑法犯,,,84.0
2024,日本人の配偶者等,凶悪犯,不同意性交等,,11.0
2024,日本人の配偶者等,凶悪犯,強盗,,8.0
2024,日本人の配偶者等,凶悪犯,放火,,4.0
2024,日本人の配偶者等,凶悪犯,殺人,,5.0
2024,日本人の配偶者等,知能犯,,,37.0
2024,日本人の配偶者等,窃盗犯,,,197.0
2024,日本人の配偶者等,粗暴犯,,,234.0
2024,日本人の配偶者等,風俗犯,,,19.0
2024,留学,その他の刑法犯,,,234.0
2024,留学,凶悪犯,不同意性交等,,22.0
2024,留学,凶悪犯,強盗,,4.0
2024,留学,凶悪犯,放火,,0.0
2024,留学,凶悪犯,殺人,,3.0
2024,留学,知能犯,,,65.0
2024,留学,窃盗犯,,,336.0
2024,留学,粗暴犯,,,183.0
2024,留学,風俗犯,,,27.0
2024,短期滞在,その他の刑法犯,,,123.0
2024,短期滞在,凶悪犯,不同意性交等,,8.0
2024,短期滞在,凶悪犯,強盗,,22.0
2024,短期滞在,凶悪犯,放火,,1.0
2024,短期滞在,凶悪犯,殺人,,4.0
2024,短期滞在,知能犯,,,80.0
